Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,1287.854,1567.598,1938.365,1855.1085,2003.933,2250.2455,2134.153345,2162.854675,1845.922275,1547.585985,1450.5373949999996
Australia,2305.952500000001,3402.0115,3497.34,3606.2805,3505.2375,3031.5370000000007,3015.473135,3013.260195,3118.820875,3015.915325,3029.782315000001
Austria,2098.4985,2771.5665,2395.373,2461.0660000000003,2535.7345,2414.0015000000008,2746.560665,2763.594395,2892.07944,2807.8008899999995,2715.892825
Belgium,2467.673500000001,3089.2735,2618.636,2795.8555,3031.6935000000008,2755.3645,2950.407795,2784.55051,3012.334075,2876.05253,2974.0769649999997
Bosnia And Herzegovina,1201.162,1351.2165,1291.5924999999995,1345.5085,1383.985,1215.013,1374.4162299999996,1362.51583,1452.223765,1488.702065,1454.16455
Brazil,1623.5425,2220.2605,1986.2285,1985.4229999999998,2030.942,1701.37,1731.5504649999998,1852.171855,1672.737225,1622.59928,1281.193355
Bulgaria,1071.0045,1422.2705,1241.257,1365.4225,1446.1660000000004,1287.183,1401.0229399999996,1403.6068799999996,1531.550465,1521.20931,1591.725955
Canada,2103.9105,2607.851,2649.2335000000007,2758.1055,2646.3365,2603.2605,2602.226725,2475.272225,2726.8109449999997,2682.93372,2679.437265
Chile,1207.4285,1716.2240000000004,1825.683,1885.7279999999998,1902.1455,1801.477,1856.893725,1873.987945,2116.93287,1925.92923,1861.31516
China,968.4789999999999,1239.414,1553.4795,1456.674,1426.035,1891.123,1670.15589,1549.73866,1705.89152,1606.51464,1598.08851
Colombia,1496.227,1473.3180000000002,1579.8039999999999,1459.0214999999996,1481.4945,1317.8565,1270.4839000000004,1322.476915,1359.654455,1242.889215,1194.22479
Croatia,1446.405,1842.533,1784.009,1905.2925,1965.3445,1737.7325,1849.0587850000002,1925.6724,2042.686755,1988.7340550000001,2229.61958
Czech Republic,1208.2885,1747.3885,1564.6585,1682.0095,1647.021,1478.7355,1609.007975,1704.495745,1875.482905,1839.8292350000002,1871.9969800000001
Denmark,2381.1075,3221.2275,2953.1295,3198.6525,3366.871,2977.6635,3226.03706,3200.9414850000003,3373.5176450000004,3332.679175,3501.3691299999996
Ecuador,1149.63,1118.8200000000004,1174.0655000000004,1287.9945,1248.113,1581.9740000000004,1650.453855,1621.752385,1661.854865,1582.04237,1617.28175
Egypt,1045.486,1112.261,1125.74,995.4085,1028.348,1225.31,1287.51681,876.037765,982.10369,1081.291725,1195.6430300000002
Estonia,1107.4975,1916.131,1776.994,1768.6315,2137.9255000000007,1748.2420000000004,1961.8901399999997,1986.79546,2067.851325,2103.641825,2181.7176449999997
Finland,2231.7705,2789.3190000000004,2648.1205,2890.4805,2995.4275,2665.3904999999995,2814.351945000001,2852.327805,2930.17428,2811.3809,2969.5618400000008
France,2081.2735,2850.5745,2650.5465,2820.9675,3006.4990000000003,2800.366,2977.5313799999994,2935.813895,3097.63557,3106.09717,3092.0615350000003
Germany,1866.085,2519.896,2294.246,2497.2270000000003,2630.688,2441.76,2612.4232850000003,2637.29462,2774.85724,2708.3957649999998,2768.342575
Greece,1950.1265,2608.0215,2253.426,2311.2790000000005,2306.3925,1946.848,2174.74289,2208.1570699999997,2299.89062,2240.53315,2300.513245
Hong Kong,1875.9435,2080.806,2175.0145,2198.5655,2292.766,2859.0675,2841.591865000001,2955.536605,3068.7283199999997,2937.093135,3228.817095
Hungary,1248.5585,1822.9695,1550.1619999999998,1677.8755,1707.868,1513.3935,1637.9606,1662.769015,1776.469125,1701.75524,1722.805805
India,647.5564999999998,880.1095,774.418,828.7570000000002,836.5115000000002,903.556,970.1186550000001,1060.84051,1061.22956,1060.45299,1074.0718900000004
Indonesia,1071.3165,1237.4389999999999,1294.498,1282.6035000000004,1258.1374999999996,1378.77,1501.35051,1398.387935,1455.0724050000001,1384.89201,1520.3056699999993
Iran,1110.965,1388.2,1470.3625000000004,1313.6875,1234.1095,1267.467,1379.77834,1398.474875,1450.105075,1546.26877,1646.03843
Ireland,2247.7029999999995,3119.15,2821.8325,3027.1095,3202.4614999999994,2817.257,2987.25896,2949.360100000001,3135.37894,3115.17404,3173.029745
Israel,1912.08,2542.7925,2286.5350000000008,2523.111,2645.5795,2656.8125,2793.55052,3068.9454800000008,3048.9708199999995,3122.7139850000003,3344.65792
Italy,1945.2785,2756.7065,2539.6185,2800.917,2722.591,2475.6075,2725.489965,2672.46588,2788.41022,2762.93122,2813.16747
Japan,2150.6220000000003,3630.441,3653.2475,2868.0755,3007.1815,2869.8215,3390.143875,3300.45548,3313.201905,3430.405785,3361.8745200000008
Jordan,1221.674,1478.1885,1740.465,1659.5629999999999,1765.9335,1817.74,2053.15851,2019.58457,2137.598365,2040.8810850000002,2141.53553
Kazakhstan,1147.81,1495.894,1843.978,1945.0405,1603.366,1745.6234999999995,1205.1610099999998,1398.811065,1371.326305,1231.30863,1281.961635
Lithuania,1330.747,1770.109,1495.04,1747.217,1764.4579999999999,1641.239,1816.2511350000002,1798.74308,1886.49295,1749.0489949999999,1813.2641900000006
Malaysia,772.0425,1348.6529999999998,1260.1960000000001,1373.852,1363.289,1452.9265,1506.841865,1454.66211,1522.800185,1382.6376849999995,1456.00152
Malta,1531.0515,2255.5640000000008,2167.295,2046.3210000000001,2284.93,2311.8595,2468.79431,2258.0225,2518.2147250000007,2872.30959,2766.85153
Mexico,1208.9015,1494.3965,1292.112,1378.3365,1428.52,1405.92,1244.685765,1321.850535,1305.742325,1374.3955050000002,1344.304445
Morocco,1560.628,1666.457,1280.7105,1247.6219999999996,1244.4115000000004,1197.918,1278.302045,1274.41516,1323.71009,1345.968675,1310.38212
Netherlands,2267.9120000000007,2854.1335,2552.052,2822.52,2926.847,2588.843,2811.66382,2756.3056149999998,3048.556605,2986.30305,2967.4312
New Zealand,2013.4289999999999,2836.1605,2768.0245,2969.1565,3131.5295,2975.9315,2913.269680000001,3057.76449,2992.9960949999995,2927.86139,2929.4760300000003
Norway,2819.702500000001,4543.561,4257.0885,4467.3535,4534.042,4016.2009999999996,4047.143215,4014.070935,4250.639370000001,4117.1028000000015,3806.65436
Pakistan,640.148,864.53,894.2384999999998,907.47,906.3919999999999,916.302,980.071805,998.834875,1001.278455,870.343915,875.099065
Panama,1073.08,1404.631,1480.57175,1556.5125,1649.14,1750.0214999999996,2108.1205,1903.6652350000002,2085.3532800000003,2164.0455,2264.6745
