City,Cost of living
Algeria,1046.566
Argentina,1862.0585
Australia,3617.9804999999997
Austria,2474.116
Azerbaijan,1718.6575
Bahrain,1533.9295
Bangladesh,1090.4389999999999
Belarus,1399.1885
Belgium,2807.0555
Bosnia And Herzegovina,1350.1585
Brazil,1988.5729999999999
Bulgaria,1369.2224999999999
Canada,2773.8555
Chile,1889.478
China,1461.924
Colombia,1461.8715
Costa Rica,1930.6005
Croatia,1910.5925
Cyprus,2428.291
Czech Republic,1684.4595
Denmark,3218.9525
Dominican Republic,1634.4085
Ecuador,1286.6444999999999
Egypt,997.2085000000001
Estonia,1771.2314999999999
Ethiopia,1141.245
Finland,2906.4804999999997
France,2836.9175
Georgia,1350.2505
Germany,2510.277
Ghana,1607.8415
Greece,2327.0290000000005
Hong Kong,2206.1655
Hungary,1680.3255
Iceland,2809.8375
India,829.557
Indonesia,1286.4535
Iran,1319.0875
Iraq,1356.3635
Ireland,3041.3595
Israel,2540.111
Italy,2814.517
Jamaica,1715.6644999999999
Japan,2877.2755
Jordan,1665.413
Kazakhstan,1950.4904999999999
Kenya,1295.8255
Kuwait,1948.784
Latvia,1838.7285
Lebanon,2100.1564999999996
Lithuania,1750.817
Luxembourg,2651.6949999999997
Macedonia,1151.4515
Malaysia,1376.3020000000001
Malta,2059.321
Mexico,1380.4865
Moldova,1271.6565
Morocco,1259.072
Nepal,797.358
Netherlands,2834.37
New Zealand,2989.0065
Nigeria,2025.871
Norway,4501.4535
Oman,1074.0345
Pakistan,904.8199999999999
Panama,1565.0125
Peru,1635.5245
Philippines,1172.958
Poland,1468.7595000000001
Portugal,1871.2604999999999
Puerto Rico,2236.327
Qatar,2113.81
Romania,1356.44
Russia,1959.4855
Saudi Arabia,2104.3885
Serbia,1440.2795
Singapore,2559.2235
Slovakia,1678.2865000000002
Slovenia,2095.427
South Africa,1521.699
South Korea,2469.9015
Spain,2160.4865
Sri Lanka,1177.3795
Sweden,3042.4655000000002
Switzerland,3984.3215000000005
Syria,1049.4495
Taiwan,1741.258
Tanzania,1336.2495
Thailand,1474.578
Trinidad And Tobago,1554.0729999999999
Tunisia,1053.1245
Turkey,1714.6835
Ukraine,1330.5065
United Arab Emirates,1990.6995
United Kingdom,2724.482
United States,2306.4175
Uruguay,2473.6015
Venezuela,3114.102
Vietnam,1124.7069999999999
