Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,1180.2495,,1244.9275000000002,1189.5684999999999,1252.78789,1290.389,1433.7249649999999,1475.16296,1530.76977
Algeria,,,,1046.166,1043.8609999999999,1056.3715,1171.79469,1304.46086,1211.8230549999998,1104.0297150000001,1197.481145
Argentina,1287.854,1567.598,1938.3649999999998,1855.1084999999998,2003.9329999999998,2250.2455,2134.1533449999997,2162.854675,1845.922275,1547.585985,1450.5373949999998
Armenia,,,,,1280.1315,1240.3485,1278.3910700000001,1275.168325,1285.2986850000002,791.88,1371.1604
Australia,2305.9525000000003,3402.0115,3497.34,3606.2805,3505.2375,3031.5370000000003,3015.473135,3013.260195,3118.820875,3015.915325,3029.7823150000004
Austria,2098.4984999999997,2771.5665,2395.373,2461.066,2535.7344999999996,2414.0015000000003,2746.560665,2763.594395,2892.07944,2807.8008899999995,2715.892825
Azerbaijan,,,,1708.4575,1823.0695,1489.2255,1230.5372149999998,1141.56055,1118.91874,1275.11978,1268.0104999999999
Bahamas,,,,,,,,,2043.4095,,
Bahrain,,,2066.1890000000003,1506.8795,1564.8429999999998,1426.2195,2163.36345,1913.346515,2040.635495,2299.137655,2253.680645
Bangladesh,,1019.116,994.9079999999999,1090.589,1068.556,1101.7975,1279.63857,1167.321285,1104.685355,1191.37179,1296.14781
Belarus,,,1434.6200000000001,1394.4885,1555.754,1331.0725,1206.5959349999998,1273.33852,1313.5376649999998,1422.3792,1337.89387
Belgium,2467.6735000000003,3089.2735000000002,2618.636,2795.8554999999997,3031.6935000000003,2755.3644999999997,2950.4077949999996,2784.55051,3012.3340749999998,2876.05253,2974.076965
Belize,,,,,,,,,1080.9795,,
Bolivia,,,,,,,1143.9965000000002,1253.572765,863.3505,1215.0911700000001,1451.4099999999999
Bosnia And Herzegovina,1201.162,1351.2165,1291.5924999999997,1345.5085,1383.9850000000001,1215.0130000000001,1374.4162299999998,1362.51583,1452.223765,1488.702065,1454.16455
Brazil,1623.5425,2220.2605,1986.2285000000002,1985.423,2030.942,1701.37,1731.550465,1852.1718549999998,1672.7372249999999,1622.5992800000001,1281.193355
Brunei,,,,,,,,,,684.744,
Bulgaria,1071.0045,1422.2705,1241.257,1365.4225000000001,1446.1660000000002,1287.183,1401.0229399999998,1403.6068799999998,1531.550465,1521.20931,1591.725955
Cambodia,,,1399.1815000000001,,1369.3595,1510.252,1529.769,1221.0475000000001,1248.4595,1550.642,1607.154
Canada,2103.9105,2607.8509999999997,2649.2335000000003,2758.1055,2646.3365,2603.2605,2602.226725,2475.2722249999997,2726.810945,2682.93372,2679.437265
Chile,1207.4285,1716.2240000000002,1825.683,1885.728,1902.1455,1801.4769999999999,1856.893725,1873.9879449999999,2116.93287,1925.92923,1861.3151599999999
China,968.479,1239.414,1553.4795,1456.674,1426.0349999999999,1891.1229999999998,1670.15589,1549.73866,1705.8915200000001,1606.5146399999999,1598.08851
Colombia,1496.2269999999999,1473.3180000000002,1579.804,1459.0214999999998,1481.4945,1317.8564999999999,1270.4839000000002,1322.476915,1359.6544549999999,1242.8892150000001,1194.22479
Costa Rica,,1491.0839999999998,1712.9524999999999,1927.9505,1696.8269999999998,2031.8269999999998,2166.0258649999996,2042.9402049999999,2104.78039,2128.230085,2186.15452
Croatia,1446.405,1842.533,1784.009,1905.2925,1965.3445,1737.7325,1849.058785,1925.6724000000002,2042.6867550000002,1988.734055,2229.61958
Cyprus,,2519.433,2527.703,2412.9410000000003,2392.223,2039.8760000000002,2082.8453899999995,2029.3381800000002,2350.23809,2334.156815,2279.4355
Czech Republic,1208.2885,1747.3885,1564.6585,1682.0095,1647.021,1478.7355,1609.007975,1704.495745,1875.482905,1839.829235,1871.99698
Denmark,2381.1075,3221.2275,2953.1295,3198.6525,3366.8709999999996,2977.6635,3226.03706,3200.941485,3373.517645,3332.679175,3501.36913
Dominican Republic,,,1861.152,1633.6085,1621.5515,1839.3249999999998,1855.9573450000003,1800.38771,1894.1289299999999,1717.797685,1627.58339
Ecuador,1149.6299999999999,1118.8200000000002,1174.0655000000002,1287.9945,1248.113,1581.9740000000002,1650.453855,1621.752385,1661.854865,1582.04237,1617.2817499999999
Egypt,1045.4859999999999,1112.261,1125.74,995.4085,1028.348,1225.31,1287.5168099999999,876.037765,982.1036900000001,1081.291725,1195.64303
El Salvador,,,,,,,1383.7925,,921.4561550000001,735.5070000000001,
Estonia,1107.4975,1916.1309999999999,1776.9940000000001,1768.6315,2137.9255000000003,1748.2420000000002,1961.89014,1986.79546,2067.8513249999996,2103.641825,2181.717645
Ethiopia,,,,1143.345,,,,,,1363.4339049999999,
Fiji,,,,,,,,,726.2185,,
Finland,2231.7704999999996,2789.319,2648.1205,2890.4804999999997,2995.4275000000002,2665.3904999999995,2814.3519450000003,2852.327805,2930.1742799999997,2811.3809,2969.5618400000003
