Country,Cost of living,Year
Argentina,1287.854,2010
Australia,2305.9525000000003,2010
Austria,2098.4984999999997,2010
Belgium,2467.6735000000003,2010
Bosnia And Herzegovina,1201.162,2010
Brazil,1623.5425,2010
Bulgaria,1071.0045,2010
Canada,2103.9105,2010
Chile,1207.4285,2010
China,968.479,2010
Colombia,1496.2269999999999,2010
Croatia,1446.405,2010
Czech Republic,1208.2885,2010
Denmark,2381.1075,2010
Ecuador,1149.6299999999999,2010
Egypt,1045.4859999999999,2010
Estonia,1107.4975,2010
Finland,2231.7704999999996,2010
France,2081.2735000000002,2010
Germany,1866.085,2010
Greece,1950.1265,2010
Hong Kong,1875.9434999999999,2010
Hungary,1248.5585,2010
India,647.5564999999999,2010
Indonesia,1071.3165,2010
Iran,1110.965,2010
Ireland,2247.7029999999995,2010
Israel,1912.08,2010
Italy,1945.2785,2010
Japan,2150.622,2010
Jordan,1221.674,2010
Kazakhstan,1147.81,2010
Lithuania,1330.747,2010
Malaysia,772.0425,2010
Malta,1531.0515,2010
Mexico,1208.9015,2010
Morocco,1560.628,2010
Netherlands,2267.9120000000003,2010
New Zealand,2013.429,2010
Norway,2819.7025000000003,2010
Pakistan,640.148,2010
Panama,1073.08,2010
Philippines,826.5034999999999,2010
Poland,1075.1225,2010
Portugal,1416.0105,2010
Puerto Rico,1657.4520000000002,2010
Qatar,1686.837,2010
Romania,993.3685,2010
Russia,1409.464,2010
Saudi Arabia,2611.602,2010
Serbia,992.2049999999999,2010
Singapore,1711.978,2010
Slovakia,1252.691,2010
Slovenia,1588.209,2010
South Africa,1399.328,2010
South Korea,1378.1965,2010
Spain,1537.7930000000001,2010
Sweden,1976.0135,2010
Switzerland,2702.7844999999998,2010
Syria,984.074,2010
Taiwan,1018.3489999999999,2010
Thailand,935.6765,2010
Turkey,1350.9065,2010
Ukraine,1001.6764999999999,2010
United Arab Emirates,1752.095,2010
United Kingdom,1957.8065000000001,2010
United States,1746.0774999999999,2010
Vietnam,654.25,2010
Argentina,1567.598,2011
Australia,3402.0115,2011
Austria,2771.5665,2011
Bangladesh,1019.116,2011
Belgium,3089.2735000000002,2011
Bosnia And Herzegovina,1351.2165,2011
Brazil,2220.2605,2011
Bulgaria,1422.2705,2011
Canada,2607.8509999999997,2011
Chile,1716.2240000000002,2011
China,1239.414,2011
Colombia,1473.3180000000002,2011
Costa Rica,1491.0839999999998,2011
Croatia,1842.533,2011
Cyprus,2519.433,2011
Czech Republic,1747.3885,2011
Denmark,3221.2275,2011
Ecuador,1118.8200000000002,2011
Egypt,1112.261,2011
Estonia,1916.1309999999999,2011
Finland,2789.319,2011
France,2850.5745,2011
Germany,2519.8959999999997,2011
Greece,2608.0215,2011
Hong Kong,2080.806,2011
Hungary,1822.9695000000002,2011
Iceland,2891.9655000000002,2011
India,880.1095,2011
Indonesia,1237.439,2011
Iran,1388.2,2011
Ireland,3119.15,2011
Israel,2542.7925,2011
Italy,2756.7065000000002,2011
Japan,3630.441,2011
Jordan,1478.1885,2011
Latvia,1937.0790000000002,2011
Lebanon,2041.0145000000002,2011
Lithuania,1770.109,2011
Macedonia,1162.7060000000001,2011
Malaysia,1348.653,2011
Malta,2255.5640000000003,2011
Mexico,1494.3965,2011
Morocco,1666.4569999999999,2011
Netherlands,2854.1335,2011
New Zealand,2836.1605,2011
Norway,4543.561,2011
Pakistan,864.53,2011
Panama,1404.631,2011
Peru,1193.7379999999998,2011
Philippines,1123.734,2011
Poland,1495.5435000000002,2011
Portugal,1976.241,2011
Puerto Rico,2265.1925,2011
Qatar,2177.833,2011
Romania,1360.9255,2011
Russia,1655.675,2011
Saudi Arabia,1796.969,2011
Serbia,1373.5215,2011
Singapore,2179.1145,2011
Slovakia,1701.2935,2011
Slovenia,2131.237,2011
South Africa,2017.732,2011
South Korea,1851.7815,2011
Spain,2250.581,2011
Sri Lanka,1256.2975000000001,2011
Sweden,2971.449,2011
Switzerland,4093.6510000000003,2011
Syria,1062.3935,2011
Taiwan,1580.7604999999999,2011
Thailand,1352.9375,2011
Tunisia,1334.11,2011
Turkey,1754.6745,2011
Ukraine,1253.1840000000002,2011
United Arab Emirates,2135.5455,2011
United Kingdom,2791.611,2011
United States,2119.8475,2011
Uruguay,2083.546,2011
Venezuela,1851.35,2011
Vietnam,1075.0204999999999,2011
Albania,1180.2495,2012
Argentina,1938.3649999999998,2012
Australia,3497.34,2012
Austria,2395.373,2012
Bahrain,2066.1890000000003,2012
Bangladesh,994.9079999999999,2012
Belarus,1434.6200000000001,2012
Belgium,2618.636,2012
Bosnia And Herzegovina,1291.5924999999997,2012
Brazil,1986.2285000000002,2012
Bulgaria,1241.257,2012
Cambodia,1399.1815000000001,2012
Canada,2649.2335000000003,2012
Chile,1825.683,2012
China,1553.4795,2012
Colombia,1579.804,2012
Costa Rica,1712.9524999999999,2012
Croatia,1784.009,2012
Cyprus,2527.703,2012
Czech Republic,1564.6585,2012
Denmark,2953.1295,2012
Dominican Republic,1861.152,2012
Ecuador,1174.0655000000002,2012
Egypt,1125.74,2012
Estonia,1776.9940000000001,2012
Finland,2648.1205,2012
France,2650.5465,2012
Georgia,1284.13,2012
Germany,2294.246,2012
Greece,2253.426,2012
Hong Kong,2175.0145,2012
Hungary,1550.1619999999998,2012
Iceland,3001.85,2012
India,774.418,2012
Indonesia,1294.498,2012
Iran,1470.3625000000002,2012
Iraq,1620.239,2012
Ireland,2821.8325,2012
Israel,2286.5350000000003,2012
Italy,2539.6185,2012
Japan,3653.2474999999995,2012
Jordan,1740.465,2012
Kazakhstan,1843.9779999999998,2012
Kenya,1599.266,2012
Kuwait,2101.804,2012
Latvia,1681.65,2012
Lebanon,2164.76,2012
Lithuania,1495.04,2012
Luxembourg,3098.0330000000004,2012
Macedonia,1212.1374999999998,2012
Malaysia,1260.196,2012
Malta,2167.295,2012
Mauritius,1611.7440000000001,2012
Mexico,1292.112,2012
Morocco,1280.7105000000001,2012
Nepal,893.115,2012
Netherlands,2552.0519999999997,2012
New Zealand,2768.0245,2012
Nigeria,2604.607,2012
Norway,4257.0885,2012
Oman,1826.037,2012
Pakistan,894.2384999999999,2012
Peru,1378.149,2012
Philippines,1253.6464999999998,2012
Poland,1322.004,2012
Portugal,1790.6905000000002,2012
Puerto Rico,2221.629,2012
