DATE;USD/troy ounce;EUR/troy ounce
29.01.2010;1078.5;775.93
26.02.2010;1108.25;812.08
31.03.2010;1115.5;824.4
30.04.2010;1179.25;886.89
31.05.2010;1207.5;984.07
30.06.2010;1244;1015.59
30.07.2010;1169;897.3
31.08.2010;1246;980.37
30.09.2010;1307;957.37
29.10.2010;1346.75;968.96
30.11.2010;1383.5;1062.8
31.12.2010;1405.5;1047.67
31.01.2011;1327;967.91
28.02.2011;1411;1021.58
31.03.2011;1439;1014.02
29.04.2011;1535.5;1034.98
31.05.2011;1536.5;1068.8
30.06.2011;1505.5;1038.38
29.07.2011;1628.5;1133.26
31.08.2011;1813.5;1259.55
30.09.2011;1620;1207.42
31.10.2011;1722;1234.59
30.11.2011;1746;1297.03
30.12.2011;1531;1179.37
31.01.2012;1744;1332.26
29.02.2012;1770;1323.17
30.03.2012;1662.5;1248.4
30.04.2012;1651.25;1247.59
31.05.2012;1558;1260.06
29.06.2012;1598.5;1259.6
31.07.2012;1622;1317.04
31.08.2012;1648.5;1307.81
28.09.2012;1776;1380.49
31.10.2012;1719;1326.59
30.11.2012;1726;1327.08
31.12.2012;1657.5;1257.21
31.01.2013;1664.75;1226.43
28.02.2013;1588.5;1215.05
29.03.2013;1598.25;1244.65
30.04.2013;1469;1114.23
31.05.2013;1394.5;1076
28.06.2013;1192;917.03
31.07.2013;1314.5;989.95
30.08.2013;1394.75;1057.75
30.09.2013;1326.5;979.94
31.10.2013;1324;973.89
29.11.2013;1253;920.28
31.12.2013;1204.5;874.12
31.01.2014;1251;927.66
28.02.2014;1326.5;960.43
31.03.2014;1291.75;937.24
30.04.2014;1288.5;929.28
30.05.2014;1250.5;916.42
30.06.2014;1315;960.45
31.07.2014;1285.25;960.58
29.08.2014;1285.75;976.12
30.09.2014;1216.5;962.99
31.10.2014;1164.25;929.24
28.11.2014;1182.75;948.74
31.12.2014;1206;996.65
30.01.2015;1260.25;1116.8
27.02.2015;1214;1082.33
31.03.2015;1187;1105.21
30.04.2015;1180.25;1053.28
29.05.2015;1191.4;1086.7
30.06.2015;1171;1050.98
31.07.2015;1098.4;994.16
31.08.2015;1135;1012.94
30.09.2015;1114;997.99
30.10.2015;1142.35;1034.13
30.11.2015;1061.9;1005.44
31.12.2015;1060;975.79
29.01.2016;1111.8;1027.49
29.02.2016;1234.9;1136.53
31.03.2016;1237;1085.52
29.04.2016;1285.65;1122.5
31.05.2016;1212.1;1088.79
30.06.2016;1320.75;1188.85
29.07.2016;1342;1200.09
31.08.2016;1309.25;1175.53
30.09.2016;1322.5;1176.81
31.10.2016;1272;1160.37
30.11.2016;1178.1;1110.58
30.12.2016;1145.9;1086.42
31.01.2017;1212.8;1122.24
28.02.2017;1255.6;1181.63
31.03.2017;1244.85;1163.9
28.04.2017;1266.45;1163
31.05.2017;1266.2;1126.01
30.06.2017;1242.25;1089.17
31.07.2017;1267.55;1075.11
31.08.2017;1311.75;1103.33
29.09.2017;1283.1;1085.35
31.10.2017;1270.15;1090.3
30.11.2017;1280.2;1073.68
29.12.2017;1291;1075.12
31.01.2018;1345.05;1079.71
28.02.2018;1317.85;1080.52
30.03.2018;1323.85;1076.43
30.04.2018;1313.2;1086.91
31.05.2018;1305.35;1118.26
29.06.2018;1250.45;1071
31.07.2018;1220.95;1043.5
31.08.2018;1202.45;1033.48
28.09.2018;1187.25;1022.17
31.10.2018;1214.95;1072.28
30.11.2018;1217.55;1075.34
31.12.2018;1279;1118.84
31.01.2019;1323.25;1153.21
28.02.2019;1319.15;1158.47
29.03.2019;1295.4;1153.67
30.04.2019;1282.3;1144.2
31.05.2019;1295.55;1162.61
28.06.2019;1409;1237.27
31.07.2019;1427.55;1282.15
30.08.2019;1528.4;1387.88
30.09.2019;1485.3;1362.41
31.10.2019;1510.95;1354.32
29.11.2019;1460.15;1324.28
31.12.2019;1514.75;1349.44
31.01.2020;1584.2;1429.53
28.02.2020;1609.85;1465.57
31.03.2020;1608.95;1466.35
30.04.2020;1702.75;1554.6
29.05.2020;1728.7;1554.1
30.06.2020;1768.1;1574.23
31.07.2020;1964.9;1661.65
31.08.2020;1957.35;1636.65
30.09.2020;1886.9;1609.09
30.10.2020;1881.85;1615.53
30.11.2020;1762.55;1473.46
31.12.2020;1887.6;1542.72
