Country,group 1,group 2,group 3,group 4
Austria,False,True,False,False
Canada,False,True,False,False
Colombia,False,False,False,True
Germany,True,False,False,False
Ecuador,False,False,False,True
Egypt,False,False,False,True
Estonia,False,False,True,False
United Kingdom,False,True,False,False
Greece,False,False,True,False
Indonesia,False,False,False,True
Ireland,False,True,False,False
Japan,False,True,True,False
Norway,True,True,False,False
Panama,False,False,True,True
Philippines,False,False,False,True
Poland,False,False,True,False
Singapore,False,True,False,False
Slovakia,False,False,True,False
Ukraine,False,False,False,True
United States,True,True,False,False
