,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,,"Canberra, Australia",241.56,168.69,71.97,83.30,76.20,6.01,18.10,10.47,84.12
1,,"Adelaide, Australia",215.52,163.10,59.60,66.60,77.89,5.17,26.69,26.06,90.61
2,,"Zurich, Switzerland",213.07,184.86,80.25,70.78,130.99,10.56,31.12,12.42,62.58
3,,"Edinburgh, United Kingdom",211.25,131.35,71.39,77.73,74.92,6.81,22.78,15.59,70.99
4,,"Munich, Germany",210.86,153.48,84.26,83.58,71.16,10.83,25.67,17.84,47.38
5,,"Melbourne, Australia",210.71,153.20,64.18,77.58,75.35,8.52,35.70,25.23,89.15
6,,"Wellington, New Zealand",209.58,118.04,68.86,66.01,80.16,6.09,26.50,10.69,88.06
7,,"Victoria, Canada",208.65,131.38,63.50,72.90,68.57,5.65,30.20,13.44,77.22
8,,"Brisbane, Australia",203.68,140.66,63.87,79.53,76.52,7.74,42.56,21.25,84.31
9,,"Geneva, Switzerland",203.58,181.03,64.49,68.92,129.07,9.96,22.00,27.92,73.48
10,,"Sacramento, CA, United States",199.92,136.38,57.09,73.84,78.40,3.83,20.00,42.34,90.06
11,,"Trondheim, Norway",199.33,113.74,79.81,81.36,108.05,7.92,18.89,11.01,55.41
12,,"Seattle, WA, United States",196.09,147.45,59.54,73.00,83.22,5.89,35.40,26.39,71.92
13,,"Vienna, Austria",195.97,119.81,71.96,78.80,65.87,16.72,26.28,21.17,75.37
14,,"Copenhagen, Denmark",194.15,126.12,73.22,77.34,89.28,7.68,28.00,27.21,67.66
15,,"Vancouver, Canada",193.63,121.65,61.11,70.36,65.01,11.32,40.00,22.60,91.32
16,,"San Diego, CA, United States",191.94,123.22,62.22,73.26,76.17,6.92,34.82,40.07,97.01
17,,"Perth, Australia",190.71,133.23,52.49,69.98,85.08,8.57,33.68,30.17,91.45
18,,"Minneapolis, MN, United States",190.50,142.26,57.28,75.66,81.06,3.11,23.75,25.22,45.41
19,,"Ottawa, Canada",189.96,147.30,77.31,72.25,63.75,5.85,42.19,20.13,33.20
20,,"Hamilton, Canada",189.47,161.52,55.28,78.23,56.01,5.18,40.89,43.73,63.81
21,,"Boston, MA, United States",189.02,124.49,60.13,79.02,84.70,7.56,34.71,24.94,72.07
22,,"Sydney, Australia",188.30,136.61,56.80,71.74,80.85,11.60,41.42,29.02,88.80
23,,"Cape Town, South Africa",187.83,126.85,28.00,73.61,34.18,4.46,42.65,32.77,96.23
24,,"Reykjavik, Iceland",186.59,97.14,74.60,76.26,96.99,5.69,19.00,15.48,49.69
25,,"Hamburg, Germany",186.29,151.98,51.37,75.45,72.18,8.69,32.91,31.07,59.85
26,,"Monterrey, Mexico",185.71,167.35,48.61,56.62,39.08,2.82,27.46,55.12,65.86
27,,"Auckland, New Zealand",184.06,118.81,56.92,74.81,80.38,9.85,41.47,30.59,90.42
28,,"Calgary, Canada",183.33,162.46,67.61,66.72,70.57,5.10,37.08,30.98,32.52
29,,"Denver, CO, United States",182.53,127.51,65.67,83.48,78.17,4.81,41.67,33.32,57.58
30,,"Austin, TX, United States",181.67,139.16,58.78,75.59,70.23,5.43,34.75,46.41,68.33
31,,"Amsterdam, Netherlands",181.46,122.04,63.92,67.43,76.29,8.82,29.53,38.91,77.00
32,,"Portland, OR, United States",181.45,121.98,52.50,55.94,80.04,4.65,30.53,21.56,68.67
33,,"Riyadh, Saudi Arabia",181.36,184.09,80.33,76.10,50.05,2.28,41.75,68.37,31.75
34,,"Stockholm, Sweden",180.51,130.34,57.02,71.11,83.50,14.63,39.91,11.35,60.55
35,,"Helsinki, Finland",180.24,129.76,68.67,75.43,79.61,10.17,31.00,21.42,39.40
36,,"Bursa, Turkey",179.35,80.74,73.22,78.78,43.58,3.94,40.00,25.71,57.45
37,,"Toronto, Canada",177.69,138.99,66.39,68.98,65.86,9.78,43.73,44.56,71.65
38,,"Seoul, South Korea",177.47,116.87,85.72,81.54,78.33,16.64,31.44,35.35,53.67
39,,"Berlin, Germany",177.40,122.70,61.46,76.03,66.34,8.59,33.50,38.05,62.30
40,,"Phoenix, AZ, United States",176.28,199.38,40.95,66.55,70.84,2.11,30.00,67.83,51.85
41,,"Thessaloniki, Greece",176.15,82.69,68.85,75.81,52.04,6.15,22.83,57.92,89.81
42,,"Gdansk, Poland",176.11,81.93,72.46,64.41,39.32,10.86,26.10,32.68,69.82
43,,"Lisbon, Portugal",175.44,76.20,65.18,68.56,50.87,12.09,35.85,34.41,96.14
44,,"Tallinn, Estonia",174.62,78.76,73.79,67.43,50.52,11.38,20.27,17.00,44.42
45,,"Brno, Czech Republic",172.38,93.74,70.14,71.99,41.65,9.67,26.31,43.27,62.06
46,,"Porto, Portugal",171.18,80.28,52.44,72.89,49.33,7.70,31.00,42.54,90.24
47,,"Edmonton, Canada",170.54,128.64,59.81,74.83,70.76,5.39,38.00,28.49,33.57
48,,"Ljubljana, Slovenia",169.87,91.62,71.89,58.38,53.00,10.61,21.88,33.00,56.15
49,,"Montreal, Canada",169.64,130.67,61.95,60.58,61.69,6.52,43.82,35.84,53.65
50,,"Atlanta, GA, United States",168.57,139.39,35.99,71.21,75.70,3.40,36.42,55.12,79.66
51,,"Pretoria, South Africa",168.42,172.73,19.23,62.86,34.89,1.83,48.45,75.27,95.57
52,,"Madrid, Spain",167.74,101.77,68.28,76.17,60.79,11.16,34.64,61.39,87.98
