,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,,"Canberra, Australia",222.99,141.65,73.91,81.03,77.54,5.85,23.30,14.71,79.57
1,,"Raleigh, NC, United States",217.92,146.98,71.38,76.16,72.69,2.60,30.67,20.00,77.57
2,,"Wellington, New Zealand",213.66,120.31,70.15,69.53,77.30,5.81,25.07,11.15,87.79
3,,"Victoria, Canada",202.78,118.14,65.63,67.90,73.78,5.38,27.30,12.50,75.35
4,,"Edinburgh, United Kingdom",200.47,100.17,70.97,80.63,72.04,7.09,20.59,15.57,69.68
5,,"Adelaide, Australia",199.84,110.82,66.28,73.29,80.25,5.95,29.92,21.98,89.35
6,,"Eindhoven, Netherlands",196.38,116.79,74.63,87.37,70.28,5.12,30.36,20.53,50.90
7,,"Vienna, Austria",195.78,98.50,78.19,81.05,68.59,13.68,25.55,18.97,75.37
8,,"San Diego, CA, United States",194.78,128.92,63.44,74.68,77.93,5.83,43.09,34.57,95.27
9,,"Melbourne, Australia",193.71,127.42,58.98,75.15,80.31,7.61,35.90,29.63,89.15
10,,"Brisbane, Australia",192.69,118.86,63.97,79.68,79.80,6.97,42.43,21.70,79.79
11,,"Zurich, Switzerland",192.05,134.50,81.86,73.64,130.04,10.39,33.77,14.06,61.05
12,,"Munich, Germany",191.86,123.50,84.28,82.73,71.82,12.32,33.58,17.42,44.62
13,,"Dallas, TX, United States",191.44,163.48,56.50,68.12,70.20,2.31,39.97,43.87,72.26
14,,"Sacramento, CA, United States",188.98,122.17,53.37,71.34,80.25,3.82,22.68,43.39,90.06
15,,"Bursa, Turkey",188.48,67.07,78.62,86.54,35.32,4.62,37.65,30.08,76.58
16,,"Salt Lake City, UT, United States",188.12,152.54,74.31,69.07,68.46,3.04,38.00,54.27,68.47
17,,"Luxembourg, Luxembourg",187.65,117.13,75.55,74.54,79.84,11.89,33.50,20.39,62.83
18,,"Cork, Ireland",187.33,116.80,67.56,61.96,74.19,6.05,39.50,18.51,70.06
19,,"Portland, OR, United States",186.75,117.83,55.92,70.70,80.60,5.19,29.71,22.48,69.06
20,,"Perth, Australia",186.43,113.65,54.90,71.49,85.73,6.47,36.65,27.84,90.86
21,,"Columbus, OH, United States",186.20,120.68,55.53,69.08,71.70,2.64,26.00,24.91,58.23
22,,"Copenhagen, Denmark",184.09,102.15,78.77,70.03,87.96,8.30,30.88,24.55,67.07
23,,"Ottawa, Canada",183.54,126.26,77.73,69.01,68.46,5.99,37.83,15.76,31.35
24,,"Boston, MA, United States",183.53,131.75,64.25,73.39,89.40,7.55,47.62,24.58,69.96
25,,"San Jose, CA, United States",182.82,152.90,49.03,63.48,82.75,5.79,33.43,55.85,96.06
26,,"Austin, TX, United States",181.79,126.85,65.27,71.56,74.07,4.55,40.28,36.34,67.06
27,,"Denver, CO, United States",180.71,139.95,63.56,77.81,82.60,4.11,36.47,37.87,51.86
28,,"Geneva, Switzerland",179.04,121.11,72.52,68.85,132.79,11.19,23.00,28.74,70.40
29,,"Leeds, United Kingdom",177.97,106.22,56.64,79.07,65.46,4.68,33.00,38.49,70.93
30,,"Gothenburg, Sweden",177.88,112.08,54.08,63.49,76.01,10.26,20.73,20.53,60.25
31,,"Seattle, WA, United States",177.79,119.76,60.53,73.25,90.54,6.00,43.38,31.38,74.09
32,,"Hamilton, Canada",177.67,130.23,51.91,80.01,61.51,5.83,38.25,41.43,64.99
33,,"Minneapolis, MN, United States",177.63,119.76,53.18,79.56,82.92,3.23,34.31,19.37,42.41
34,,"Vancouver, Canada",177.37,91.28,64.19,73.31,72.70,13.12,43.32,25.53,91.56
35,,"Tampa, FL, United States",176.22,100.20,55.39,68.82,75.75,3.75,32.08,23.27,62.74
36,,"Amsterdam, Netherlands",176.19,90.41,67.40,72.78,78.01,10.36,27.86,32.08,77.00
37,,"Glasgow, United Kingdom",175.59,103.45,52.75,87.45,68.91,5.00,45.11,29.95,68.32
38,,"Sydney, Australia",174.77,109.23,59.76,72.00,86.03,12.40,42.30,28.68,84.56
39,,"Helsinki, Finland",174.73,110.60,72.85,74.64,78.35,10.31,35.97,18.04,40.43
40,,"Berlin, Germany",174.73,116.11,63.28,78.70,64.18,8.84,32.42,42.15,62.30
41,,"Halifax, Canada",174.11,94.86,54.21,75.33,76.49,5.76,27.00,21.66,55.85
42,,"Auckland, New Zealand",172.51,102.20,54.38,69.72,83.90,10.09,39.87,28.57,84.79
43,,"Toronto, Canada",171.72,115.94,65.06,72.59,70.30,8.50,42.37,41.48,70.35
44,,"Gdansk, Poland",171.53,72.08,68.78,62.88,39.06,10.07,26.35,31.03,69.82
45,,"Reykjavik, Iceland",170.92,77.42,75.92,66.79,111.59,6.37,20.62,11.96,44.53
46,,"Frankfurt, Germany",170.60,114.94,60.89,71.49,75.21,8.87,27.58,37.27,56.25
47,,"Mangalore, India",169.52,106.45,82.49,78.77,21.92,5.15,30.86,18.45,-17.12
48,,"Calgary, Canada",169.10,116.66,67.15,69.55,75.21,5.70,37.09,24.65,33.53
49,,"Hamburg, Germany",168.70,106.88,52.01,82.92,75.76,9.56,33.81,27.52,53.48
50,,"Ljubljana, Slovenia",168.45,72.23,75.93,64.43,58.74,11.48,25.70,27.53,60.50
51,,"Porto, Portugal",167.69,66.31,56.14,75.33,48.72,9.27,31.85,40.52,89.84
52,,"Lisbon, Portugal",167.53,61.33,66.94,68.03,50.47,14.74,34.27,34.26,94.26
53,,"Rotterdam, Netherlands",166.80,100.43,59.08,77.61,71.92,5.83,31.83,40.74,58.68
54,,"Atlanta, GA, United States",166.55,148.36,35.19,65.63,76.09,2.74,39.03,54.60,74.47
55,,"Riyadh, Saudi Arabia",166.53,148.29,79.19,70.10,47.79,2.38,40.27,71.06,38.04
56,,"Brno, Czech Republic",166.42,75.76,71.51,75.87,41.16,10.47,26.18,46.30,65.35
57,,"Tallinn, Estonia",165.57,68.76,76.98,68.42,51.37,11.42,28.52,21.16,44.56
58,,"Las Vegas, NV, United States",165.12,145.23,44.20,64.37,71.63,2.41,38.54,50.11,57.18
59,,"Taipei, Taiwan",165.08,119.79,84.24,84.69,66.23,15.63,31.45,47.74,35.20
60,,"Madrid, Spain",164.94,85.18,68.54,78.30,60.49,11.27,38.09,54.94,88.62
61,,"Zagreb, Croatia",164.21,67.14,71.39,68.05,48.57,11.12,31.34,36.35,70.35
62,,"Cape Town, South Africa",163.83,86.13,29.07,73.11,44.05,6.20,42.12,39.95,96.60
63,,"San Francisco, CA, United States",163.49,96.76,49.70,68.60,99.14,12.11,39.78,36.29,97.02
64,,"Montreal, Canada",163.44,103.16,64.99,61.93,71.16,6.49,40.91,32.30,55.23
65,,"Phoenix, AZ, United States",162.20,146.53,43.14,73.11,69.08,2.58,29.17,62.23,50.48
66,,"Houston, TX, United States",161.36,150.24,37.31,74.39,75.40,1.93,43.51,57.12,59.40
67,,"Philadelphia, PA, United States",161.05,129.65,40.91,69.90,86.35,2.58,41.71,50.88,70.79
68,,"Prague, Czech Republic",160.99,76.62,70.23,70.89,43.63,14.25,37.06,37.62,66.91
69,,"Cluj-Napoca, Romania",160.81,51.76,80.91,67.32,36.81,12.58,29.21,36.11,62.69
70,,"Stockholm, Sweden",160.24,101.95,54.22,68.00,83.42,15.36,39.35,16.27,55.44
71,,"Seoul, South Korea",160.16,90.86,76.20,86.96,79.77,17.82,34.24,37.48,53.64
72,,"Edmonton, Canada",158.83,113.83,59.29,76.06,72.74,5.56,35.22,27.60,18.70
73,,"Los Angeles, CA, United States",158.63,124.27,45.33,60.15,80.67,5.70,45.00,62.09,95.86
74,,"Bratislava, Slovakia",157.23,70.94,70.31,63.25,47.60,11.39,36.14,41.90,70.63
75,,"Orlando, FL, United States",156.34,107.49,45.03,64.22,79.53,2.80,39.70,37.75,57.71
76,,"Abu Dhabi, United Arab Emirates",155.88,136.07,84.49,58.36,65.96,4.81,25.61,54.50,6.01
77,,"Dublin, Ireland",154.93,99.00,47.19,51.07,79.72,8.01,36.87,32.99,71.38
78,,"Manchester, United Kingdom",154.38,97.00,46.84,76.71,69.06,5.97,41.89,52.26,74.07
79,,"Muscat, Oman",153.18,119.41,74.84,58.12,54.38,3.54,15.20,49.43,-0.57
80,,"Chicago, IL, United States",152.01,122.99,34.61,65.41,84.51,3.55,45.25,39.78,57.87
81,,"Warsaw, Poland",151.61,74.32,73.85,60.84,40.79,11.81,38.59,46.94,62.36
82,,"Timisoara, Romania",151.54,49.71,76.82,63.04,35.38,11.96,21.00,58.68,73.37
83,,"Banja Luka, Bosnia And Herzegovina",150.78,51.23,72.66,51.71,34.70,12.83,26.91,48.31,77.42
84,,"Tel Aviv-Yafo, Israel",150.17,90.00,68.67,75.63,80.11,18.28,40.19,52.95,78.56
85,,"Thessaloniki, Greece",150.11,50.44,66.11,67.22,55.88,9.11,24.56,62.96,89.07
86,,"Honolulu, HI, United States",149.99,85.56,63.62,65.51,99.54,10.01,39.36,42.90,71.90
87,,"Monterrey, Mexico",149.52,91.05,49.33,58.82,32.93,4.21,27.20,65.43,65.86
88,,"Brussels, Belgium",148.19,95.80,45.48,77.17,75.85,7.49,32.86,64.96,77.32
89,,"Barcelona, Spain",147.64,83.10,60.35,72.99,61.13,11.78,35.50,69.43,86.15
90,,"Regina, Canada",145.49,115.17,46.62,64.32,72.10,4.75,28.85,36.49,16.60
91,,"Izmir, Turkey",144.19,54.23,73.43,77.11,36.14,8.28,40.36,64.83,67.68
92,,"Johannesburg, South Africa",142.27,111.67,21.51,60.11,44.99,2.80,46.44,72.72,92.60
93,,"Novi Sad, Serbia",141.85,39.33,54.98,47.35,34.27,17.04,18.45,41.65,81.15
94,,"Oslo, Norway",141.77,101.49,51.20,70.29,106.93,10.33,40.44,24.71,31.76
95,,"Durban, South Africa",140.95,98.38,21.42,46.27,40.94,2.75,36.13,55.70,77.02
96,,"Dubai, United Arab Emirates",139.71,113.31,79.24,61.17,71.46,5.80,34.82,55.95,10.20
97,,"Riga, Latvia",139.49,52.01,62.68,58.10,49.20,10.47,28.95,33.94,43.04
98,,"Krakow (Cracow), Poland",138.73,73.94,68.92,63.19,38.58,11.13,32.29,68.86,60.63
99,,"Winnipeg, Canada",137.94,87.99,48.37,66.41,70.21,5.21,32.15,40.30,28.37
100,,"Curitiba, Brazil",137.00,50.73,34.84,57.00,49.73,11.81,39.05,43.38,93.37
101,,"Pune, India",136.91,103.45,54.23,65.69,27.20,8.36,50.02,77.41,65.11
102,,"Vilnius, Lithuania",136.71,54.06,67.56,69.60,47.24,15.33,29.76,25.80,20.64
