,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,"Istanbul, Turkey",38.22
1,,"Helsinki, Finland",51.85
2,,"Cairo, Egypt",100.00
3,,"Rio de Janeiro, Brazil",60.44
4,,"Mexico City, Mexico",34.83
5,,"Rome, Italy",55.56
6,,"Sarajevo, Bosnia And Herzegovina",24.69
7,,"Kiev (Kyiv), Ukraine",100.76
8,,"Calgary, Canada",31.25
9,,"Edmonton, Canada",-
10,,"Amsterdam, Netherlands",49.38
11,,"Belgrade, Serbia",37.04
12,,"Halifax, Canada",-
13,,"Paris, France",43.21
14,,"Ottawa, Canada",40.06
15,,"Thessaloniki, Greece",49.38
16,,"Sofia, Bulgaria",50.31
17,,"Atlanta, GA, United States",52.50
18,,"Berlin, Germany",52.47
19,,"Beirut, Lebanon",64.50
20,,"Singapore, Singapore",55.71
21,,"Austin, TX, United States",15.00
22,,"Toronto, Canada",60.10
23,,"Auckland, New Zealand",108.50
24,,"Vancouver, Canada",36.06
25,,"Tokyo, Japan",87.74
26,,"Christchurch, New Zealand",40.82
27,,"Winnipeg, Canada",43.07
28,,"Boston, MA, United States",35.00
29,,"Charlotte, NC, United States",65.00
30,,"Chicago, IL, United States",16.50
31,,"Oslo, Norway",62.60
32,,"Bratislava, Slovakia",-
33,,"Dallas, TX, United States",40.00
34,,"Denver, CO, United States",27.50
35,,"Zagreb, Croatia",55.81
36,,"Detroit, MI, United States",40.00
37,,"Hamburg, Germany",34.57
38,,"Fort Worth, TX, United States",-
39,,"Wellington, New Zealand",47.62
40,,"Tehran, Iran",70.00
41,,"Santiago, Chile",33.27
42,,"Honolulu, HI, United States",69.00
43,,"Houston, TX, United States",20.00
44,,"Dubai, United Arab Emirates",75.00
45,,"Indianapolis, IN, United States",50.00
46,,"Bogota, Colombia",100.00
47,,"Muscat, Oman",-
48,,"Munich, Germany",-
49,,"Leeds, United Kingdom",50.72
50,,"Kansas City, MO, United States",50.00
51,,"Las Vegas, NV, United States",-
52,,"London, United Kingdom",44.20
53,,"Los Angeles, CA, United States",40.00
54,,"Panama City, Panama",-
55,,"Manchester, United Kingdom",43.48
56,,"Seoul, South Korea",38.33
57,,"Prague, Czech Republic",48.47
58,,"Miami, FL, United States",37.00
59,,"Kuala Lumpur, Malaysia",82.81
60,,"New York, NY, United States",39.00
61,,"Copenhagen, Denmark",72.98
62,,"Ljubljana, Slovenia",37.04
63,,"Islamabad, Pakistan",30.00
64,,"Chandigarh, India",10.79
65,,"Athens, Greece",47.33
66,,"Philadelphia, PA, United States",39.33
67,,"Hong Kong, Hong Kong",71.67
68,,"Portland, OR, United States",50.00
69,,"Lisbon, Portugal",43.21
70,,"Beijing, China",87.98
71,,"Richmond, VA, United States",40.00
72,,"Cape Town, South Africa",28.07
73,,"Budapest, Hungary",43.36
74,,"Saint Louis, MO, United States",60.00
75,,"Vilnius, Lithuania",71.51
76,,"Barcelona, Spain",41.15
77,,"San Francisco, CA, United States",48.00
78,,"San Jose, CA, United States",36.00
79,,"Bucharest, Romania",62.08
80,,"Ahmedabad, India",43.14
81,,"Tampa, FL, United States",40.00
82,,"Cluj-Napoca, Romania",58.82
83,,"Hartford, CT, United States",25.00
84,,"Madrid, Spain",61.73
85,,"Tallinn, Estonia",47.34
86,,"Bangalore, India",53.93
87,,"Washington, DC, United States",43.50
88,,"Chennai, India",26.60
89,,"Doha, Qatar",-
90,,"Delhi, India",64.71
91,,"Gurgaon, India",86.28
92,,"Vienna, Austria",98.77
93,,"Hyderabad, India",39.55
94,,"Taipei, Taiwan",45.00
95,,"San Juan, Puerto Rico",30.00
96,,"Kolkata, India",75.50
97,,"Belo Horizonte, Brazil",49.45
98,,"Bangkok, Thailand",46.25
99,,"Shanghai, China",-
100,,"Mumbai, India",50.33
101,,"Amman, Jordan",70.00
102,,"Pune, India",43.14
103,,"Geneva, Switzerland",51.72
104,,"Stockholm, Sweden",37.63
105,,"Buenos Aires, Argentina",80.00
106,,"Curitiba, Brazil",38.41
107,,"Cebu, Philippines",43.15
108,,"Montreal, Canada",55.29
109,,"Sao Paulo, Brazil",78.75
110,,"Dublin, Ireland",71.60
111,,"Moscow, Russia",64.73
112,,"Zurich, Switzerland",49.53
113,,"Manila, Philippines",-
114,,"Brisbane, Australia",56.78
115,,"Jakarta, Indonesia",41.49
116,,"Canberra, Australia",33.90
117,,"Brussels, Belgium",49.38
118,,"Melbourne, Australia",55.08
119,,"Perth, Australia",58.05
120,,"Sydney, Australia",50.85
