,Rank,City,One-way Ticket (Local Transport)
0,,Argentina,0.50
1,,Australia,3.26
2,,Austria,2.22
3,,Belgium,2.10
4,,Bosnia And Herzegovina,0.96
5,,Brazil,1.29
6,,Bulgaria,0.61
7,,Canada,2.64
8,,Chile,1.00
9,,China,0.29
10,,Colombia,0.74
11,,Croatia,1.85
12,,Czech Republic,0.87
13,,Denmark,3.80
14,,Ecuador,0.28
15,,Egypt,0.30
16,,Estonia,1.18
17,,Finland,3.40
18,,France,1.73
19,,Germany,2.78
20,,Greece,1.23
21,,Hong Kong,1.03
22,,Hungary,1.43
23,,India,0.23
24,,Indonesia,0.38
25,,Iran,0.60
26,,Ireland,2.10
27,,Israel,1.44
28,,Italy,1.36
29,,Japan,2.14
30,,Jordan,0.57
31,,Kazakhstan,0.34
32,,Lithuania,0.72
33,,Malaysia,0.69
34,,Malta,0.58
35,,Mexico,0.46
36,,Morocco,0.34
37,,Netherlands,3.21
38,,New Zealand,1.36
39,,Norway,4.64
40,,Pakistan,0.28
41,,Panama,0.25
42,,Philippines,0.26
43,,Poland,0.76
44,,Portugal,1.85
45,,Puerto Rico,1.50
46,,Qatar,1.09
47,,Romania,0.51
48,,Russia,0.71
49,,Saudi Arabia,0.80
50,,Serbia,0.49
51,,Singapore,1.43
52,,Slovakia,0.62
53,,Slovenia,0.99
54,,South Africa,1.63
55,,South Korea,1.00
56,,Spain,1.48
57,,Sweden,3.01
58,,Switzerland,2.59
59,,Syria,0.25
60,,Taiwan,0.63
61,,Thailand,0.62
62,,Turkey,0.96
63,,Ukraine,0.20
64,,United Arab Emirates,1.45
65,,United Kingdom,2.90
66,,United States,2.00
67,,Vietnam,0.20
