,Rank,City,Apartment (1 bedroom) Outside of Centre
0,,Argentina,268.33
1,,Australia,872.41
2,,Austria,481.48
3,,Belgium,493.83
4,,Bosnia And Herzegovina,213.99
5,,Brazil,332.17
6,,Bulgaria,198.87
7,,Canada,757.96
8,,Chile,350.00
9,,China,215.05
10,,Colombia,225.00
11,,Croatia,308.64
12,,Czech Republic,395.86
13,,Denmark,776.61
14,,Ecuador,143.33
15,,Egypt,250.00
16,,Estonia,197.26
17,,Finland,737.65
18,,France,563.37
19,,Germany,463.26
20,,Greece,365.57
21,,Hong Kong,927.11
22,,Hungary,530.58
23,,India,122.69
24,,Indonesia,228.86
25,,Iran,375.00
26,,Ireland,762.72
27,,Israel,677.50
28,,Italy,507.54
29,,Japan,943.19
30,,Jordan,150.00
31,,Kazakhstan,500.00
32,,Lithuania,196.66
33,,Malaysia,139.31
34,,Malta,323.46
35,,Mexico,244.13
36,,Morocco,390.95
37,,Netherlands,795.52
38,,New Zealand,553.77
39,,Norway,757.34
40,,Pakistan,92.05
41,,Panama,245.00
42,,Philippines,123.46
43,,Poland,271.04
44,,Portugal,462.96
45,,Puerto Rico,500.00
46,,Qatar,615.11
47,,Romania,207.44
48,,Russia,476.89
49,,Saudi Arabia,345.45
50,,Serbia,180.25
51,,Singapore,1071.43
52,,Slovakia,340.49
53,,Slovenia,462.96
54,,South Africa,370.08
55,,South Korea,311.51
56,,Spain,513.97
57,,Sweden,520.77
58,,Switzerland,773.76
59,,Syria,113.12
60,,Taiwan,333.13
61,,Thailand,283.69
62,,Turkey,289.97
63,,Ukraine,266.67
64,,United Arab Emirates,1347.31
65,,United Kingdom,735.61
66,,United States,695.33
67,,Vietnam,833.33
