,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Argentina,1.18
1,,Australia,2.47
2,,Austria,1.23
3,,Belgium,2.36
4,,Bosnia And Herzegovina,1.68
5,,Brazil,1.21
6,,Bulgaria,0.99
7,,Canada,1.66
8,,Chile,1.31
9,,China,0.61
10,,Colombia,0.73
11,,Croatia,1.99
12,,Czech Republic,1.22
13,,Denmark,2.89
14,,Ecuador,0.72
15,,Egypt,0.46
16,,Estonia,1.18
17,,Finland,2.14
18,,France,2.70
19,,Germany,1.92
20,,Greece,1.53
21,,Hong Kong,0.82
22,,Hungary,1.22
23,,India,0.41
24,,Indonesia,0.77
25,,Iran,0.61
26,,Ireland,2.02
27,,Israel,2.03
28,,Italy,2.68
29,,Japan,1.28
30,,Jordan,0.62
31,,Kazakhstan,0.73
32,,Lithuania,0.72
33,,Malaysia,0.53
34,,Malta,1.75
35,,Mexico,0.83
36,,Morocco,1.22
37,,Netherlands,2.50
38,,New Zealand,1.74
39,,Norway,3.61
40,,Pakistan,0.30
41,,Panama,0.72
42,,Philippines,0.57
43,,Poland,1.16
44,,Portugal,1.40
45,,Puerto Rico,1.00
46,,Qatar,0.39
47,,Romania,1.12
48,,Russia,1.43
49,,Saudi Arabia,0.44
50,,Serbia,1.07
51,,Singapore,1.03
52,,Slovakia,1.62
53,,Slovenia,2.25
54,,South Africa,1.00
55,,South Korea,1.07
56,,Spain,1.86
57,,Sweden,2.39
58,,Switzerland,2.91
59,,Syria,0.57
60,,Taiwan,0.64
61,,Thailand,0.58
62,,Turkey,1.36
63,,Ukraine,1.10
64,,United Arab Emirates,0.72
65,,United Kingdom,1.61
66,,United States,1.43
67,,Vietnam,0.40
