,Rank,City,"Meal, Inexpensive Restaurant"
0,,Argentina,8.62
1,,Australia,18.62
2,,Austria,10.87
3,,Bangladesh,1.30
4,,Belgium,21.74
5,,Bosnia And Herzegovina,7.25
6,,Brazil,8.23
7,,Bulgaria,5.82
8,,Canada,12.37
9,,Chile,8.00
10,,China,2.99
11,,Colombia,4.50
12,,Costa Rica,6.00
13,,Croatia,9.73
14,,Cyprus,18.12
15,,Czech Republic,5.88
16,,Denmark,16.44
17,,Ecuador,3.00
18,,Egypt,5.00
19,,Estonia,11.59
20,,Finland,13.04
21,,France,17.39
22,,Germany,11.59
23,,Greece,17.39
24,,Hong Kong,7.71
25,,Hungary,7.31
26,,Iceland,11.37
27,,India,2.22
28,,Indonesia,2.93
29,,Iran,6.00
30,,Ireland,20.29
31,,Israel,13.16
32,,Italy,21.74
33,,Japan,11.05
34,,Jordan,5.41
35,,Latvia,14.49
36,,Lebanon,13.50
37,,Lithuania,6.30
38,,Macedonia,3.91
39,,Malaysia,2.67
40,,Malta,14.49
41,,Mexico,6.05
42,,Morocco,2.90
43,,Netherlands,20.29
44,,New Zealand,12.40
45,,Norway,26.12
46,,Pakistan,2.30
47,,Panama,5.00
48,,Peru,3.00
49,,Philippines,2.78
50,,Poland,7.30
51,,Portugal,8.70
52,,Puerto Rico,10.00
53,,Qatar,11.29
54,,Romania,5.24
55,,Russia,10.73
56,,Saudi Arabia,5.24
57,,Serbia,7.25
58,,Singapore,8.13
59,,Slovakia,6.23
60,,Slovenia,10.14
61,,South Africa,11.03
62,,South Korea,5.12
63,,Spain,14.49
64,,Sri Lanka,3.00
65,,Sweden,13.13
66,,Switzerland,23.53
67,,Syria,3.00
68,,Taiwan,3.17
69,,Thailand,2.40
70,,Tunisia,9.74
71,,Turkey,6.29
72,,Ukraine,8.28
73,,United Arab Emirates,10.00
74,,United Kingdom,16.39
75,,United States,10.00
76,,Uruguay,12.00
77,,Venezuela,11.00
78,,Vietnam,2.50
