,Rank,City,Oranges (1kg)
0,,Argentina,1.20
1,,Australia,3.32
2,,Austria,2.59
3,,Bangladesh,1.61
4,,Belgium,3.32
5,,Bosnia And Herzegovina,1.67
6,,Brazil,1.80
7,,Bulgaria,1.89
8,,Canada,2.97
9,,Chile,1.02
10,,China,1.12
11,,Colombia,1.58
12,,Costa Rica,1.20
13,,Croatia,1.40
14,,Cyprus,1.96
15,,Czech Republic,1.76
16,,Denmark,4.79
17,,Ecuador,0.80
18,,Egypt,0.69
19,,Estonia,1.52
20,,Finland,2.56
21,,France,2.41
22,,Germany,3.21
23,,Greece,1.54
24,,Hong Kong,2.76
25,,Hungary,1.82
26,,Iceland,3.14
27,,India,1.50
28,,Indonesia,1.52
29,,Iran,1.86
30,,Ireland,2.98
31,,Israel,1.95
32,,Italy,2.41
33,,Japan,5.53
34,,Jordan,1.47
35,,Latvia,2.05
36,,Lebanon,1.50
37,,Lithuania,1.68
38,,Macedonia,1.30
39,,Malaysia,2.53
40,,Malta,2.90
41,,Mexico,1.22
42,,Morocco,0.84
43,,Netherlands,2.89
44,,New Zealand,2.83
45,,Norway,5.11
46,,Pakistan,0.82
47,,Panama,1.59
48,,Peru,1.40
49,,Philippines,1.89
50,,Poland,1.61
51,,Portugal,1.62
52,,Puerto Rico,2.65
53,,Qatar,2.71
54,,Romania,1.51
55,,Russia,1.80
56,,Saudi Arabia,1.74
57,,Serbia,1.31
58,,Singapore,1.71
59,,Slovakia,1.70
60,,Slovenia,2.60
61,,South Africa,1.99
62,,South Korea,2.44
63,,Spain,1.81
64,,Sri Lanka,3.12
65,,Sweden,2.62
66,,Switzerland,2.93
67,,Syria,0.50
68,,Taiwan,2.65
69,,Thailand,2.37
70,,Tunisia,1.18
71,,Turkey,1.37
72,,Ukraine,1.74
73,,United Arab Emirates,1.81
74,,United Kingdom,2.75
75,,United States,3.57
76,,Uruguay,2.12
77,,Venezuela,-
78,,Vietnam,1.55
