,Rank,City,Cappuccino (regular)
0,,Argentina,2.40
1,,Australia,3.89
2,,Austria,3.89
3,,Bangladesh,2.68
4,,Belgium,3.51
5,,Bosnia And Herzegovina,1.61
6,,Brazil,2.44
7,,Bulgaria,1.05
8,,Canada,3.58
9,,Chile,2.26
10,,China,3.53
11,,Colombia,2.00
12,,Costa Rica,2.33
13,,Croatia,1.71
14,,Cyprus,5.39
15,,Czech Republic,2.20
16,,Denmark,6.00
17,,Ecuador,1.38
18,,Egypt,2.13
19,,Estonia,3.04
20,,Finland,5.01
21,,France,3.28
22,,Germany,3.49
23,,Greece,4.91
24,,Hong Kong,4.48
25,,Hungary,1.67
26,,Iceland,3.77
27,,India,1.25
28,,Indonesia,2.09
29,,Iran,2.63
30,,Ireland,4.11
31,,Israel,3.65
32,,Italy,1.99
33,,Japan,4.54
34,,Jordan,3.01
35,,Latvia,2.05
36,,Lebanon,2.88
37,,Lithuania,1.89
38,,Macedonia,1.60
39,,Malaysia,2.65
40,,Malta,3.00
41,,Mexico,2.65
42,,Morocco,2.66
43,,Netherlands,3.61
44,,New Zealand,3.53
45,,Norway,5.98
46,,Pakistan,1.62
47,,Panama,1.50
48,,Peru,2.38
49,,Philippines,1.73
50,,Poland,2.31
51,,Portugal,1.31
52,,Puerto Rico,2.37
53,,Qatar,3.07
54,,Romania,1.83
55,,Russia,3.44
56,,Saudi Arabia,2.83
57,,Serbia,1.54
58,,Singapore,4.17
59,,Slovakia,2.04
60,,Slovenia,1.88
61,,South Africa,2.10
62,,South Korea,3.32
63,,Spain,2.08
64,,Sri Lanka,2.36
65,,Sweden,4.68
66,,Switzerland,5.08
67,,Syria,1.53
68,,Taiwan,3.50
69,,Thailand,1.69
70,,Tunisia,0.77
71,,Turkey,3.27
72,,Ukraine,2.04
73,,United Arab Emirates,3.76
74,,United Kingdom,3.61
75,,United States,3.54
76,,Uruguay,2.80
77,,Venezuela,2.10
78,,Vietnam,1.98
