,Rank,City,"Cinema, International Release, 1 Seat"
0,,Argentina,6.00
1,,Australia,17.02
2,,Austria,12.32
3,,Bangladesh,2.77
4,,Belgium,13.04
5,,Bosnia And Herzegovina,3.26
6,,Brazil,10.21
7,,Bulgaria,5.88
8,,Canada,12.37
9,,Chile,7.36
10,,China,9.72
11,,Colombia,5.15
12,,Costa Rica,6.50
13,,Croatia,5.84
14,,Cyprus,11.59
15,,Czech Republic,8.82
16,,Denmark,15.47
17,,Ecuador,4.25
18,,Egypt,4.50
19,,Estonia,7.09
20,,Finland,14.49
21,,France,13.19
22,,Germany,11.59
23,,Greece,12.68
24,,Hong Kong,10.28
25,,Hungary,8.10
26,,Iceland,9.91
27,,India,3.34
28,,Indonesia,3.81
29,,Iran,3.75
30,,Ireland,14.49
31,,Israel,10.23
32,,Italy,10.87
33,,Japan,21.29
34,,Jordan,9.00
35,,Latvia,8.21
36,,Lebanon,7.00
37,,Lithuania,7.56
38,,Macedonia,3.99
39,,Malaysia,4.00
40,,Malta,10.14
41,,Mexico,5.19
42,,Morocco,5.80
43,,Netherlands,13.04
44,,New Zealand,12.40
45,,Norway,18.60
46,,Pakistan,3.56
47,,Panama,3.75
48,,Peru,6.00
49,,Philippines,3.48
50,,Poland,7.30
51,,Portugal,8.04
52,,Puerto Rico,5.88
53,,Qatar,9.77
54,,Romania,6.29
55,,Russia,8.58
56,,Saudi Arabia,-
57,,Serbia,4.35
58,,Singapore,8.13
59,,Slovakia,8.70
60,,Slovenia,7.39
61,,South Africa,5.88
62,,South Korea,7.45
63,,Spain,10.14
64,,Sri Lanka,3.00
65,,Sweden,16.26
66,,Switzerland,21.18
67,,Syria,5.75
68,,Taiwan,7.00
69,,Thailand,3.98
70,,Tunisia,2.50
71,,Turkey,7.55
72,,Ukraine,6.00
73,,United Arab Emirates,9.00
74,,United Kingdom,13.10
75,,United States,9.50
76,,Uruguay,8.00
77,,Venezuela,5.80
78,,Vietnam,2.25
