,Rank,City,Water (0.33 liter bottle)
0,,Argentina,1.19
1,,Australia,2.71
2,,Austria,2.64
3,,Bangladesh,0.20
4,,Belgium,2.08
5,,Bosnia And Herzegovina,1.10
6,,Brazil,1.17
7,,Bulgaria,0.76
8,,Canada,1.62
9,,Chile,0.96
10,,China,0.35
11,,Colombia,0.80
12,,Costa Rica,1.55
13,,Croatia,1.71
14,,Cyprus,1.41
15,,Czech Republic,1.21
16,,Denmark,2.73
17,,Ecuador,0.49
18,,Egypt,0.28
19,,Estonia,1.59
20,,Finland,2.24
21,,France,2.31
22,,Germany,2.82
23,,Greece,0.72
24,,Hong Kong,1.24
25,,Hungary,1.08
26,,Iceland,1.69
27,,India,0.28
28,,Indonesia,0.35
29,,Iran,0.29
30,,Ireland,2.14
31,,Israel,2.08
32,,Italy,1.75
33,,Japan,1.45
34,,Jordan,0.56
35,,Latvia,1.11
36,,Lebanon,1.09
37,,Lithuania,0.84
38,,Macedonia,1.01
39,,Malaysia,0.41
40,,Malta,1.24
41,,Mexico,0.77
42,,Morocco,0.54
43,,Netherlands,2.87
44,,New Zealand,2.11
45,,Norway,4.13
46,,Pakistan,0.23
47,,Panama,0.92
48,,Peru,0.86
49,,Philippines,0.39
50,,Poland,0.91
51,,Portugal,1.23
52,,Puerto Rico,1.05
53,,Qatar,0.78
54,,Romania,0.90
55,,Russia,0.87
56,,Saudi Arabia,0.27
57,,Serbia,1.02
58,,Singapore,0.91
59,,Slovakia,1.15
60,,Slovenia,1.75
61,,South Africa,0.98
62,,South Korea,0.74
63,,Spain,1.77
64,,Sri Lanka,0.75
65,,Sweden,2.78
66,,Switzerland,3.78
67,,Syria,0.38
68,,Taiwan,0.62
69,,Thailand,0.29
70,,Tunisia,0.41
71,,Turkey,0.54
72,,Ukraine,0.52
73,,United Arab Emirates,0.37
74,,United Kingdom,1.58
75,,United States,1.27
76,,Uruguay,1.36
77,,Venezuela,1.09
78,,Vietnam,0.51
