,Rank,City,Lettuce (1 head)
0,,Albania,0.87
1,,Argentina,1.24
2,,Australia,2.44
3,,Austria,1.13
4,,Bahrain,0.87
5,,Bangladesh,0.38
6,,Belarus,1.22
7,,Belgium,1.47
8,,Bosnia And Herzegovina,0.65
9,,Brazil,0.95
10,,Bulgaria,0.51
11,,Cambodia,0.71
12,,Canada,1.51
13,,Chile,1.00
14,,China,0.74
15,,Colombia,1.02
16,,Costa Rica,0.71
17,,Croatia,0.78
18,,Cyprus,0.81
19,,Czech Republic,0.82
20,,Denmark,1.74
21,,Dominican Republic,0.91
22,,Ecuador,0.53
23,,Egypt,0.35
24,,Estonia,1.04
25,,Finland,2.02
26,,France,1.51
27,,Georgia,0.43
28,,Germany,1.13
29,,Greece,0.68
30,,Hong Kong,1.06
31,,Hungary,0.66
32,,Iceland,2.99
33,,India,0.42
34,,Indonesia,0.80
35,,Iran,0.63
36,,Iraq,1.18
37,,Ireland,1.21
38,,Israel,1.35
39,,Italy,1.36
40,,Japan,2.31
41,,Jordan,0.78
42,,Kazakhstan,2.50
43,,Kenya,0.67
44,,Kuwait,1.19
45,,Latvia,0.82
46,,Lebanon,1.03
47,,Lithuania,0.93
48,,Luxembourg,1.43
49,,Macedonia,0.42
50,,Malaysia,0.86
51,,Malta,1.23
52,,Mauritius,0.39
53,,Mexico,0.74
54,,Morocco,0.53
55,,Nepal,0.40
56,,Netherlands,1.19
57,,New Zealand,1.72
58,,Nigeria,1.45
59,,Norway,2.50
60,,Oman,0.51
61,,Pakistan,0.48
62,,Peru,0.45
63,,Philippines,1.30
64,,Poland,0.73
65,,Portugal,0.99
66,,Puerto Rico,1.87
67,,Qatar,1.25
68,,Romania,0.65
69,,Russia,1.16
70,,Saudi Arabia,1.08
71,,Serbia,0.40
72,,Singapore,1.32
73,,Slovakia,1.04
74,,Slovenia,1.23
75,,South Africa,1.09
76,,South Korea,2.05
77,,Spain,1.08
78,,Sri Lanka,0.27
79,,Sweden,1.81
80,,Switzerland,1.92
81,,Taiwan,1.27
82,,Tanzania,0.43
83,,Thailand,0.89
84,,Tunisia,0.36
85,,Turkey,0.80
86,,Ukraine,0.77
87,,United Arab Emirates,1.26
88,,United Kingdom,1.39
89,,United States,1.49
90,,Uruguay,1.08
91,,Venezuela,3.14
92,,Vietnam,0.91
