,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,4.32
1,,Argentina,8.95
2,,Australia,7.77
3,,Austria,8.58
4,,Bahrain,6.38
5,,Bangladesh,4.98
6,,Belarus,6.00
7,,Belgium,9.32
8,,Bosnia And Herzegovina,4.93
9,,Brazil,8.25
10,,Bulgaria,4.43
11,,Cambodia,4.00
12,,Canada,7.77
13,,Chile,6.35
14,,China,4.71
15,,Colombia,7.05
16,,Costa Rica,7.00
17,,Croatia,5.65
18,,Cyprus,7.41
19,,Czech Republic,5.77
20,,Denmark,11.56
21,,Dominican Republic,5.88
22,,Ecuador,5.00
23,,Egypt,4.99
24,,Estonia,5.65
25,,Finland,9.26
26,,France,9.26
27,,Georgia,6.70
28,,Germany,8.02
29,,Greece,7.41
30,,Hong Kong,3.87
31,,Hungary,5.76
32,,Iceland,9.51
33,,India,3.20
34,,Indonesia,3.74
35,,Iran,5.00
36,,Iraq,7.00
37,,Ireland,8.64
38,,Israel,10.26
39,,Italy,8.64
40,,Japan,8.28
41,,Jordan,7.00
42,,Kazakhstan,8.22
43,,Kenya,5.91
44,,Kuwait,6.00
45,,Latvia,5.75
46,,Lebanon,7.99
47,,Lithuania,4.65
48,,Luxembourg,8.33
49,,Macedonia,4.90
50,,Malaysia,3.14
51,,Malta,9.26
52,,Mauritius,6.10
53,,Mexico,4.53
54,,Morocco,6.38
55,,Nepal,7.97
56,,Netherlands,7.64
57,,New Zealand,7.52
58,,Nigeria,10.00
59,,Norway,15.55
60,,Oman,5.26
61,,Pakistan,5.37
62,,Peru,5.26
63,,Philippines,3.11
64,,Poland,4.52
65,,Portugal,6.79
66,,Puerto Rico,6.50
67,,Qatar,5.49
68,,Romania,4.96
69,,Russia,7.49
70,,Saudi Arabia,5.00
71,,Serbia,4.57
72,,Singapore,5.43
73,,Slovakia,6.17
74,,Slovenia,6.79
75,,South Africa,4.71
76,,South Korea,5.09
77,,Spain,8.02
78,,Sri Lanka,4.19
79,,Sweden,8.94
80,,Switzerland,13.40
81,,Taiwan,4.02
82,,Tanzania,5.51
83,,Thailand,4.56
84,,Tunisia,4.94
85,,Turkey,6.45
86,,Ukraine,4.62
87,,United Arab Emirates,5.99
88,,United Kingdom,7.69
89,,United States,6.00
90,,Uruguay,9.23
91,,Venezuela,12.09
92,,Vietnam,3.49
