,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,1.45
1,,Argentina,2.24
2,,Australia,5.83
3,,Austria,4.32
4,,Bahrain,8.11
5,,Bangladesh,3.53
6,,Belarus,1.41
7,,Belgium,4.32
8,,Bosnia And Herzegovina,1.42
9,,Brazil,1.97
10,,Bulgaria,1.27
11,,Cambodia,1.00
12,,Canada,4.85
13,,Chile,1.66
14,,China,1.26
15,,Colombia,1.43
16,,Costa Rica,2.00
17,,Croatia,2.46
18,,Cyprus,3.70
19,,Czech Republic,1.25
20,,Denmark,7.49
21,,Dominican Republic,2.00
22,,Ecuador,1.00
23,,Egypt,2.00
24,,Estonia,2.84
25,,Finland,6.40
26,,France,6.17
27,,Georgia,1.22
28,,Germany,3.70
29,,Greece,4.94
30,,Hong Kong,4.51
31,,Hungary,1.44
32,,Iceland,6.17
33,,India,1.42
34,,Indonesia,2.13
35,,Iran,7.00
36,,Iraq,2.00
37,,Ireland,4.94
38,,Israel,5.77
39,,Italy,4.94
40,,Japan,6.37
41,,Jordan,5.00
42,,Kazakhstan,1.99
43,,Kenya,1.77
44,,Kuwait,-
45,,Latvia,1.77
46,,Lebanon,2.00
47,,Lithuania,1.79
48,,Luxembourg,3.70
49,,Macedonia,1.53
50,,Malaysia,3.14
51,,Malta,2.47
52,,Mauritius,1.48
53,,Mexico,1.39
54,,Morocco,3.70
55,,Nepal,2.47
56,,Netherlands,4.94
57,,New Zealand,5.26
58,,Nigeria,2.00
59,,Norway,11.13
60,,Oman,9.51
61,,Pakistan,2.16
62,,Peru,1.60
63,,Philippines,0.81
64,,Poland,1.69
65,,Portugal,1.85
66,,Puerto Rico,1.50
67,,Qatar,10.57
68,,Romania,1.10
69,,Russia,1.50
70,,Saudi Arabia,0.80
71,,Serbia,1.51
72,,Singapore,4.65
73,,Slovakia,1.36
74,,Slovenia,2.96
75,,South Africa,1.88
76,,South Korea,2.55
77,,Spain,2.47
78,,Sri Lanka,1.51
79,,Sweden,7.57
80,,Switzerland,6.19
81,,Taiwan,1.68
82,,Tanzania,1.28
83,,Thailand,1.89
84,,Tunisia,2.16
85,,Turkey,2.69
86,,Ukraine,0.99
87,,United Arab Emirates,8.00
88,,United Kingdom,4.62
89,,United States,3.00
90,,Uruguay,2.12
91,,Venezuela,3.49
92,,Vietnam,0.96
