,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,24.32
1,,Argentina,43.81
2,,Australia,65.89
3,,Austria,57.13
4,,Bahrain,79.43
5,,Bangladesh,26.27
6,,Belarus,79.01
7,,Belgium,58.71
8,,Bosnia And Herzegovina,26.12
9,,Brazil,59.37
10,,Bulgaria,26.54
11,,Cambodia,50.42
12,,Canada,47.79
13,,Chile,54.53
14,,China,45.11
15,,Colombia,49.78
16,,Costa Rica,43.80
17,,Croatia,41.00
18,,Cyprus,74.95
19,,Czech Republic,38.10
20,,Denmark,46.78
21,,Dominican Republic,45.42
22,,Ecuador,33.16
23,,Egypt,44.88
24,,Estonia,70.37
25,,Finland,70.04
26,,France,67.86
27,,Georgia,-
28,,Germany,46.14
29,,Greece,48.42
30,,Hong Kong,66.58
31,,Hungary,45.82
32,,Iceland,62.03
33,,India,18.90
34,,Indonesia,38.61
35,,Iran,33.85
36,,Iraq,67.77
37,,Ireland,56.06
38,,Israel,68.42
39,,Italy,68.00
40,,Japan,86.90
41,,Jordan,57.30
42,,Kazakhstan,97.33
43,,Kenya,67.60
44,,Kuwait,114.30
45,,Latvia,52.05
46,,Lebanon,58.90
47,,Lithuania,52.56
48,,Luxembourg,101.73
49,,Macedonia,21.11
50,,Malaysia,47.10
51,,Malta,28.64
52,,Mauritius,35.04
53,,Mexico,45.98
54,,Morocco,39.20
55,,Nepal,12.96
56,,Netherlands,42.70
57,,New Zealand,50.09
58,,Nigeria,107.59
59,,Norway,80.76
60,,Oman,46.49
61,,Pakistan,16.40
62,,Peru,48.93
63,,Philippines,34.10
64,,Poland,35.60
65,,Portugal,58.94
66,,Puerto Rico,35.56
67,,Qatar,95.17
68,,Romania,31.24
69,,Russia,59.39
70,,Saudi Arabia,85.21
71,,Serbia,26.31
72,,Singapore,96.81
73,,Slovakia,45.27
74,,Slovenia,58.77
75,,South Africa,42.62
76,,South Korea,53.04
77,,Spain,57.20
78,,Sri Lanka,16.31
79,,Sweden,44.81
80,,Switzerland,97.56
81,,Taiwan,41.35
82,,Tanzania,67.26
83,,Thailand,43.49
84,,Tunisia,25.15
85,,Turkey,60.60
86,,Ukraine,41.33
87,,United Arab Emirates,106.59
88,,United Kingdom,59.85
89,,United States,39.60
90,,Uruguay,48.60
91,,Venezuela,112.67
92,,Vietnam,63.89
