,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1801.48
1,,Algeria,-
2,,Argentina,3036.54
3,,Armenia,1103.97
4,,Australia,6922.05
5,,Austria,6429.11
6,,Azerbaijan,3187.15
7,,Bahrain,-
8,,Bangladesh,1204.95
9,,Belarus,2025.00
10,,Belgium,4124.62
11,,Bosnia And Herzegovina,1660.16
12,,Brazil,3169.74
13,,Bulgaria,1170.11
14,,Cambodia,-
15,,Canada,3685.42
16,,Chile,2704.59
17,,China,5491.38
18,,Colombia,1581.76
19,,Costa Rica,989.61
20,,Croatia,2546.07
21,,Cyprus,2494.67
22,,Czech Republic,2933.39
23,,Denmark,4254.91
24,,Dominican Republic,1046.07
25,,Ecuador,1197.05
26,,Egypt,867.28
27,,Estonia,2841.45
28,,Finland,5279.80
29,,France,6146.99
30,,Georgia,1068.82
31,,Germany,4686.74
32,,Greece,2006.35
33,,Hong Kong,20167.09
34,,Hungary,1426.60
35,,Iceland,2946.98
36,,India,1411.72
37,,Indonesia,1995.68
38,,Iran,2084.30
39,,Iraq,1344.26
40,,Ireland,4118.79
41,,Israel,5752.46
42,,Italy,5535.39
43,,Jamaica,-
44,,Japan,6896.44
45,,Jordan,1371.97
46,,Kazakhstan,2232.25
47,,Kenya,1310.54
48,,Kuwait,-
49,,Latvia,2055.62
50,,Lebanon,5400.90
51,,Lithuania,2635.16
52,,Luxembourg,8232.41
53,,Macedonia,1354.03
54,,Malaysia,2074.52
55,,Malta,2494.67
56,,Mexico,1114.08
57,,Morocco,1876.59
58,,Nepal,720.67
59,,Netherlands,4805.50
60,,New Zealand,3634.11
61,,Nigeria,-
62,,Norway,7594.03
63,,Oman,1948.05
64,,Pakistan,1073.54
65,,Panama,1766.67
66,,Peru,1841.82
67,,Philippines,1808.17
68,,Poland,2437.04
69,,Portugal,2429.36
70,,Puerto Rico,-
71,,Qatar,-
72,,Romania,1486.70
73,,Russia,2787.23
74,,Saudi Arabia,1253.20
75,,Serbia,2177.17
76,,Singapore,18490.12
77,,Slovakia,1793.21
78,,Slovenia,3254.41
79,,South Africa,947.65
80,,South Korea,7839.95
81,,Spain,3419.88
82,,Sri Lanka,-
83,,Sweden,6886.14
84,,Switzerland,11194.57
85,,Taiwan,9664.57
86,,Thailand,2622.79
87,,Trinidad And Tobago,-
88,,Tunisia,970.77
89,,Turkey,1466.05
90,,Ukraine,1251.21
91,,United Arab Emirates,4437.71
92,,United Kingdom,6277.93
93,,United States,2018.41
94,,Uruguay,2432.00
95,,Venezuela,2116.00
96,,Vietnam,1716.03
