,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,6.00
1,,Algeria,-
2,,Argentina,19.63
3,,Armenia,14.27
4,,Australia,5.33
5,,Austria,2.91
6,,Azerbaijan,9.97
7,,Bahrain,5.25
8,,Bangladesh,17.22
9,,Belarus,32.29
10,,Belgium,3.40
11,,Bosnia And Herzegovina,8.38
12,,Brazil,10.64
13,,Bulgaria,7.35
14,,Cambodia,-
15,,Canada,3.29
16,,Chile,5.39
17,,China,6.17
18,,Colombia,11.79
19,,Costa Rica,13.57
20,,Croatia,6.31
21,,Cyprus,5.38
22,,Czech Republic,3.09
23,,Denmark,3.12
24,,Dominican Republic,12.50
25,,Ecuador,10.71
26,,Egypt,10.21
27,,Estonia,3.04
28,,Finland,2.13
29,,France,3.35
30,,Georgia,-
31,,Germany,3.17
32,,Greece,4.37
33,,Hong Kong,2.59
34,,Hungary,7.31
35,,Iceland,6.91
36,,India,10.96
37,,Indonesia,10.83
38,,Iran,22.30
39,,Iraq,-
40,,Ireland,3.97
41,,Israel,2.86
42,,Italy,4.87
43,,Jamaica,7.00
44,,Japan,2.13
45,,Jordan,10.67
46,,Kazakhstan,14.20
47,,Kenya,16.83
48,,Kuwait,6.75
49,,Latvia,3.10
50,,Lebanon,7.00
51,,Lithuania,2.74
52,,Luxembourg,2.00
53,,Macedonia,7.20
54,,Malaysia,4.80
55,,Malta,3.42
56,,Mexico,11.13
57,,Morocco,5.33
58,,Nepal,12.58
59,,Netherlands,4.06
60,,New Zealand,6.00
61,,Nigeria,15.40
62,,Norway,3.66
63,,Oman,7.20
64,,Pakistan,14.51
65,,Panama,4.67
66,,Peru,10.06
67,,Philippines,8.44
68,,Poland,4.69
69,,Portugal,4.39
70,,Puerto Rico,5.21
71,,Qatar,4.60
72,,Romania,6.59
73,,Russia,13.31
74,,Saudi Arabia,4.48
75,,Serbia,6.50
76,,Singapore,2.17
77,,Slovakia,3.49
78,,Slovenia,4.35
79,,South Africa,8.97
80,,South Korea,4.37
81,,Spain,3.58
82,,Sri Lanka,14.40
83,,Sweden,2.90
84,,Switzerland,1.97
85,,Taiwan,2.25
86,,Thailand,6.07
87,,Trinidad And Tobago,6.53
88,,Tunisia,6.33
89,,Turkey,11.72
90,,Ukraine,20.98
91,,United Arab Emirates,5.15
92,,United Kingdom,4.14
93,,United States,4.31
94,,Uruguay,6.88
95,,Venezuela,14.56
96,,Vietnam,9.57
