,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.67
1,,Algeria,1.89
2,,Argentina,2.00
3,,Armenia,1.47
4,,Australia,18.51
5,,Austria,6.40
6,,Azerbaijan,2.55
7,,Bahrain,2.65
8,,Bangladesh,2.32
9,,Belarus,1.70
10,,Belgium,7.48
11,,Bosnia And Herzegovina,2.78
12,,Brazil,2.90
13,,Bulgaria,3.48
14,,Cambodia,1.00
15,,Canada,10.13
16,,Chile,5.09
17,,China,2.40
18,,Colombia,2.11
19,,Costa Rica,3.20
20,,Croatia,4.49
21,,Cyprus,5.72
22,,Czech Republic,4.26
23,,Denmark,8.02
24,,Dominican Republic,3.36
25,,Ecuador,3.70
26,,Egypt,2.80
27,,Estonia,4.76
28,,Finland,7.62
29,,France,9.53
30,,Georgia,1.69
31,,Germany,7.08
32,,Greece,5.44
33,,Hong Kong,7.09
34,,Hungary,4.49
35,,Iceland,11.14
36,,India,2.53
37,,Indonesia,1.37
38,,Iran,2.80
39,,Iraq,2.50
40,,Ireland,13.61
41,,Israel,9.20
42,,Italy,6.80
43,,Jamaica,6.30
44,,Japan,4.36
45,,Jordan,2.64
46,,Kazakhstan,1.36
47,,Kenya,1.37
48,,Kuwait,2.48
49,,Latvia,4.49
50,,Lebanon,2.00
51,,Lithuania,3.75
52,,Luxembourg,-
53,,Macedonia,2.65
54,,Malaysia,3.72
55,,Malta,6.80
56,,Mexico,3.50
57,,Morocco,3.89
58,,Nepal,1.58
59,,Netherlands,8.16
60,,New Zealand,15.99
61,,Nigeria,1.23
62,,Norway,15.85
63,,Oman,2.60
64,,Pakistan,1.22
65,,Panama,4.50
66,,Peru,2.89
67,,Philippines,1.37
68,,Poland,4.60
69,,Portugal,5.85
70,,Puerto Rico,6.75
71,,Qatar,2.75
72,,Romania,4.49
73,,Russia,2.12
74,,Saudi Arabia,2.67
75,,Serbia,3.06
76,,Singapore,9.95
77,,Slovakia,4.63
78,,Slovenia,5.31
79,,South Africa,3.31
80,,South Korea,2.64
81,,Spain,6.53
82,,Sri Lanka,5.02
83,,Sweden,8.22
84,,Switzerland,8.97
85,,Taiwan,2.66
86,,Thailand,2.74
87,,Trinidad And Tobago,3.87
88,,Tunisia,3.37
89,,Turkey,4.53
90,,Ukraine,1.36
91,,United Arab Emirates,2.72
92,,United Kingdom,13.65
93,,United States,6.10
94,,Uruguay,3.69
95,,Venezuela,8.50
96,,Vietnam,1.04
