,Rank,City,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
0,,Albania,-
1,,Algeria,-
2,,Argentina,-
3,,Armenia,-
4,,Australia,-
5,,Austria,-
6,,Azerbaijan,-
7,,Bahrain,-
8,,Bangladesh,-
9,,Belarus,-
10,,Belgium,-
11,,Bosnia And Herzegovina,-
12,,Brazil,-
13,,Bulgaria,-
14,,Cambodia,-
15,,Canada,-
16,,Chile,-
17,,China,-
18,,Colombia,-
19,,Costa Rica,-
20,,Croatia,-
21,,Cyprus,-
22,,Czech Republic,-
23,,Denmark,-
24,,Dominican Republic,-
25,,Ecuador,-
26,,Egypt,-
27,,Estonia,-
28,,Finland,-
29,,France,-
30,,Georgia,-
31,,Germany,-
32,,Greece,-
33,,Hong Kong,-
34,,Hungary,-
35,,Iceland,-
36,,India,-
37,,Indonesia,-
38,,Iran,-
39,,Iraq,-
40,,Ireland,-
41,,Israel,-
42,,Italy,-
43,,Jamaica,-
44,,Japan,-
45,,Jordan,-
46,,Kazakhstan,-
47,,Kenya,-
48,,Kuwait,-
49,,Latvia,-
50,,Lebanon,-
51,,Lithuania,-
52,,Luxembourg,-
53,,Macedonia,-
54,,Malaysia,-
55,,Malta,-
56,,Mexico,-
57,,Morocco,-
58,,Nepal,-
59,,Netherlands,-
60,,New Zealand,-
61,,Nigeria,-
62,,Norway,-
63,,Oman,-
64,,Pakistan,-
65,,Panama,-
66,,Peru,-
67,,Philippines,-
68,,Poland,-
69,,Portugal,-
70,,Puerto Rico,-
71,,Qatar,-
72,,Romania,-
73,,Russia,-
74,,Saudi Arabia,-
75,,Serbia,-
76,,Singapore,-
77,,Slovakia,-
78,,Slovenia,-
79,,South Africa,-
80,,South Korea,-
81,,Spain,-
82,,Sri Lanka,-
83,,Sweden,-
84,,Switzerland,-
85,,Taiwan,-
86,,Thailand,-
87,,Trinidad And Tobago,-
88,,Tunisia,-
89,,Turkey,-
90,,Ukraine,-
91,,United Arab Emirates,-
92,,United Kingdom,-
93,,United States,-
94,,Uruguay,-
95,,Venezuela,-
96,,Vietnam,-
