,Rank,City,Apartment (3 bedrooms) Outside of Centre
0,,Albania,309.14
1,,Algeria,286.25
2,,Argentina,770.07
3,,Armenia,276.85
4,,Australia,1815.75
5,,Austria,1336.64
6,,Azerbaijan,930.65
7,,Bahrain,1480.99
8,,Bangladesh,223.24
9,,Belarus,645.73
10,,Belgium,1398.15
11,,Bosnia And Herzegovina,355.73
12,,Brazil,782.25
13,,Bulgaria,387.57
14,,Cambodia,465.62
15,,Canada,1293.93
16,,Chile,901.74
17,,China,797.66
18,,Colombia,673.36
19,,Costa Rica,733.98
20,,Croatia,451.43
21,,Cyprus,635.45
22,,Czech Republic,719.01
23,,Denmark,1569.88
24,,Dominican Republic,447.37
25,,Ecuador,552.31
26,,Egypt,309.36
27,,Estonia,584.80
28,,Finland,1297.43
29,,France,1312.32
30,,Georgia,577.01
31,,Germany,1265.08
32,,Greece,540.53
33,,Hong Kong,2621.60
34,,Hungary,438.47
35,,Iceland,1460.85
36,,India,268.07
37,,Indonesia,395.19
38,,Iran,649.24
39,,Iraq,745.45
40,,Ireland,1632.88
41,,Israel,1213.43
42,,Italy,1018.78
43,,Jamaica,524.96
44,,Japan,1270.93
45,,Jordan,558.61
46,,Kazakhstan,604.40
47,,Kenya,691.28
48,,Kuwait,1767.77
49,,Latvia,429.52
50,,Lebanon,1059.09
51,,Lithuania,543.11
52,,Luxembourg,2664.76
53,,Macedonia,264.74
54,,Malaysia,443.82
55,,Malta,711.29
56,,Mexico,555.99
57,,Morocco,317.39
58,,Nepal,97.39
59,,Netherlands,1412.91
60,,New Zealand,1444.44
61,,Nigeria,629.48
62,,Norway,2178.50
63,,Oman,1036.80
64,,Pakistan,203.94
65,,Panama,866.67
66,,Peru,752.38
67,,Philippines,253.57
68,,Poland,614.69
69,,Portugal,722.47
70,,Puerto Rico,700.00
71,,Qatar,2696.64
72,,Romania,397.77
73,,Russia,1081.42
74,,Saudi Arabia,594.55
75,,Serbia,342.58
76,,Singapore,2694.08
77,,Slovakia,693.63
78,,Slovenia,694.94
79,,South Africa,807.74
80,,South Korea,1150.55
81,,Spain,818.55
82,,Sri Lanka,386.65
83,,Sweden,1143.41
84,,Switzerland,2658.26
85,,Taiwan,591.46
86,,Thailand,600.85
87,,Trinidad And Tobago,571.06
88,,Tunisia,337.22
89,,Turkey,387.49
90,,Ukraine,361.18
91,,United Arab Emirates,2563.62
92,,United Kingdom,1502.18
93,,United States,1333.92
94,,Uruguay,901.81
95,,Venezuela,2430.34
96,,Vietnam,607.07
