,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,-
1,,Algeria,0.11
2,,Argentina,0.37
3,,Armenia,0.06
4,,Australia,0.88
5,,Austria,0.09
6,,Azerbaijan,0.11
7,,Bahrain,0.08
8,,Bangladesh,0.02
9,,Belarus,0.06
10,,Belgium,0.37
11,,Bosnia And Herzegovina,0.15
12,,Brazil,0.56
13,,Bulgaria,0.23
14,,Cambodia,0.07
15,,Canada,0.28
16,,Chile,0.23
17,,China,0.05
18,,Colombia,0.13
19,,Costa Rica,0.06
20,,Croatia,0.15
21,,Cyprus,0.15
22,,Czech Republic,0.18
23,,Denmark,0.16
24,,Dominican Republic,0.18
25,,Ecuador,0.18
26,,Egypt,0.02
27,,Estonia,0.06
28,,Finland,0.09
29,,France,0.28
30,,Georgia,0.09
31,,Germany,0.14
32,,Greece,0.45
33,,Hong Kong,0.09
34,,Hungary,0.16
35,,Iceland,0.14
36,,India,0.02
37,,Indonesia,0.11
38,,Iran,0.03
39,,Iraq,0.11
40,,Ireland,0.29
41,,Israel,0.11
42,,Italy,0.21
43,,Jamaica,0.10
44,,Japan,0.45
45,,Jordan,0.06
46,,Kazakhstan,0.07
47,,Kenya,0.05
48,,Kuwait,0.15
49,,Latvia,0.09
50,,Lebanon,0.29
51,,Lithuania,0.11
52,,Luxembourg,-
53,,Macedonia,0.11
54,,Malaysia,0.08
55,,Malta,0.34
56,,Mexico,0.16
57,,Morocco,0.28
58,,Nepal,0.02
59,,Netherlands,0.24
60,,New Zealand,0.43
61,,Nigeria,0.14
62,,Norway,0.16
63,,Oman,0.20
64,,Pakistan,0.02
65,,Panama,0.19
66,,Peru,0.18
67,,Philippines,0.17
68,,Poland,0.09
69,,Portugal,0.27
70,,Puerto Rico,0.13
71,,Qatar,0.18
72,,Romania,0.18
73,,Russia,0.04
74,,Saudi Arabia,0.13
75,,Serbia,0.14
76,,Singapore,0.16
77,,Slovakia,0.16
78,,Slovenia,0.13
79,,South Africa,0.14
80,,South Korea,0.16
81,,Spain,0.18
82,,Sri Lanka,0.02
83,,Sweden,0.13
84,,Switzerland,0.44
85,,Taiwan,0.32
86,,Thailand,0.05
87,,Trinidad And Tobago,0.17
88,,Tunisia,0.10
89,,Turkey,0.22
90,,Ukraine,0.06
91,,United Arab Emirates,0.14
92,,United Kingdom,0.21
93,,United States,0.16
94,,Uruguay,0.31
95,,Venezuela,0.17
96,,Vietnam,0.09
