,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,7.32
1,,Algeria,-
2,,Argentina,20.70
3,,Armenia,-
4,,Australia,17.32
5,,Austria,19.73
6,,Azerbaijan,53.12
7,,Bahrain,-
8,,Bangladesh,9.89
9,,Belarus,24.25
10,,Belgium,24.69
11,,Bosnia And Herzegovina,10.41
12,,Brazil,31.85
13,,Bulgaria,12.37
14,,Cambodia,-
15,,Canada,19.31
16,,Chile,15.57
17,,China,11.60
18,,Colombia,10.89
19,,Costa Rica,12.51
20,,Croatia,11.72
21,,Cyprus,21.32
22,,Czech Republic,11.56
23,,Denmark,34.03
24,,Dominican Republic,-
25,,Ecuador,-
26,,Egypt,6.34
27,,Estonia,29.26
28,,Finland,25.99
29,,France,23.96
30,,Georgia,9.89
31,,Germany,23.97
32,,Greece,13.88
33,,Hong Kong,6.94
34,,Hungary,11.71
35,,Iceland,37.86
36,,India,6.37
37,,Indonesia,6.66
38,,Iran,10.58
39,,Iraq,21.67
40,,Ireland,23.81
41,,Israel,15.64
42,,Italy,21.88
43,,Jamaica,-
44,,Japan,14.46
45,,Jordan,24.68
46,,Kazakhstan,15.43
47,,Kenya,-
48,,Kuwait,-
49,,Latvia,23.18
50,,Lebanon,21.00
51,,Lithuania,28.98
52,,Luxembourg,-
53,,Macedonia,7.53
54,,Malaysia,6.71
55,,Malta,9.66
56,,Mexico,16.84
57,,Morocco,8.11
58,,Nepal,4.56
59,,Netherlands,28.20
60,,New Zealand,14.82
61,,Nigeria,-
62,,Norway,37.92
63,,Oman,-
64,,Pakistan,7.68
65,,Panama,10.67
66,,Peru,-
67,,Philippines,5.01
68,,Poland,13.62
69,,Portugal,12.22
70,,Puerto Rico,-
71,,Qatar,-
72,,Romania,12.55
73,,Russia,28.98
74,,Saudi Arabia,19.00
75,,Serbia,11.53
76,,Singapore,9.12
77,,Slovakia,10.98
78,,Slovenia,14.63
79,,South Africa,9.90
80,,South Korea,22.78
81,,Spain,15.32
82,,Sri Lanka,-
83,,Sweden,26.78
84,,Switzerland,36.41
85,,Taiwan,6.66
86,,Thailand,7.99
87,,Trinidad And Tobago,15.49
88,,Tunisia,9.20
89,,Turkey,15.52
90,,Ukraine,9.80
91,,United Arab Emirates,19.47
92,,United Kingdom,17.34
93,,United States,18.36
94,,Uruguay,12.48
95,,Venezuela,22.49
96,,Vietnam,5.83
