,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,555.33
1,,Algeria,962.26
2,,Argentina,2279.93
3,,Armenia,683.68
4,,Australia,5050.44
5,,Austria,3342.64
6,,Azerbaijan,872.27
7,,Bahrain,-
8,,Bangladesh,495.04
9,,Belarus,1302.11
10,,Belgium,2518.83
11,,Bosnia And Herzegovina,834.45
12,,Brazil,1581.59
13,,Bulgaria,718.98
14,,Cambodia,736.22
15,,Canada,2758.61
16,,Chile,1504.31
17,,China,4303.76
18,,Colombia,1270.80
19,,Costa Rica,1364.15
20,,Croatia,1363.39
21,,Cyprus,1347.91
22,,Czech Republic,1553.38
23,,Denmark,3082.93
24,,Dominican Republic,817.90
25,,Ecuador,1070.58
26,,Egypt,485.41
27,,Estonia,1577.05
28,,Finland,3188.15
29,,France,5324.40
30,,Georgia,470.59
31,,Germany,2974.78
32,,Greece,1316.93
33,,Guatemala,-
34,,Hong Kong,16049.39
35,,Hungary,847.95
36,,Iceland,2056.87
37,,India,782.66
38,,Indonesia,1076.17
39,,Iran,978.23
40,,Iraq,762.13
41,,Ireland,3782.37
42,,Israel,4382.17
43,,Italy,2666.24
44,,Jamaica,1758.01
45,,Japan,6676.48
46,,Jordan,832.86
47,,Kazakhstan,1366.36
48,,Kenya,-
49,,Kuwait,-
50,,Latvia,1076.50
51,,Lebanon,1926.93
52,,Lithuania,1223.11
53,,Luxembourg,6010.93
54,,Macedonia,852.31
55,,Malaysia,1382.88
56,,Malta,1731.83
57,,Mauritius,-
58,,Mexico,761.17
59,,Moldova,608.95
60,,Montenegro,1133.88
61,,Morocco,878.20
62,,Nepal,-
63,,Netherlands,2401.73
64,,New Zealand,2753.23
65,,Nigeria,-
66,,Norway,4379.26
67,,Oman,-
68,,Pakistan,607.39
69,,Panama,1353.57
70,,Peru,1198.12
71,,Philippines,913.76
72,,Poland,1442.24
73,,Portugal,1187.61
74,,Puerto Rico,1397.87
75,,Qatar,4344.69
76,,Romania,895.75
77,,Russia,1367.10
78,,Saudi Arabia,757.67
79,,Serbia,996.65
80,,Singapore,9913.71
81,,Slovakia,1395.08
82,,Slovenia,1819.51
83,,South Africa,830.23
84,,South Korea,4391.54
85,,Spain,1836.53
86,,Sri Lanka,-
87,,Sweden,4530.61
88,,Switzerland,9024.60
89,,Taiwan,4871.72
90,,Tanzania,-
91,,Thailand,1593.00
92,,Trinidad And Tobago,-
93,,Tunisia,541.76
94,,Turkey,743.98
95,,Ukraine,783.66
96,,United Arab Emirates,2817.83
97,,United Kingdom,5337.08
98,,United States,1582.00
99,,Uruguay,1794.04
100,,Venezuela,-
101,,Vietnam,962.53
102,,Zimbabwe,-
