,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,303.18
1,,Algeria,341.54
2,,Argentina,1039.06
3,,Armenia,269.45
4,,Australia,3272.23
5,,Austria,1941.60
6,,Azerbaijan,414.21
7,,Bahrain,1531.26
8,,Bangladesh,327.56
9,,Belarus,354.58
10,,Belgium,2042.30
11,,Bosnia And Herzegovina,442.88
12,,Brazil,552.09
13,,Bulgaria,497.31
14,,Cambodia,187.00
15,,Canada,2447.09
16,,Chile,897.03
17,,China,1179.06
18,,Colombia,384.60
19,,Costa Rica,921.50
20,,Croatia,720.74
21,,Cyprus,1149.56
22,,Czech Republic,903.74
23,,Denmark,2990.34
24,,Dominican Republic,459.00
25,,Ecuador,501.07
26,,Egypt,339.88
27,,Estonia,891.94
28,,Finland,2434.80
29,,France,2200.15
30,,Georgia,235.01
31,,Germany,2442.51
32,,Greece,821.38
33,,Guatemala,512.23
34,,Hong Kong,2918.23
35,,Hungary,539.61
36,,Iceland,2161.21
37,,India,558.23
38,,Indonesia,347.70
39,,Iran,472.21
40,,Iraq,724.08
41,,Ireland,2660.83
42,,Israel,1943.21
43,,Italy,1714.22
44,,Jamaica,575.41
45,,Japan,2324.27
46,,Jordan,614.06
47,,Kazakhstan,731.76
48,,Kenya,306.38
49,,Kuwait,2265.62
50,,Latvia,662.33
51,,Lebanon,1109.34
52,,Lithuania,653.91
53,,Luxembourg,3562.84
54,,Macedonia,316.84
55,,Malaysia,1023.73
56,,Malta,1182.59
57,,Mauritius,692.99
58,,Mexico,714.34
59,,Moldova,197.90
60,,Montenegro,472.93
61,,Morocco,409.95
62,,Nepal,183.18
63,,Netherlands,2415.20
64,,New Zealand,2360.84
65,,Nigeria,635.93
66,,Norway,3369.02
67,,Oman,2118.62
68,,Pakistan,258.59
69,,Panama,694.35
70,,Peru,515.32
71,,Philippines,335.58
72,,Poland,792.54
73,,Portugal,874.31
74,,Puerto Rico,1626.23
75,,Qatar,3490.79
76,,Romania,499.51
77,,Russia,654.82
78,,Saudi Arabia,1774.43
79,,Serbia,368.37
80,,Singapore,3152.95
81,,Slovakia,796.16
82,,Slovenia,1114.17
83,,South Africa,1431.61
84,,South Korea,2420.95
85,,Spain,1455.36
86,,Sri Lanka,262.35
87,,Sweden,2460.93
88,,Switzerland,5927.93
89,,Taiwan,1573.58
90,,Tanzania,-
91,,Thailand,504.35
92,,Trinidad And Tobago,945.02
93,,Tunisia,315.20
94,,Turkey,699.40
95,,Ukraine,202.36
96,,United Arab Emirates,3164.38
97,,United Kingdom,2587.35
98,,United States,2801.03
99,,Uruguay,722.88
100,,Venezuela,166.78
101,,Vietnam,262.17
102,,Zimbabwe,383.33
