,Rank,City,Eggs (regular) (12)
0,,Albania,1.29
1,,Algeria,1.27
2,,Argentina,2.15
3,,Armenia,1.58
4,,Australia,3.55
5,,Austria,3.44
6,,Azerbaijan,1.57
7,,Bahrain,1.89
8,,Bangladesh,1.27
9,,Belarus,1.11
10,,Belgium,2.59
11,,Bosnia And Herzegovina,1.60
12,,Brazil,1.52
13,,Bulgaria,1.51
14,,Cambodia,1.50
15,,Canada,2.68
16,,Chile,2.62
17,,China,2.21
18,,Colombia,1.50
19,,Costa Rica,3.07
20,,Croatia,2.08
21,,Cyprus,2.65
22,,Czech Republic,1.48
23,,Denmark,3.42
24,,Dominican Republic,1.86
25,,Ecuador,1.86
26,,Egypt,1.50
27,,Estonia,1.33
28,,Finland,1.97
29,,France,3.09
30,,Georgia,1.61
31,,Germany,2.03
32,,Greece,3.14
33,,Guatemala,1.82
34,,Hong Kong,3.19
35,,Hungary,1.65
36,,Iceland,4.30
37,,India,0.87
38,,Indonesia,1.38
39,,Iran,1.46
40,,Iraq,1.57
41,,Ireland,2.78
42,,Israel,3.29
43,,Italy,2.84
44,,Jamaica,2.83
45,,Japan,1.81
46,,Jordan,2.13
47,,Kazakhstan,1.32
48,,Kenya,1.61
49,,Kuwait,1.91
50,,Latvia,1.54
51,,Lebanon,3.13
52,,Lithuania,1.63
53,,Luxembourg,3.63
54,,Macedonia,1.41
55,,Malaysia,1.42
56,,Malta,2.04
57,,Mauritius,2.06
58,,Mexico,1.70
59,,Moldova,0.94
60,,Montenegro,1.44
61,,Morocco,1.22
62,,Nepal,1.29
63,,Netherlands,2.31
64,,New Zealand,3.54
65,,Nigeria,1.85
66,,Norway,4.40
67,,Oman,2.36
68,,Pakistan,1.04
69,,Panama,2.16
70,,Peru,1.58
71,,Philippines,1.53
72,,Poland,1.64
73,,Portugal,1.84
74,,Puerto Rico,2.84
75,,Qatar,2.79
76,,Romania,1.72
77,,Russia,1.33
78,,Saudi Arabia,1.91
79,,Serbia,1.33
80,,Singapore,2.03
81,,Slovakia,1.97
82,,Slovenia,2.12
83,,South Africa,1.76
84,,South Korea,2.78
85,,Spain,1.77
86,,Sri Lanka,1.44
87,,Sweden,2.98
88,,Switzerland,5.90
89,,Taiwan,1.92
90,,Tanzania,2.24
91,,Thailand,1.65
92,,Trinidad And Tobago,3.22
93,,Tunisia,1.06
94,,Turkey,1.96
95,,Ukraine,1.00
96,,United Arab Emirates,2.68
97,,United Kingdom,3.07
98,,United States,2.85
99,,Uruguay,2.60
100,,Venezuela,6.16
101,,Vietnam,1.42
102,,Zimbabwe,1.95
