,Rank,City,Apples (1kg)
0,,Albania,0.82
1,,Algeria,1.57
2,,Argentina,2.42
3,,Armenia,0.92
4,,Australia,3.07
5,,Austria,2.38
6,,Azerbaijan,1.20
7,,Bahrain,2.07
8,,Bangladesh,2.04
9,,Belarus,1.11
10,,Belgium,1.89
11,,Bosnia And Herzegovina,0.92
12,,Brazil,1.74
13,,Bulgaria,0.99
14,,Cambodia,3.31
15,,Canada,3.09
16,,Chile,1.31
17,,China,2.26
18,,Colombia,2.03
19,,Costa Rica,3.80
20,,Croatia,1.22
21,,Cyprus,1.94
22,,Czech Republic,1.12
23,,Denmark,2.60
24,,Dominican Republic,2.99
25,,Ecuador,2.06
26,,Egypt,1.67
27,,Estonia,1.06
28,,Finland,1.96
29,,France,2.60
30,,Georgia,0.74
31,,Germany,2.25
32,,Greece,1.37
33,,Guatemala,2.90
34,,Hong Kong,2.76
35,,Hungary,1.00
36,,Iceland,2.34
37,,India,2.08
38,,Indonesia,2.82
39,,Iran,1.33
40,,Iraq,1.46
41,,Ireland,2.28
42,,Israel,2.23
43,,Italy,1.81
44,,Jamaica,4.45
45,,Japan,6.08
46,,Jordan,2.02
47,,Kazakhstan,1.67
48,,Kenya,3.32
49,,Kuwait,1.95
50,,Latvia,1.18
51,,Lebanon,1.98
52,,Lithuania,1.05
53,,Luxembourg,-
54,,Macedonia,0.67
55,,Malaysia,2.44
56,,Malta,2.27
57,,Mauritius,-
58,,Mexico,1.93
59,,Moldova,0.56
60,,Montenegro,0.92
61,,Morocco,1.23
62,,Nepal,1.84
63,,Netherlands,2.01
64,,New Zealand,2.43
65,,Nigeria,2.93
66,,Norway,3.09
67,,Oman,2.33
68,,Pakistan,1.22
69,,Panama,3.64
70,,Peru,1.46
71,,Philippines,2.26
72,,Poland,0.68
73,,Portugal,1.39
74,,Puerto Rico,4.27
75,,Qatar,1.93
76,,Romania,0.84
77,,Russia,1.52
78,,Saudi Arabia,1.82
79,,Serbia,0.71
80,,Singapore,2.90
81,,Slovakia,1.28
82,,Slovenia,1.42
83,,South Africa,1.53
84,,South Korea,6.08
85,,Spain,1.73
86,,Sri Lanka,2.30
87,,Sweden,2.50
88,,Switzerland,3.84
89,,Taiwan,3.08
90,,Tanzania,3.46
91,,Thailand,2.71
92,,Trinidad And Tobago,-
93,,Tunisia,1.45
94,,Turkey,1.16
95,,Ukraine,0.87
96,,United Arab Emirates,2.38
97,,United Kingdom,2.83
98,,United States,4.32
99,,Uruguay,2.02
100,,Venezuela,4.12
101,,Vietnam,2.61
102,,Zimbabwe,2.33
