,Rank,City,Potato (1kg)
0,,Albania,0.44
1,,Algeria,0.55
2,,Argentina,1.17
3,,Armenia,0.49
4,,Australia,2.16
5,,Austria,1.71
6,,Azerbaijan,0.74
7,,Bahrain,1.02
8,,Bangladesh,0.28
9,,Belarus,0.62
10,,Belgium,1.55
11,,Bosnia And Herzegovina,0.52
12,,Brazil,1.18
13,,Bulgaria,0.53
14,,Cambodia,1.67
15,,Canada,1.91
16,,Chile,1.08
17,,China,1.11
18,,Colombia,0.82
19,,Costa Rica,1.89
20,,Croatia,0.71
21,,Cyprus,0.69
22,,Czech Republic,0.56
23,,Denmark,1.67
24,,Dominican Republic,1.28
25,,Ecuador,1.22
26,,Egypt,0.48
27,,Estonia,0.42
28,,Finland,1.00
29,,France,1.43
30,,Georgia,0.51
31,,Germany,1.32
32,,Greece,0.76
33,,Guatemala,1.17
34,,Hong Kong,2.43
35,,Hungary,0.58
36,,Iceland,1.96
37,,India,0.38
38,,Indonesia,1.22
39,,Iran,0.61
40,,Iraq,0.84
41,,Ireland,1.44
42,,Israel,1.01
43,,Italy,1.24
44,,Jamaica,1.48
45,,Japan,3.64
46,,Jordan,0.96
47,,Kazakhstan,0.65
48,,Kenya,0.88
49,,Kuwait,1.18
50,,Latvia,0.47
51,,Lebanon,0.95
52,,Lithuania,0.41
53,,Luxembourg,-
54,,Macedonia,0.50
55,,Malaysia,1.01
56,,Malta,1.32
57,,Mauritius,1.10
58,,Mexico,1.05
59,,Moldova,0.33
60,,Montenegro,0.59
61,,Morocco,0.45
62,,Nepal,0.40
63,,Netherlands,1.22
64,,New Zealand,1.88
65,,Nigeria,-
66,,Norway,2.21
67,,Oman,1.35
68,,Pakistan,0.36
69,,Panama,-
70,,Peru,0.74
71,,Philippines,1.28
72,,Poland,0.42
73,,Portugal,0.70
74,,Puerto Rico,2.52
75,,Qatar,1.22
76,,Romania,0.46
77,,Russia,0.64
78,,Saudi Arabia,1.05
79,,Serbia,0.46
80,,Singapore,2.01
81,,Slovakia,0.73
82,,Slovenia,0.60
83,,South Africa,1.20
84,,South Korea,2.75
85,,Spain,0.89
86,,Sri Lanka,0.87
87,,Sweden,1.06
88,,Switzerland,2.99
89,,Taiwan,1.76
90,,Tanzania,0.97
91,,Thailand,1.28
92,,Trinidad And Tobago,-
93,,Tunisia,0.51
94,,Turkey,0.91
95,,Ukraine,0.31
96,,United Arab Emirates,1.28
97,,United Kingdom,1.74
98,,United States,2.61
99,,Uruguay,1.97
100,,Venezuela,4.20
101,,Vietnam,0.87
102,,Zimbabwe,1.25
