,Rank,City,Onion (1kg)
0,,Albania,0.45
1,,Algeria,0.55
2,,Argentina,1.41
3,,Armenia,0.70
4,,Australia,1.86
5,,Austria,1.52
6,,Azerbaijan,0.73
7,,Bahrain,0.91
8,,Bangladesh,0.57
9,,Belarus,0.66
10,,Belgium,1.63
11,,Bosnia And Herzegovina,0.57
12,,Brazil,1.26
13,,Bulgaria,0.53
14,,Cambodia,1.04
15,,Canada,1.74
16,,Chile,1.16
17,,China,1.36
18,,Colombia,0.82
19,,Costa Rica,1.82
20,,Croatia,0.75
21,,Cyprus,0.83
22,,Czech Republic,0.58
23,,Denmark,1.49
24,,Dominican Republic,2.34
25,,Ecuador,1.18
26,,Egypt,0.44
27,,Estonia,0.59
28,,Finland,1.45
29,,France,1.64
30,,Georgia,0.65
31,,Germany,1.41
32,,Greece,0.76
33,,Guatemala,0.93
34,,Hong Kong,2.06
35,,Hungary,0.61
36,,Iceland,1.48
37,,India,0.55
38,,Indonesia,1.66
39,,Iran,0.54
40,,Iraq,0.75
41,,Ireland,1.18
42,,Israel,0.82
43,,Italy,1.33
44,,Jamaica,-
45,,Japan,3.03
46,,Jordan,0.70
47,,Kazakhstan,0.60
48,,Kenya,0.87
49,,Kuwait,1.18
50,,Latvia,0.66
51,,Lebanon,0.86
52,,Lithuania,0.66
53,,Luxembourg,-
54,,Macedonia,0.49
55,,Malaysia,1.04
56,,Malta,1.66
57,,Mauritius,-
58,,Mexico,0.93
59,,Moldova,0.41
60,,Montenegro,0.68
61,,Morocco,0.41
62,,Nepal,0.70
63,,Netherlands,1.12
64,,New Zealand,1.84
65,,Nigeria,1.55
66,,Norway,2.43
67,,Oman,0.94
68,,Pakistan,0.40
69,,Panama,-
70,,Peru,0.75
71,,Philippines,1.26
72,,Poland,0.48
73,,Portugal,0.88
74,,Puerto Rico,2.27
75,,Qatar,1.03
76,,Romania,0.50
77,,Russia,0.60
78,,Saudi Arabia,0.91
79,,Serbia,0.43
80,,Singapore,1.89
81,,Slovakia,0.77
82,,Slovenia,0.73
83,,South Africa,1.12
84,,South Korea,2.27
85,,Spain,1.09
86,,Sri Lanka,0.80
87,,Sweden,1.19
88,,Switzerland,2.60
89,,Taiwan,1.73
90,,Tanzania,0.97
91,,Thailand,1.00
92,,Trinidad And Tobago,-
93,,Tunisia,0.59
94,,Turkey,0.67
95,,Ukraine,0.37
96,,United Arab Emirates,1.13
97,,United Kingdom,1.46
98,,United States,2.68
99,,Uruguay,1.82
100,,Venezuela,4.87
101,,Vietnam,0.91
102,,Zimbabwe,1.25
