,Rank,City,Bottle of Wine (Mid-Range)
0,,Albania,4.65
1,,Algeria,-
2,,Argentina,6.00
3,,Armenia,3.13
4,,Australia,11.41
5,,Austria,5.46
6,,Azerbaijan,4.76
7,,Bahrain,-
8,,Bangladesh,12.86
9,,Belarus,7.50
10,,Belgium,7.65
11,,Bosnia And Herzegovina,4.47
12,,Brazil,7.85
13,,Bulgaria,4.19
14,,Cambodia,8.00
15,,Canada,11.96
16,,Chile,5.61
17,,China,12.90
18,,Colombia,9.75
19,,Costa Rica,11.37
20,,Croatia,5.05
21,,Cyprus,5.46
22,,Czech Republic,3.98
23,,Denmark,8.79
24,,Dominican Republic,8.92
25,,Ecuador,14.50
26,,Egypt,8.98
27,,Estonia,5.78
28,,Finland,10.93
29,,France,6.56
30,,Georgia,4.34
31,,Germany,5.46
32,,Greece,6.56
33,,Guatemala,7.82
34,,Hong Kong,12.89
35,,Hungary,3.77
36,,Iceland,18.51
37,,India,7.86
38,,Indonesia,22.69
39,,Iran,17.00
40,,Iraq,10.00
41,,Ireland,10.93
42,,Israel,10.33
43,,Italy,5.46
44,,Jamaica,12.95
45,,Japan,10.42
46,,Jordan,14.12
47,,Kazakhstan,5.91
48,,Kenya,8.19
49,,Kuwait,-
50,,Latvia,5.95
51,,Lebanon,9.97
52,,Lithuania,6.45
53,,Luxembourg,6.56
54,,Macedonia,3.54
55,,Malaysia,16.25
56,,Malta,5.46
57,,Mauritius,11.32
58,,Mexico,7.74
59,,Moldova,2.20
60,,Montenegro,4.37
61,,Morocco,6.10
62,,Nepal,6.38
63,,Netherlands,5.46
64,,New Zealand,10.63
65,,Nigeria,4.02
66,,Norway,16.35
67,,Oman,12.99
68,,Pakistan,6.53
69,,Panama,7.75
70,,Peru,7.92
71,,Philippines,5.61
72,,Poland,5.31
73,,Portugal,4.37
74,,Puerto Rico,12.00
75,,Qatar,17.86
76,,Romania,3.69
77,,Russia,7.48
78,,Saudi Arabia,10.67
79,,Serbia,3.62
80,,Singapore,22.12
81,,Slovakia,5.19
82,,Slovenia,5.46
83,,South Africa,4.24
84,,South Korea,13.44
85,,Spain,5.46
86,,Sri Lanka,9.14
87,,Sweden,9.63
88,,Switzerland,12.69
89,,Taiwan,11.34
90,,Tanzania,8.04
91,,Thailand,16.31
92,,Trinidad And Tobago,15.78
93,,Tunisia,4.06
94,,Turkey,9.32
95,,Ukraine,3.01
96,,United Arab Emirates,20.42
97,,United Kingdom,10.64
98,,United States,12.00
99,,Uruguay,5.59
100,,Venezuela,8.00
101,,Vietnam,11.46
102,,Zimbabwe,8.10
