,Rank,City,"International Primary School, Yearly for 1 Child"
0,,Albania,-
1,,Algeria,-
2,,Argentina,-
3,,Armenia,-
4,,Australia,-
5,,Austria,-
6,,Azerbaijan,-
7,,Bahrain,-
8,,Bangladesh,-
9,,Belarus,-
10,,Belgium,-
11,,Bosnia And Herzegovina,-
12,,Brazil,-
13,,Bulgaria,-
14,,Cambodia,-
15,,Canada,-
16,,Chile,-
17,,China,-
18,,Colombia,-
19,,Costa Rica,-
20,,Croatia,-
21,,Cyprus,-
22,,Czech Republic,-
23,,Denmark,-
24,,Dominican Republic,-
25,,Ecuador,-
26,,Egypt,-
27,,Estonia,-
28,,Finland,-
29,,France,-
30,,Georgia,-
31,,Germany,-
32,,Greece,-
33,,Guatemala,-
34,,Hong Kong,-
35,,Hungary,-
36,,Iceland,-
37,,India,-
38,,Indonesia,-
39,,Iran,-
40,,Iraq,-
41,,Ireland,-
42,,Israel,-
43,,Italy,-
44,,Jamaica,-
45,,Japan,-
46,,Jordan,-
47,,Kazakhstan,-
48,,Kenya,-
49,,Kuwait,-
50,,Latvia,-
51,,Lebanon,-
52,,Lithuania,-
53,,Luxembourg,-
54,,Macedonia,-
55,,Malaysia,-
56,,Malta,-
57,,Mauritius,-
58,,Mexico,-
59,,Moldova,-
60,,Montenegro,-
61,,Morocco,-
62,,Nepal,-
63,,Netherlands,-
64,,New Zealand,-
65,,Nigeria,-
66,,Norway,-
67,,Oman,-
68,,Pakistan,-
69,,Panama,-
70,,Peru,-
71,,Philippines,-
72,,Poland,-
73,,Portugal,-
74,,Puerto Rico,-
75,,Qatar,-
76,,Romania,-
77,,Russia,-
78,,Saudi Arabia,-
79,,Serbia,-
80,,Singapore,-
81,,Slovakia,-
82,,Slovenia,-
83,,South Africa,-
84,,South Korea,-
85,,Spain,-
86,,Sri Lanka,-
87,,Sweden,-
88,,Switzerland,-
89,,Taiwan,-
90,,Tanzania,-
91,,Thailand,-
92,,Trinidad And Tobago,-
93,,Tunisia,-
94,,Turkey,-
95,,Ukraine,-
96,,United Arab Emirates,-
97,,United Kingdom,-
98,,United States,-
99,,Uruguay,-
100,,Venezuela,-
101,,Vietnam,-
102,,Zimbabwe,-
