,Rank,City,Apartment (3 bedrooms) in City Centre
0,,Albania,431.95
1,,Algeria,520.03
2,,Argentina,967.07
3,,Armenia,624.73
4,,Australia,2473.34
5,,Austria,1448.79
6,,Azerbaijan,1189.46
7,,Bahrain,1635.72
8,,Bangladesh,361.08
9,,Belarus,737.98
10,,Belgium,1576.29
11,,Bosnia And Herzegovina,347.03
12,,Brazil,875.49
13,,Bulgaria,473.44
14,,Cambodia,937.28
15,,Canada,1543.58
16,,Chile,743.02
17,,China,1968.68
18,,Colombia,596.75
19,,Costa Rica,918.14
20,,Croatia,516.03
21,,Cyprus,649.56
22,,Czech Republic,767.07
23,,Denmark,1844.50
24,,Dominican Republic,892.07
25,,Ecuador,638.33
26,,Egypt,566.93
27,,Estonia,769.70
28,,Finland,1614.40
29,,France,1558.45
30,,Georgia,786.89
31,,Germany,1417.05
32,,Greece,464.48
33,,Guatemala,611.37
34,,Hong Kong,4838.41
35,,Hungary,628.64
36,,Iceland,1717.75
37,,India,447.30
38,,Indonesia,1112.22
39,,Iran,944.75
40,,Iraq,983.93
41,,Ireland,1993.74
42,,Israel,1393.95
43,,Italy,1260.51
44,,Jamaica,842.68
45,,Japan,2033.14
46,,Jordan,635.59
47,,Kazakhstan,958.12
48,,Kenya,932.59
49,,Kuwait,1918.69
50,,Latvia,690.35
51,,Lebanon,2638.24
52,,Lithuania,775.54
53,,Luxembourg,2520.62
54,,Macedonia,366.13
55,,Malaysia,895.40
56,,Malta,1162.62
57,,Mauritius,721.77
58,,Mexico,699.69
59,,Moldova,387.49
60,,Montenegro,534.74
61,,Morocco,653.83
62,,Nepal,241.24
63,,Netherlands,1793.14
64,,New Zealand,1666.89
65,,Nigeria,1607.64
66,,Norway,2169.27
67,,Oman,1369.82
68,,Pakistan,338.46
69,,Panama,2000.00
70,,Peru,786.76
71,,Philippines,464.92
72,,Poland,778.95
73,,Portugal,861.78
74,,Puerto Rico,1071.72
75,,Qatar,4095.14
76,,Romania,483.63
77,,Russia,1121.73
78,,Saudi Arabia,741.90
79,,Serbia,414.22
80,,Singapore,4467.07
81,,Slovakia,866.30
82,,Slovenia,798.94
83,,South Africa,973.57
84,,South Korea,2386.71
85,,Spain,1037.09
86,,Sri Lanka,688.83
87,,Sweden,1425.34
88,,Switzerland,3195.70
89,,Taiwan,952.55
90,,Tanzania,1249.30
91,,Thailand,1320.79
92,,Trinidad And Tobago,1341.27
93,,Tunisia,403.33
94,,Turkey,661.20
95,,Ukraine,576.71
96,,United Arab Emirates,3814.16
97,,United Kingdom,2022.39
98,,United States,2050.13
99,,Uruguay,894.69
100,,Venezuela,492.22
101,,Vietnam,888.61
102,,Zimbabwe,635.71
