,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.16
1,,Algeria,2.11
2,,Argentina,5.00
3,,Armenia,1.41
4,,Australia,6.08
5,,Austria,4.10
6,,Azerbaijan,2.85
7,,Bahrain,5.31
8,,Bangladesh,4.76
9,,Belarus,2.50
10,,Belgium,3.28
11,,Bosnia And Herzegovina,1.67
12,,Brazil,3.77
13,,Bulgaria,1.68
14,,Cambodia,2.00
15,,Canada,5.18
16,,Chile,2.88
17,,China,3.23
18,,Colombia,1.95
19,,Costa Rica,3.36
20,,Croatia,2.16
21,,Cyprus,3.83
22,,Czech Republic,1.39
23,,Denmark,5.57
24,,Dominican Republic,2.68
25,,Ecuador,3.00
26,,Egypt,2.36
27,,Estonia,2.19
28,,Finland,5.46
29,,France,4.92
30,,Georgia,1.30
31,,Germany,3.28
32,,Greece,4.37
33,,Guatemala,1.96
34,,Hong Kong,4.51
35,,Hungary,1.42
36,,Iceland,6.29
37,,India,2.36
38,,Indonesia,3.71
39,,Iran,4.00
40,,Iraq,3.00
41,,Ireland,5.46
42,,Israel,6.45
43,,Italy,3.83
44,,Jamaica,2.24
45,,Japan,4.01
46,,Jordan,7.06
47,,Kazakhstan,1.88
48,,Kenya,2.94
49,,Kuwait,1.65
50,,Latvia,2.19
51,,Lebanon,3.30
52,,Lithuania,2.19
53,,Luxembourg,3.83
54,,Macedonia,1.59
55,,Malaysia,4.06
56,,Malta,2.73
57,,Mauritius,2.12
58,,Mexico,2.90
59,,Moldova,1.49
60,,Montenegro,1.80
61,,Morocco,3.05
62,,Nepal,2.70
63,,Netherlands,3.83
64,,New Zealand,5.67
65,,Nigeria,2.01
66,,Norway,9.43
67,,Oman,7.79
68,,Pakistan,4.91
69,,Panama,3.00
70,,Peru,2.53
71,,Philippines,1.91
72,,Poland,1.86
73,,Portugal,2.19
74,,Puerto Rico,3.50
75,,Qatar,10.99
76,,Romania,1.72
77,,Russia,2.45
78,,Saudi Arabia,0.93
79,,Serbia,1.54
80,,Singapore,5.90
81,,Slovakia,1.64
82,,Slovenia,3.06
83,,South Africa,2.20
84,,South Korea,4.48
85,,Spain,2.73
86,,Sri Lanka,2.99
87,,Sweden,5.84
88,,Switzerland,6.35
89,,Taiwan,1.94
90,,Tanzania,2.02
91,,Thailand,2.92
92,,Trinidad And Tobago,2.68
93,,Tunisia,1.52
94,,Turkey,3.73
95,,Ukraine,1.29
96,,United Arab Emirates,10.35
97,,United Kingdom,5.32
98,,United States,5.00
99,,Uruguay,3.36
100,,Venezuela,3.50
101,,Vietnam,1.38
102,,Zimbabwe,2.00
