,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,37.15
1,,Algeria,44.81
2,,Argentina,70.67
3,,Armenia,44.98
4,,Australia,49.81
5,,Austria,38.04
6,,Azerbaijan,45.99
7,,Bahrain,43.50
8,,Bangladesh,27.64
9,,Belarus,44.86
10,,Belgium,46.38
11,,Bosnia And Herzegovina,26.18
12,,Brazil,52.86
13,,Bulgaria,27.46
14,,Cambodia,21.00
15,,Canada,34.65
16,,Chile,39.52
17,,China,43.22
18,,Colombia,44.82
19,,Costa Rica,49.57
20,,Croatia,33.88
21,,Cyprus,41.03
22,,Czech Republic,33.40
23,,Denmark,40.44
24,,Dominican Republic,52.92
25,,Ecuador,54.77
26,,Egypt,52.92
27,,Estonia,37.99
28,,Finland,35.30
29,,France,41.99
30,,Georgia,42.54
31,,Germany,36.06
32,,Greece,33.30
33,,Guatemala,48.89
34,,Hong Kong,41.42
35,,Hungary,31.91
36,,Iceland,70.92
37,,India,36.23
38,,Indonesia,29.86
39,,Iran,38.24
40,,Iraq,27.43
41,,Ireland,39.62
42,,Israel,53.81
43,,Italy,33.72
44,,Jamaica,38.84
45,,Japan,32.21
46,,Jordan,70.04
47,,Kazakhstan,63.32
48,,Kenya,34.44
49,,Kuwait,54.13
50,,Latvia,42.11
51,,Lebanon,47.35
52,,Lithuania,39.44
53,,Luxembourg,46.45
54,,Macedonia,32.62
55,,Malaysia,35.21
56,,Malta,37.80
57,,Mauritius,30.09
58,,Mexico,38.99
59,,Moldova,36.14
60,,Montenegro,35.27
61,,Morocco,40.07
62,,Nepal,29.44
63,,Netherlands,38.24
64,,New Zealand,43.62
65,,Nigeria,28.47
66,,Norway,48.20
67,,Oman,40.48
68,,Pakistan,34.98
69,,Panama,34.00
70,,Peru,45.72
71,,Philippines,31.10
72,,Poland,35.28
73,,Portugal,31.63
74,,Puerto Rico,48.50
75,,Qatar,58.06
76,,Romania,33.88
77,,Russia,44.16
78,,Saudi Arabia,59.62
79,,Serbia,30.14
80,,Singapore,44.68
81,,Slovakia,29.68
82,,Slovenia,34.70
83,,South Africa,38.75
84,,South Korea,49.60
85,,Spain,30.79
86,,Sri Lanka,33.46
87,,Sweden,38.37
88,,Switzerland,57.45
89,,Taiwan,42.07
90,,Tanzania,50.36
91,,Thailand,40.69
92,,Trinidad And Tobago,58.38
93,,Tunisia,51.02
94,,Turkey,32.54
95,,Ukraine,43.90
96,,United Arab Emirates,58.48
97,,United Kingdom,46.33
98,,United States,35.18
99,,Uruguay,49.66
100,,Venezuela,59.67
101,,Vietnam,28.07
102,,Zimbabwe,42.50
