,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,0.94
1,,Algeria,0.29
2,,Argentina,1.30
3,,Armenia,0.87
4,,Australia,1.12
5,,Austria,1.15
6,,Azerbaijan,1.05
7,,Bahrain,1.30
8,,Bangladesh,0.86
9,,Belarus,0.66
10,,Belgium,1.03
11,,Bosnia And Herzegovina,0.81
12,,Brazil,0.86
13,,Bulgaria,1.06
14,,Cambodia,2.19
15,,Canada,1.67
16,,Chile,1.17
17,,China,2.31
18,,Colombia,0.91
19,,Costa Rica,1.34
20,,Croatia,0.86
21,,Cyprus,1.47
22,,Czech Republic,0.73
23,,Denmark,0.95
24,,Dominican Republic,1.19
25,,Ecuador,1.07
26,,Egypt,1.12
27,,Estonia,0.64
28,,Finland,1.01
29,,France,1.06
30,,Georgia,1.03
31,,Germany,0.81
32,,Greece,1.29
33,,Guatemala,1.64
34,,Hong Kong,2.82
35,,Hungary,0.75
36,,Iceland,1.22
37,,India,0.66
38,,Indonesia,1.35
39,,Iran,0.79
40,,Iraq,1.26
41,,Ireland,1.12
42,,Israel,1.53
43,,Italy,1.31
44,,Jamaica,1.97
45,,Japan,1.46
46,,Jordan,1.49
47,,Kazakhstan,1.29
48,,Kenya,0.92
49,,Kuwait,1.51
50,,Latvia,0.87
51,,Lebanon,2.08
52,,Lithuania,0.93
53,,Luxembourg,1.25
54,,Macedonia,0.89
55,,Malaysia,1.82
56,,Malta,0.95
57,,Mauritius,1.26
58,,Mexico,0.95
59,,Moldova,0.56
60,,Montenegro,0.81
61,,Morocco,0.73
62,,Nepal,0.65
63,,Netherlands,0.97
64,,New Zealand,1.80
65,,Nigeria,2.07
66,,Norway,2.01
67,,Oman,1.54
68,,Pakistan,0.85
69,,Panama,1.47
70,,Peru,1.15
71,,Philippines,1.69
72,,Poland,0.66
73,,Portugal,0.65
74,,Puerto Rico,1.64
75,,Qatar,1.75
76,,Romania,0.96
77,,Russia,0.99
78,,Saudi Arabia,1.18
79,,Serbia,0.81
80,,Singapore,2.20
81,,Slovakia,0.79
82,,Slovenia,0.96
83,,South Africa,1.02
84,,South Korea,2.27
85,,Spain,0.86
86,,Sri Lanka,1.30
87,,Sweden,1.17
88,,Switzerland,1.59
89,,Taiwan,3.02
90,,Tanzania,1.32
91,,Thailand,1.51
92,,Trinidad And Tobago,1.89
93,,Tunisia,0.59
94,,Turkey,0.91
95,,Ukraine,0.58
96,,United Arab Emirates,1.55
97,,United Kingdom,1.35
98,,United States,0.92
99,,Uruguay,0.84
100,,Venezuela,1.32
101,,Vietnam,1.44
102,,Zimbabwe,1.30
