,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.46
1,,Algeria,0.50
2,,Argentina,1.47
3,,Armenia,1.25
4,,Australia,2.98
5,,Austria,4.43
6,,Azerbaijan,0.66
7,,Bahrain,5.31
8,,Bangladesh,1.02
9,,Belarus,1.79
10,,Belgium,4.54
11,,Bolivia,1.45
12,,Bosnia And Herzegovina,0.87
13,,Brazil,1.41
14,,Bulgaria,0.46
15,,Cambodia,1.00
16,,Canada,2.74
17,,Chile,0.44
18,,China,1.52
19,,Colombia,1.36
20,,Costa Rica,1.18
21,,Croatia,2.27
22,,Cyprus,3.88
23,,Czech Republic,1.68
24,,Denmark,6.11
25,,Dominican Republic,3.92
26,,Ecuador,1.25
27,,Egypt,0.34
28,,El Salvador,4.00
29,,Estonia,2.84
30,,Finland,6.70
31,,France,5.68
32,,Georgia,1.42
33,,Germany,3.97
34,,Greece,3.63
35,,Guatemala,3.27
36,,Hong Kong,2.83
37,,Hungary,1.64
38,,Iceland,5.63
39,,India,0.75
40,,Indonesia,0.53
41,,Iran,0.33
42,,Iraq,3.00
43,,Ireland,4.54
44,,Israel,3.21
45,,Italy,5.68
46,,Jamaica,3.20
47,,Japan,6.80
48,,Jordan,0.35
49,,Kazakhstan,1.50
50,,Kenya,2.97
51,,Kosovo (Disputed Territory),1.70
52,,Kuwait,3.32
53,,Latvia,1.70
54,,Lebanon,5.15
55,,Lithuania,0.68
56,,Luxembourg,2.95
57,,Macedonia,0.74
58,,Malaysia,0.74
59,,Malta,11.35
60,,Mauritius,3.19
61,,Mexico,1.35
62,,Moldova,1.52
63,,Montenegro,1.14
64,,Morocco,0.70
65,,Nepal,2.11
66,,Netherlands,5.11
67,,New Zealand,2.09
68,,Nigeria,2.51
69,,Norway,12.31
70,,Oman,2.60
71,,Pakistan,0.96
72,,Panama,2.00
73,,Peru,1.51
74,,Philippines,0.87
75,,Poland,1.83
76,,Portugal,3.86
77,,Puerto Rico,3.75
78,,Qatar,2.20
79,,Romania,0.43
80,,Russia,1.84
81,,Saudi Arabia,2.67
82,,Serbia,1.57
83,,Singapore,2.59
84,,Slovakia,3.41
85,,Slovenia,1.14
86,,South Africa,1.01
87,,South Korea,2.60
88,,Spain,3.41
89,,Sri Lanka,0.34
90,,Sweden,5.53
91,,Switzerland,6.52
92,,Taiwan,2.49
93,,Thailand,0.99
94,,Trinidad And Tobago,0.75
95,,Tunisia,0.21
96,,Turkey,1.10
97,,Ukraine,1.25
98,,United Arab Emirates,2.72
99,,United Kingdom,4.37
100,,United States,3.00
101,,Uruguay,1.17
102,,Venezuela,1.00
103,,Vietnam,0.49
104,,Zimbabwe,3.00
