,Rank,City,"Rice (white), (1kg)"
0,,Albania,1.10
1,,Algeria,0.95
2,,Argentina,1.48
3,,Armenia,1.33
4,,Australia,2.10
5,,Austria,2.30
6,,Azerbaijan,1.31
7,,Bahrain,1.89
8,,Bangladesh,0.65
9,,Belarus,0.90
10,,Belgium,1.86
11,,Bolivia,1.71
12,,Bosnia And Herzegovina,1.22
13,,Brazil,1.05
14,,Bulgaria,1.21
15,,Cambodia,0.73
16,,Canada,3.04
17,,Chile,1.35
18,,China,1.07
19,,Colombia,1.07
20,,Costa Rica,2.21
21,,Croatia,1.63
22,,Cyprus,1.79
23,,Czech Republic,1.33
24,,Denmark,1.98
25,,Dominican Republic,1.13
26,,Ecuador,1.80
27,,Egypt,0.84
28,,El Salvador,1.41
29,,Estonia,1.40
30,,Finland,2.13
31,,France,1.93
32,,Georgia,1.02
33,,Germany,1.78
34,,Greece,1.86
35,,Guatemala,0.76
36,,Hong Kong,2.07
37,,Hungary,1.10
38,,Iceland,2.72
39,,India,0.73
40,,Indonesia,0.93
41,,Iran,2.68
42,,Iraq,1.56
43,,Ireland,1.97
44,,Israel,2.00
45,,Italy,2.24
46,,Jamaica,1.26
47,,Japan,3.86
48,,Jordan,1.27
49,,Kazakhstan,0.69
50,,Kenya,1.20
51,,Kosovo (Disputed Territory),1.14
52,,Kuwait,1.84
53,,Latvia,1.39
54,,Lebanon,1.91
55,,Lithuania,1.93
56,,Luxembourg,2.09
57,,Macedonia,1.27
58,,Malaysia,1.13
59,,Malta,2.14
60,,Mauritius,1.97
61,,Mexico,0.89
62,,Moldova,1.00
63,,Montenegro,1.31
64,,Morocco,1.26
65,,Nepal,0.79
66,,Netherlands,1.82
67,,New Zealand,2.00
68,,Nigeria,2.32
69,,Norway,3.02
70,,Oman,2.01
71,,Pakistan,1.09
72,,Panama,1.73
73,,Peru,0.93
74,,Philippines,0.97
75,,Poland,0.84
76,,Portugal,0.91
77,,Puerto Rico,2.07
78,,Qatar,1.90
79,,Romania,1.05
80,,Russia,0.99
81,,Saudi Arabia,1.68
82,,Serbia,1.04
83,,Singapore,2.14
84,,Slovakia,1.37
85,,Slovenia,1.51
86,,South Africa,1.24
87,,South Korea,3.55
88,,Spain,1.06
89,,Sri Lanka,0.60
90,,Sweden,2.98
91,,Switzerland,2.67
92,,Taiwan,2.86
93,,Thailand,1.13
94,,Trinidad And Tobago,1.99
95,,Tunisia,0.77
96,,Turkey,1.77
97,,Ukraine,0.96
98,,United Arab Emirates,2.33
99,,United Kingdom,1.98
100,,United States,3.84
101,,Uruguay,1.30
102,,Venezuela,1.52
103,,Vietnam,0.75
104,,Zimbabwe,1.18
