,Rank,City,Tomato (1kg)
0,,Albania,0.74
1,,Algeria,0.59
2,,Argentina,2.12
3,,Armenia,1.25
4,,Australia,3.41
5,,Austria,2.39
6,,Azerbaijan,1.17
7,,Bahrain,1.94
8,,Bangladesh,0.62
9,,Belarus,1.93
10,,Belgium,2.46
11,,Bolivia,1.13
12,,Bosnia And Herzegovina,1.23
13,,Brazil,1.60
14,,Bulgaria,1.31
15,,Cambodia,1.09
16,,Canada,2.93
17,,Chile,1.46
18,,China,1.16
19,,Colombia,0.89
20,,Costa Rica,2.41
21,,Croatia,1.53
22,,Cyprus,1.67
23,,Czech Republic,1.65
24,,Denmark,3.47
25,,Dominican Republic,1.44
26,,Ecuador,1.18
27,,Egypt,0.45
28,,El Salvador,1.68
29,,Estonia,1.90
30,,Finland,3.00
31,,France,2.77
32,,Georgia,1.06
33,,Germany,2.64
34,,Greece,1.48
35,,Guatemala,1.48
36,,Hong Kong,2.72
37,,Hungary,1.54
38,,Iceland,4.08
39,,India,0.48
40,,Indonesia,1.11
41,,Iran,0.73
42,,Iraq,0.90
43,,Ireland,2.64
44,,Israel,1.36
45,,Italy,1.94
46,,Jamaica,-
47,,Japan,6.96
48,,Jordan,0.92
49,,Kazakhstan,1.64
50,,Kenya,1.00
51,,Kosovo (Disputed Territory),0.59
52,,Kuwait,2.02
53,,Latvia,1.92
54,,Lebanon,1.20
55,,Lithuania,1.72
56,,Luxembourg,3.25
57,,Macedonia,0.83
58,,Malaysia,1.21
59,,Malta,2.37
60,,Mauritius,4.11
61,,Mexico,1.02
62,,Moldova,1.08
63,,Montenegro,1.25
64,,Morocco,0.48
65,,Nepal,0.65
66,,Netherlands,2.61
67,,New Zealand,3.75
68,,Nigeria,2.80
69,,Norway,3.70
70,,Oman,1.47
71,,Pakistan,0.53
72,,Panama,2.84
73,,Peru,1.13
74,,Philippines,1.15
75,,Poland,1.26
76,,Portugal,1.38
77,,Puerto Rico,3.08
78,,Qatar,1.14
79,,Romania,1.10
80,,Russia,1.94
81,,Saudi Arabia,1.50
82,,Serbia,0.92
83,,Singapore,1.95
84,,Slovakia,1.89
85,,Slovenia,1.91
86,,South Africa,1.29
87,,South Korea,5.10
88,,Spain,1.59
89,,Sri Lanka,1.08
90,,Sweden,3.29
91,,Switzerland,4.01
92,,Taiwan,3.18
93,,Thailand,1.25
94,,Trinidad And Tobago,3.68
95,,Tunisia,0.42
96,,Turkey,0.97
97,,Ukraine,1.12
98,,United Arab Emirates,1.67
99,,United Kingdom,2.68
100,,United States,4.01
101,,Uruguay,2.89
102,,Venezuela,1.40
103,,Vietnam,0.81
104,,Zimbabwe,1.58
