,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,16.42
1,,Algeria,18.22
2,,Argentina,36.32
3,,Armenia,20.91
4,,Australia,59.61
5,,Austria,56.76
6,,Azerbaijan,31.54
7,,Bahrain,31.83
8,,Bangladesh,12.72
9,,Belarus,30.00
10,,Belgium,70.95
11,,Bolivia,16.00
12,,Bosnia And Herzegovina,20.33
13,,Brazil,28.82
14,,Bulgaria,23.22
15,,Cambodia,15.00
16,,Canada,50.80
17,,Chile,36.72
18,,China,22.83
19,,Colombia,18.64
20,,Costa Rica,34.49
21,,Croatia,30.21
22,,Cyprus,45.41
23,,Czech Republic,23.11
24,,Denmark,91.59
25,,Dominican Republic,31.57
26,,Ecuador,25.00
27,,Egypt,22.52
28,,El Salvador,30.00
29,,Estonia,45.41
30,,Finland,73.79
31,,France,56.76
32,,Georgia,21.23
33,,Germany,51.08
34,,Greece,34.06
35,,Guatemala,26.16
36,,Hong Kong,45.06
37,,Hungary,29.24
38,,Iceland,97.89
39,,India,9.00
40,,Indonesia,13.63
41,,Iran,19.82
42,,Iraq,27.10
43,,Ireland,68.11
44,,Israel,54.84
45,,Italy,56.76
46,,Jamaica,40.02
47,,Japan,46.57
48,,Jordan,42.31
49,,Kazakhstan,29.98
50,,Kenya,24.73
51,,Kosovo (Disputed Territory),17.03
52,,Kuwait,46.48
53,,Latvia,39.73
54,,Lebanon,50.00
55,,Lithuania,34.06
56,,Luxembourg,79.46
57,,Macedonia,14.76
58,,Malaysia,14.80
59,,Malta,56.76
60,,Mauritius,28.32
61,,Mexico,21.56
62,,Moldova,13.80
63,,Montenegro,28.38
64,,Morocco,15.54
65,,Nepal,8.89
66,,Netherlands,68.11
67,,New Zealand,62.73
68,,Nigeria,26.38
69,,Norway,98.45
70,,Oman,31.16
71,,Pakistan,9.56
72,,Panama,40.00
73,,Peru,22.64
74,,Philippines,16.84
75,,Poland,26.13
76,,Portugal,34.06
77,,Puerto Rico,50.00
78,,Qatar,54.95
79,,Romania,25.19
80,,Russia,30.74
81,,Saudi Arabia,24.00
82,,Serbia,23.02
83,,Singapore,44.34
84,,Slovakia,28.38
85,,Slovenia,34.06
86,,South Africa,30.19
87,,South Korea,34.67
88,,Spain,43.14
89,,Sri Lanka,10.28
90,,Sweden,73.74
91,,Switzerland,103.43
92,,Taiwan,21.78
93,,Thailand,17.02
94,,Trinidad And Tobago,60.33
95,,Tunisia,18.81
96,,Turkey,20.69
97,,Ukraine,16.02
98,,United Arab Emirates,40.84
99,,United Kingdom,72.79
100,,United States,50.00
101,,Uruguay,39.16
102,,Venezuela,40.00
103,,Vietnam,17.90
104,,Zimbabwe,40.00
