,Rank,City,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
0,,Albania,-
1,,Algeria,-
2,,Argentina,-
3,,Armenia,-
4,,Australia,-
5,,Austria,-
6,,Azerbaijan,-
7,,Bahrain,-
8,,Bangladesh,-
9,,Belarus,-
10,,Belgium,-
11,,Bolivia,-
12,,Bosnia And Herzegovina,-
13,,Brazil,-
14,,Bulgaria,-
15,,Cambodia,-
16,,Canada,-
17,,Chile,-
18,,China,-
19,,Colombia,-
20,,Costa Rica,-
21,,Croatia,-
22,,Cyprus,-
23,,Czech Republic,-
24,,Denmark,-
25,,Dominican Republic,-
26,,Ecuador,-
27,,Egypt,-
28,,El Salvador,-
29,,Estonia,-
30,,Finland,-
31,,France,-
32,,Georgia,-
33,,Germany,-
34,,Greece,-
35,,Guatemala,-
36,,Hong Kong,-
37,,Hungary,-
38,,Iceland,-
39,,India,-
40,,Indonesia,-
41,,Iran,-
42,,Iraq,-
43,,Ireland,-
44,,Israel,-
45,,Italy,-
46,,Jamaica,-
47,,Japan,-
48,,Jordan,-
49,,Kazakhstan,-
50,,Kenya,-
51,,Kosovo (Disputed Territory),-
52,,Kuwait,-
53,,Latvia,-
54,,Lebanon,-
55,,Lithuania,-
56,,Luxembourg,-
57,,Macedonia,-
58,,Malaysia,-
59,,Malta,-
60,,Mauritius,-
61,,Mexico,-
62,,Moldova,-
63,,Montenegro,-
64,,Morocco,-
65,,Nepal,-
66,,Netherlands,-
67,,New Zealand,-
68,,Nigeria,-
69,,Norway,-
70,,Oman,-
71,,Pakistan,-
72,,Panama,-
73,,Peru,-
74,,Philippines,-
75,,Poland,-
76,,Portugal,-
77,,Puerto Rico,-
78,,Qatar,-
79,,Romania,-
80,,Russia,-
81,,Saudi Arabia,-
82,,Serbia,-
83,,Singapore,-
84,,Slovakia,-
85,,Slovenia,-
86,,South Africa,-
87,,South Korea,-
88,,Spain,-
89,,Sri Lanka,-
90,,Sweden,-
91,,Switzerland,-
92,,Taiwan,-
93,,Thailand,-
94,,Trinidad And Tobago,-
95,,Tunisia,-
96,,Turkey,-
97,,Ukraine,-
98,,United Arab Emirates,-
99,,United Kingdom,-
100,,United States,-
101,,Uruguay,-
102,,Venezuela,-
103,,Vietnam,-
104,,Zimbabwe,-
