,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.54
1,,Algeria,0.14
2,,Argentina,1.73
3,,Armenia,0.52
4,,Australia,1.95
5,,Austria,1.88
6,,Azerbaijan,0.29
7,,Bahrain,1.17
8,,Bangladesh,0.62
9,,Belarus,0.49
10,,Belgium,2.00
11,,Bolivia,1.41
12,,Bosnia And Herzegovina,0.62
13,,Brazil,1.48
14,,Bulgaria,0.55
15,,Cambodia,1.26
16,,Canada,2.18
17,,Chile,1.14
18,,China,1.58
19,,Colombia,0.94
20,,Costa Rica,1.88
21,,Croatia,0.88
22,,Cyprus,1.40
23,,Czech Republic,0.83
24,,Denmark,2.39
25,,Dominican Republic,1.24
26,,Ecuador,1.63
27,,Egypt,0.59
28,,El Salvador,1.31
29,,Estonia,0.84
30,,Finland,1.94
31,,France,1.61
32,,Georgia,0.40
33,,Germany,1.59
34,,Greece,0.93
35,,Guatemala,1.78
36,,Hong Kong,1.97
37,,Hungary,0.64
38,,Iceland,2.42
39,,India,0.41
40,,Indonesia,1.05
41,,Iran,0.45
42,,Iraq,0.90
43,,Ireland,1.44
44,,Israel,1.65
45,,Italy,1.71
46,,Jamaica,2.13
47,,Japan,1.84
48,,Jordan,0.31
49,,Kazakhstan,0.26
50,,Kenya,0.51
51,,Kosovo (Disputed Territory),0.31
52,,Kuwait,1.19
53,,Latvia,0.84
54,,Lebanon,0.79
55,,Lithuania,1.05
56,,Luxembourg,2.01
57,,Macedonia,0.50
58,,Malaysia,0.79
59,,Malta,1.05
60,,Mauritius,0.57
61,,Mexico,1.31
62,,Moldova,0.30
63,,Montenegro,0.58
64,,Morocco,0.44
65,,Nepal,0.47
66,,Netherlands,1.47
67,,New Zealand,1.55
68,,Nigeria,1.40
69,,Norway,2.92
70,,Oman,1.14
71,,Pakistan,0.54
72,,Panama,2.19
73,,Peru,1.67
74,,Philippines,1.12
75,,Poland,0.70
76,,Portugal,1.13
77,,Puerto Rico,2.56
78,,Qatar,1.33
79,,Romania,0.53
80,,Russia,0.50
81,,Saudi Arabia,0.69
82,,Serbia,0.43
83,,Singapore,1.70
84,,Slovakia,1.02
85,,Slovenia,1.29
86,,South Africa,0.83
87,,South Korea,2.39
88,,Spain,1.03
89,,Sri Lanka,0.43
90,,Sweden,2.59
91,,Switzerland,2.73
92,,Taiwan,1.46
93,,Thailand,1.06
94,,Trinidad And Tobago,2.02
95,,Tunisia,0.17
96,,Turkey,0.52
97,,Ukraine,0.32
98,,United Arab Emirates,1.23
99,,United Kingdom,1.36
100,,United States,2.60
101,,Uruguay,1.93
102,,Venezuela,0.99
103,,Vietnam,0.68
104,,Zimbabwe,0.93
