,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,1.55
1,,Algeria,0.44
2,,Argentina,0.94
3,,Armenia,0.21
4,,Australia,1.53
5,,Austria,1.68
6,,Azerbaijan,0.41
7,,Bahrain,-
8,,Bangladesh,0.43
9,,Belarus,0.35
10,,Belgium,2.24
11,,Bolivia,1.44
12,,Bosnia And Herzegovina,0.57
13,,Brazil,0.84
14,,Bulgaria,0.45
15,,Cambodia,1.00
16,,Canada,1.30
17,,Chile,1.17
18,,China,0.35
19,,Colombia,1.54
20,,Costa Rica,1.23
21,,Croatia,0.91
22,,Cyprus,0.85
23,,Czech Republic,1.11
24,,Denmark,2.30
25,,Dominican Republic,3.18
26,,Ecuador,1.25
27,,Egypt,0.11
28,,Estonia,0.65
29,,Finland,1.79
30,,France,2.12
31,,Georgia,0.21
32,,Germany,2.13
33,,Greece,0.88
34,,Guatemala,-
35,,Hong Kong,1.09
36,,Hungary,1.02
37,,Iceland,2.84
38,,India,0.22
39,,Indonesia,0.31
40,,Iran,0.31
41,,Iraq,2.00
42,,Ireland,1.32
43,,Israel,1.03
44,,Italy,1.68
45,,Jamaica,-
46,,Japan,3.05
47,,Jordan,0.48
48,,Kazakhstan,0.32
49,,Kenya,1.55
50,,Kosovo (Disputed Territory),0.56
51,,Kuwait,2.47
52,,Latvia,0.56
53,,Lebanon,1.64
54,,Lithuania,0.67
55,,Luxembourg,-
56,,Macedonia,0.45
57,,Malaysia,0.36
58,,Malta,-
59,,Mauritius,2.88
60,,Mexico,0.53
61,,Moldova,0.13
62,,Montenegro,0.50
63,,Morocco,0.51
64,,Nepal,0.49
65,,Netherlands,2.35
66,,New Zealand,2.16
67,,Nigeria,0.64
68,,Norway,1.76
69,,Oman,0.52
70,,Pakistan,0.24
71,,Panama,1.81
72,,Peru,1.53
73,,Philippines,0.24
74,,Poland,0.62
75,,Portugal,0.56
76,,Puerto Rico,-
77,,Qatar,0.55
78,,Romania,0.37
79,,Russia,0.21
80,,Saudi Arabia,1.33
81,,Serbia,0.59
82,,Singapore,0.40
83,,Slovakia,0.76
84,,Slovenia,1.00
85,,South Africa,0.77
86,,South Korea,0.89
87,,Spain,1.12
88,,Sri Lanka,0.30
89,,Sweden,1.51
90,,Switzerland,4.13
91,,Taiwan,0.83
92,,Tanzania,1.57
93,,Thailand,0.23
94,,Trinidad And Tobago,-
95,,Tunisia,0.41
96,,Turkey,0.71
97,,Ukraine,0.19
98,,United Arab Emirates,0.52
99,,United Kingdom,2.38
100,,United States,1.62
101,,Uruguay,0.79
102,,Venezuela,0.50
103,,Vietnam,0.53
104,,Zimbabwe,-
