,Rank,City,Banana (1kg)
0,,Albania,1.46
1,,Algeria,3.13
2,,Argentina,1.78
3,,Armenia,1.56
4,,Australia,2.34
5,,Austria,2.04
6,,Azerbaijan,1.58
7,,Bahrain,1.72
8,,Bangladesh,1.01
9,,Belarus,1.12
10,,Belgium,2.08
11,,Bolivia,0.62
12,,Bosnia And Herzegovina,1.09
13,,Brazil,1.25
14,,Bulgaria,1.48
15,,Cambodia,1.03
16,,Canada,1.27
17,,Chile,1.20
18,,China,1.09
19,,Colombia,0.81
20,,Costa Rica,1.06
21,,Croatia,1.63
22,,Cyprus,1.43
23,,Czech Republic,1.31
24,,Denmark,2.64
25,,Dominican Republic,0.96
26,,Ecuador,1.06
27,,Egypt,0.55
28,,Estonia,1.16
29,,Finland,1.66
30,,France,2.07
31,,Georgia,1.49
32,,Germany,1.82
33,,Greece,1.60
34,,Guatemala,-
35,,Hong Kong,2.22
36,,Hungary,1.46
37,,Iceland,2.66
38,,India,0.74
39,,Indonesia,1.27
40,,Iran,1.30
41,,Iraq,1.10
42,,Ireland,1.92
43,,Israel,2.34
44,,Italy,1.93
45,,Jamaica,-
46,,Japan,2.94
47,,Jordan,1.35
48,,Kazakhstan,1.53
49,,Kenya,1.10
50,,Kosovo (Disputed Territory),1.12
51,,Kuwait,1.69
52,,Latvia,1.52
53,,Lebanon,1.11
54,,Lithuania,1.11
55,,Luxembourg,1.97
56,,Macedonia,1.03
57,,Malaysia,1.29
58,,Malta,1.83
59,,Mauritius,-
60,,Mexico,0.87
61,,Moldova,1.28
62,,Montenegro,1.15
63,,Morocco,1.00
64,,Nepal,1.00
65,,Netherlands,1.66
66,,New Zealand,2.15
67,,Nigeria,1.65
68,,Norway,2.72
69,,Oman,1.42
70,,Pakistan,0.94
71,,Panama,1.04
72,,Peru,1.06
73,,Philippines,1.14
74,,Poland,1.15
75,,Portugal,1.22
76,,Puerto Rico,1.82
77,,Qatar,1.62
78,,Romania,1.21
79,,Russia,1.08
80,,Saudi Arabia,1.37
81,,Serbia,1.13
82,,Singapore,2.04
83,,Slovakia,1.52
84,,Slovenia,1.35
85,,South Africa,1.33
86,,South Korea,4.14
87,,Spain,1.74
88,,Sri Lanka,1.14
89,,Sweden,2.48
90,,Switzerland,2.99
91,,Taiwan,1.89
92,,Tanzania,0.90
93,,Thailand,1.39
94,,Trinidad And Tobago,2.09
95,,Tunisia,1.30
96,,Turkey,1.88
97,,Ukraine,1.07
98,,United Arab Emirates,1.76
99,,United Kingdom,1.31
100,,United States,1.47
101,,Uruguay,2.08
102,,Venezuela,1.04
103,,Vietnam,0.93
104,,Zimbabwe,-
