,Rank,City,Local Cheese (1kg)
0,,Albania,5.06
1,,Algeria,7.92
2,,Argentina,9.31
3,,Armenia,4.32
4,,Australia,6.75
5,,Austria,12.11
6,,Azerbaijan,3.35
7,,Bahrain,8.11
8,,Bangladesh,7.82
9,,Belarus,5.11
10,,Belgium,11.55
11,,Bolivia,4.52
12,,Bosnia And Herzegovina,6.22
13,,Brazil,7.94
14,,Bulgaria,5.58
15,,Cambodia,-
16,,Canada,8.91
17,,Chile,8.07
18,,China,13.85
19,,Colombia,2.95
20,,Costa Rica,6.79
21,,Croatia,8.94
22,,Cyprus,7.10
23,,Czech Republic,8.19
24,,Denmark,11.35
25,,Dominican Republic,5.94
26,,Ecuador,5.25
27,,Egypt,2.40
28,,Estonia,7.97
29,,Finland,6.75
30,,France,16.45
31,,Georgia,3.75
32,,Germany,10.70
33,,Greece,8.91
34,,Guatemala,-
35,,Hong Kong,17.08
36,,Hungary,6.13
37,,Iceland,17.25
38,,India,5.15
39,,Indonesia,7.78
40,,Iran,5.00
41,,Iraq,5.98
42,,Ireland,8.37
43,,Israel,11.56
44,,Italy,12.62
45,,Jamaica,-
46,,Japan,18.00
47,,Jordan,7.25
48,,Kazakhstan,5.98
49,,Kenya,8.68
50,,Kosovo (Disputed Territory),3.36
51,,Kuwait,6.54
52,,Latvia,6.64
53,,Lebanon,7.88
54,,Lithuania,8.14
55,,Luxembourg,20.60
56,,Macedonia,4.90
57,,Malaysia,13.10
58,,Malta,9.44
59,,Mauritius,7.48
60,,Mexico,5.05
61,,Moldova,6.13
62,,Montenegro,5.60
63,,Morocco,8.20
64,,Nepal,7.26
65,,Netherlands,10.05
66,,New Zealand,7.20
67,,Nigeria,8.08
68,,Norway,11.71
69,,Oman,4.85
70,,Pakistan,5.39
71,,Panama,6.35
72,,Peru,7.42
73,,Philippines,8.95
74,,Poland,6.06
75,,Portugal,8.67
76,,Puerto Rico,6.86
77,,Qatar,5.64
78,,Romania,5.40
79,,Russia,8.08
80,,Saudi Arabia,6.27
81,,Serbia,4.45
82,,Singapore,18.60
83,,Slovakia,8.15
84,,Slovenia,10.45
85,,South Africa,7.28
86,,South Korea,14.99
87,,Spain,10.13
88,,Sri Lanka,9.53
89,,Sweden,9.82
90,,Switzerland,23.89
91,,Taiwan,21.08
92,,Tanzania,-
93,,Thailand,15.35
94,,Trinidad And Tobago,7.27
95,,Tunisia,6.03
96,,Turkey,5.67
97,,Ukraine,5.26
98,,United Arab Emirates,8.24
99,,United Kingdom,6.59
100,,United States,10.77
101,,Uruguay,10.79
102,,Venezuela,2.89
103,,Vietnam,13.85
104,,Zimbabwe,-
