,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.75
1,,Algeria,1.30
2,,Argentina,1.89
3,,Armenia,0.92
4,,Australia,3.58
5,,Austria,1.06
6,,Azerbaijan,0.90
7,,Bahrain,-
8,,Bangladesh,1.86
9,,Belarus,0.83
10,,Belgium,1.62
11,,Bolivia,1.69
12,,Bosnia And Herzegovina,0.73
13,,Brazil,1.44
14,,Bulgaria,0.71
15,,Cambodia,0.71
16,,Canada,1.89
17,,Chile,1.35
18,,China,0.79
19,,Colombia,0.93
20,,Costa Rica,1.60
21,,Croatia,1.11
22,,Cyprus,1.07
23,,Czech Republic,0.66
24,,Denmark,1.90
25,,Dominican Republic,2.00
26,,Ecuador,1.15
27,,Egypt,0.98
28,,Estonia,1.33
29,,Finland,2.66
30,,France,1.78
31,,Georgia,0.86
32,,Germany,0.97
33,,Greece,1.45
34,,Guatemala,1.44
35,,Hong Kong,1.46
36,,Hungary,0.82
37,,Iceland,4.00
38,,India,1.66
39,,Indonesia,1.86
40,,Iran,0.63
41,,Iraq,1.84
42,,Ireland,2.52
43,,Israel,2.29
44,,Italy,1.30
45,,Jamaica,-
46,,Japan,2.39
47,,Jordan,5.56
48,,Kazakhstan,0.64
49,,Kenya,1.84
50,,Kosovo (Disputed Territory),0.69
51,,Kuwait,-
52,,Latvia,1.02
53,,Lebanon,1.16
54,,Lithuania,1.16
55,,Luxembourg,-
56,,Macedonia,0.82
57,,Malaysia,2.28
58,,Malta,1.47
59,,Mauritius,-
60,,Mexico,1.04
61,,Moldova,0.74
62,,Montenegro,0.88
63,,Morocco,1.91
64,,Nepal,2.03
65,,Netherlands,1.17
66,,New Zealand,3.51
67,,Nigeria,0.99
68,,Norway,3.74
69,,Oman,2.38
70,,Pakistan,1.75
71,,Panama,0.89
72,,Peru,1.47
73,,Philippines,0.88
74,,Poland,0.83
75,,Portugal,1.01
76,,Puerto Rico,1.30
77,,Qatar,-
78,,Romania,0.77
79,,Russia,1.03
80,,Saudi Arabia,1.15
81,,Serbia,0.58
82,,Singapore,3.97
83,,Slovakia,0.82
84,,Slovenia,1.16
85,,South Africa,1.35
86,,South Korea,1.95
87,,Spain,0.91
88,,Sri Lanka,2.05
89,,Sweden,1.86
90,,Switzerland,1.90
91,,Taiwan,1.53
92,,Tanzania,1.07
93,,Thailand,1.68
94,,Trinidad And Tobago,-
95,,Tunisia,0.86
96,,Turkey,2.04
97,,Ukraine,0.55
98,,United Arab Emirates,9.07
99,,United Kingdom,1.99
100,,United States,2.04
101,,Uruguay,2.07
102,,Venezuela,0.78
103,,Vietnam,0.61
104,,Zimbabwe,-
