,Rank,City,Monthly Pass (Regular Price)
0,,Albania,13.41
1,,Algeria,11.08
2,,Argentina,18.99
3,,Armenia,-
4,,Australia,105.36
5,,Austria,50.55
6,,Azerbaijan,7.08
7,,Bahrain,39.76
8,,Bangladesh,14.87
9,,Belarus,15.42
10,,Belgium,54.86
11,,Bolivia,-
12,,Bosnia And Herzegovina,29.74
13,,Brazil,54.61
14,,Bulgaria,28.62
15,,Cambodia,-
16,,Canada,69.97
17,,Chile,48.23
18,,China,19.18
19,,Colombia,30.87
20,,Costa Rica,-
21,,Croatia,54.39
22,,Cyprus,44.78
23,,Czech Republic,23.52
24,,Denmark,57.20
25,,Dominican Republic,31.78
26,,Ecuador,12.00
27,,Egypt,4.00
28,,Estonia,25.75
29,,Finland,61.24
30,,France,78.37
31,,Georgia,12.45
32,,Germany,85.09
33,,Greece,33.59
34,,Guatemala,-
35,,Hong Kong,57.71
36,,Hungary,34.57
37,,Iceland,119.04
38,,India,10.44
39,,Indonesia,15.06
40,,Iran,15.00
41,,Iraq,30.00
42,,Ireland,134.35
43,,Israel,62.27
44,,Italy,39.18
45,,Jamaica,-
46,,Japan,90.65
47,,Jordan,39.48
48,,Kazakhstan,22.50
49,,Kenya,22.60
50,,Kosovo (Disputed Territory),8.96
51,,Kuwait,49.39
52,,Latvia,52.06
53,,Lebanon,49.59
54,,Lithuania,32.47
55,,Luxembourg,27.99
56,,Macedonia,25.45
57,,Malaysia,28.14
58,,Malta,29.11
59,,Mauritius,-
60,,Mexico,18.03
61,,Moldova,5.51
62,,Montenegro,27.99
63,,Morocco,15.37
64,,Nepal,11.69
65,,Netherlands,89.57
66,,New Zealand,125.85
67,,Nigeria,-
68,,Norway,83.31
69,,Oman,-
70,,Pakistan,7.64
71,,Panama,30.00
72,,Peru,28.30
73,,Philippines,10.10
74,,Poland,26.75
75,,Portugal,40.30
76,,Puerto Rico,30.00
77,,Qatar,-
78,,Romania,15.95
79,,Russia,31.56
80,,Saudi Arabia,39.99
81,,Serbia,29.26
82,,Singapore,72.23
83,,Slovakia,30.12
84,,Slovenia,41.42
85,,South Africa,37.86
86,,South Korea,48.87
87,,Spain,55.98
88,,Sri Lanka,6.07
89,,Sweden,95.22
90,,Switzerland,77.37
91,,Taiwan,33.22
92,,Tanzania,-
93,,Thailand,29.35
94,,Trinidad And Tobago,-
95,,Tunisia,11.52
96,,Turkey,50.90
97,,Ukraine,6.89
98,,United Arab Emirates,61.94
99,,United Kingdom,83.10
100,,United States,80.00
101,,Uruguay,48.71
102,,Venezuela,-
103,,Vietnam,6.62
104,,Zimbabwe,-
