,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,64.72
1,,Algeria,77.97
2,,Argentina,127.84
3,,Armenia,82.04
4,,Australia,98.62
5,,Austria,92.17
6,,Azerbaijan,80.91
7,,Bahrain,85.64
8,,Bangladesh,66.01
9,,Belarus,87.91
10,,Belgium,98.77
11,,Bolivia,75.18
12,,Bosnia And Herzegovina,76.10
13,,Brazil,97.72
14,,Bulgaria,73.44
15,,Cambodia,57.86
16,,Canada,74.00
17,,Chile,67.45
18,,China,84.02
19,,Colombia,84.82
20,,Costa Rica,106.75
21,,Croatia,82.64
22,,Cyprus,68.52
23,,Czech Republic,75.79
24,,Denmark,111.62
25,,Dominican Republic,82.80
26,,Ecuador,103.81
27,,Egypt,85.35
28,,Estonia,77.21
29,,Finland,98.52
30,,France,94.50
31,,Georgia,76.62
32,,Germany,95.52
33,,Greece,86.85
34,,Guatemala,96.23
35,,Hong Kong,81.90
36,,Hungary,82.78
37,,Iceland,176.07
38,,India,54.67
39,,Indonesia,61.71
40,,Iran,114.81
41,,Iraq,55.69
42,,Ireland,86.54
43,,Israel,123.52
44,,Italy,90.24
45,,Jamaica,-
46,,Japan,71.61
47,,Jordan,88.58
48,,Kazakhstan,85.92
49,,Kenya,58.67
50,,Kosovo (Disputed Territory),32.19
51,,Kuwait,97.25
52,,Latvia,82.35
53,,Lebanon,114.03
54,,Lithuania,85.73
55,,Luxembourg,103.56
56,,Macedonia,75.53
57,,Malaysia,64.92
58,,Malta,82.95
59,,Mauritius,97.44
60,,Mexico,70.62
61,,Moldova,98.78
62,,Montenegro,72.77
63,,Morocco,74.43
64,,Nepal,39.71
65,,Netherlands,98.20
66,,New Zealand,99.82
67,,Nigeria,58.11
68,,Norway,110.70
69,,Oman,79.42
70,,Pakistan,55.46
71,,Panama,71.86
72,,Peru,79.46
73,,Philippines,78.42
74,,Poland,75.01
75,,Portugal,78.86
76,,Puerto Rico,77.11
77,,Qatar,96.42
78,,Romania,72.03
79,,Russia,91.74
80,,Saudi Arabia,81.68
81,,Serbia,75.06
82,,Singapore,90.41
83,,Slovakia,71.00
84,,Slovenia,87.80
85,,South Africa,88.26
86,,South Korea,89.73
87,,Spain,79.71
88,,Sri Lanka,51.09
89,,Sweden,99.79
90,,Switzerland,123.99
91,,Taiwan,85.52
92,,Tanzania,-
93,,Thailand,95.83
94,,Trinidad And Tobago,89.27
95,,Tunisia,72.79
96,,Turkey,69.24
97,,Ukraine,88.11
98,,United Arab Emirates,86.48
99,,United Kingdom,78.25
100,,United States,74.48
101,,Uruguay,110.86
102,,Venezuela,90.57
103,,Vietnam,70.96
104,,Zimbabwe,67.50
