,Rank,City,Gasoline (1 liter)
0,,Albania,1.64
1,,Algeria,0.32
2,,Argentina,1.29
3,,Armenia,0.94
4,,Australia,1.12
5,,Austria,1.44
6,,Azerbaijan,0.54
7,,Bahamas,1.26
8,,Bahrain,0.49
9,,Bangladesh,1.07
10,,Belarus,0.68
11,,Belgium,1.68
12,,Belize,1.72
13,,Bolivia,0.55
14,,Bosnia And Herzegovina,1.33
15,,Brazil,1.17
16,,Bulgaria,1.32
17,,Cambodia,0.99
18,,Canada,1.00
19,,Chile,1.27
20,,China,1.12
21,,Colombia,0.83
22,,Costa Rica,1.12
23,,Croatia,1.58
24,,Cyprus,1.51
25,,Czech Republic,1.45
26,,Denmark,1.68
27,,Dominican Republic,1.26
28,,Ecuador,0.47
29,,Egypt,0.34
30,,El Salvador,0.92
31,,Estonia,1.56
32,,Fiji,1.04
33,,Finland,1.78
34,,France,1.73
35,,Georgia,0.97
36,,Germany,1.66
37,,Ghana,1.05
38,,Greece,1.84
39,,Guatemala,0.91
40,,Hong Kong,2.01
41,,Hungary,1.42
42,,Iceland,2.08
43,,India,1.16
44,,Indonesia,0.62
45,,Iran,0.25
46,,Iraq,0.55
47,,Ireland,1.66
48,,Israel,1.80
49,,Italy,1.83
50,,Jamaica,1.22
51,,Japan,1.32
52,,Jordan,1.23
53,,Kazakhstan,0.51
54,,Kenya,1.07
55,,Kosovo (Disputed Territory),1.37
56,,Kuwait,0.33
57,,Latvia,1.49
58,,Lebanon,0.95
59,,Lithuania,1.43
60,,Luxembourg,1.40
61,,Macedonia,1.30
62,,Malaysia,0.56
63,,Malta,1.56
64,,Mauritius,1.43
65,,Mexico,0.96
66,,Moldova,1.09
67,,Montenegro,1.54
68,,Morocco,1.09
69,,Namibia,1.03
70,,Nepal,1.00
71,,Netherlands,1.89
72,,New Zealand,1.54
73,,Nigeria,0.40
74,,Norway,1.90
75,,Oman,0.58
76,,Pakistan,0.78
77,,Panama,0.83
78,,Peru,1.12
79,,Philippines,0.99
80,,Poland,1.34
81,,Portugal,1.81
82,,Puerto Rico,0.79
83,,Qatar,0.54
84,,Romania,1.42
85,,Russia,0.69
86,,Saudi Arabia,0.39
87,,Serbia,1.53
88,,Singapore,1.71
89,,Slovakia,1.59
90,,Slovenia,1.54
91,,South Africa,1.20
92,,South Korea,1.50
93,,Spain,1.50
94,,Sri Lanka,0.86
95,,Sweden,1.72
96,,Switzerland,1.67
97,,Taiwan,0.99
98,,Tanzania,0.99
99,,Thailand,0.95
100,,Trinidad And Tobago,0.65
101,,Tunisia,0.73
102,,Turkey,1.36
103,,Uganda,1.07
104,,Ukraine,1.17
105,,United Arab Emirates,0.63
106,,United Kingdom,1.67
107,,United States,0.76
108,,Uruguay,1.69
109,,Uzbekistan,0.51
110,,Venezuela,0.00
111,,Vietnam,0.88
112,,Zimbabwe,1.42
