,Rank,City,Apartment (1 bedroom) in City Centre
0,,Albania,301.76
1,,Algeria,196.01
2,,Argentina,386.29
3,,Armenia,348.81
4,,Australia,1360.60
5,,Austria,877.89
6,,Azerbaijan,290.42
7,,Bahamas,812.50
8,,Bahrain,836.05
9,,Bangladesh,142.40
10,,Belarus,324.27
11,,Belgium,862.16
12,,Belize,288.31
13,,Bolivia,361.69
14,,Bosnia And Herzegovina,229.22
15,,Brazil,359.84
16,,Bulgaria,346.78
17,,Cambodia,437.56
18,,Canada,1033.56
19,,Chile,509.52
20,,China,637.59
21,,Colombia,345.07
22,,Costa Rica,485.25
23,,Croatia,433.25
24,,Cyprus,702.25
25,,Czech Republic,712.45
26,,Denmark,1149.66
27,,Dominican Republic,358.54
28,,Ecuador,411.50
29,,Egypt,159.38
30,,El Salvador,400.00
31,,Estonia,536.03
32,,Fiji,801.44
33,,Finland,882.02
34,,France,905.71
35,,Georgia,299.77
36,,Germany,884.61
37,,Ghana,-
38,,Greece,348.08
39,,Guatemala,518.05
40,,Hong Kong,2388.42
41,,Hungary,497.78
42,,Iceland,1837.24
43,,India,201.38
44,,Indonesia,331.31
45,,Iran,516.53
46,,Iraq,371.32
47,,Ireland,1562.90
48,,Israel,1063.02
49,,Italy,798.56
50,,Jamaica,495.12
51,,Japan,874.92
52,,Jordan,407.35
53,,Kazakhstan,360.85
54,,Kenya,398.42
55,,Kosovo (Disputed Territory),287.46
56,,Kuwait,987.33
57,,Latvia,435.22
58,,Lebanon,908.00
59,,Lithuania,502.10
60,,Luxembourg,1687.49
61,,Macedonia,238.49
62,,Malaysia,455.02
63,,Malta,942.67
64,,Mauritius,340.89
65,,Mexico,336.11
66,,Moldova,267.81
67,,Montenegro,345.97
68,,Morocco,338.39
69,,Namibia,634.79
70,,Nepal,156.65
71,,Netherlands,1293.42
72,,New Zealand,1119.75
73,,Nigeria,810.04
74,,Norway,1305.96
75,,Oman,662.33
76,,Pakistan,170.47
77,,Panama,934.62
78,,Peru,407.71
79,,Philippines,302.70
80,,Poland,547.34
81,,Portugal,801.53
82,,Puerto Rico,565.62
83,,Qatar,1504.78
84,,Romania,372.38
85,,Russia,531.74
86,,Saudi Arabia,367.03
87,,Serbia,311.84
88,,Singapore,1905.18
89,,Slovakia,595.79
90,,Slovenia,536.58
91,,South Africa,543.10
92,,South Korea,669.52
93,,Spain,822.38
94,,Sri Lanka,268.86
95,,Sweden,1026.03
96,,Switzerland,1537.13
97,,Taiwan,572.77
98,,Tanzania,316.31
99,,Thailand,537.10
100,,Trinidad And Tobago,534.77
101,,Tunisia,188.23
102,,Turkey,305.50
103,,Uganda,235.61
104,,Ukraine,360.01
105,,United Arab Emirates,1443.17
106,,United Kingdom,1066.04
107,,United States,1399.28
108,,Uruguay,530.68
109,,Uzbekistan,243.22
110,,Venezuela,171.82
111,,Vietnam,402.90
112,,Zimbabwe,350.00
