,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,74.39
1,,Algeria,37.00
2,,Argentina,107.85
3,,Armenia,75.76
4,,Australia,147.72
5,,Austria,206.27
6,,Azerbaijan,39.73
7,,Bahamas,359.43
8,,Bahrain,105.87
9,,Bangladesh,36.17
10,,Belarus,48.96
11,,Belgium,162.97
12,,Belize,92.22
13,,Bolivia,37.38
14,,Bosnia And Herzegovina,152.48
15,,Brazil,71.66
16,,Bulgaria,105.72
17,,Cambodia,87.08
18,,Canada,109.32
19,,Chile,131.63
20,,China,57.85
21,,Colombia,78.71
22,,Costa Rica,77.59
23,,Croatia,194.48
24,,Cyprus,140.30
25,,Czech Republic,187.64
26,,Denmark,196.79
27,,Dominican Republic,65.93
28,,Ecuador,44.59
29,,Egypt,21.22
30,,El Salvador,57.84
31,,Estonia,220.18
32,,Fiji,81.06
33,,Finland,141.78
34,,France,168.76
35,,Georgia,63.20
36,,Germany,255.27
37,,Ghana,-
38,,Greece,163.76
39,,Guatemala,58.96
40,,Hong Kong,175.50
41,,Hungary,179.05
42,,Iceland,117.74
43,,India,36.64
44,,Indonesia,87.62
45,,Iran,32.59
46,,Iraq,100.84
47,,Ireland,161.18
48,,Israel,195.29
49,,Italy,163.94
50,,Jamaica,85.00
51,,Japan,187.12
52,,Jordan,86.91
53,,Kazakhstan,70.99
54,,Kenya,52.58
55,,Kosovo (Disputed Territory),75.03
56,,Kuwait,35.11
57,,Latvia,190.55
58,,Lebanon,139.48
59,,Lithuania,169.06
60,,Luxembourg,247.67
61,,Macedonia,116.10
62,,Malaysia,47.53
63,,Malta,88.88
64,,Mauritius,62.84
65,,Mexico,38.58
66,,Moldova,133.96
67,,Montenegro,105.41
68,,Morocco,37.60
69,,Namibia,68.87
70,,Nepal,33.46
71,,Netherlands,185.39
72,,New Zealand,120.24
73,,Nigeria,27.48
74,,Norway,188.43
75,,Oman,55.41
76,,Pakistan,71.57
77,,Panama,98.91
78,,Peru,52.52
79,,Philippines,84.65
80,,Poland,173.62
81,,Portugal,110.18
82,,Puerto Rico,203.30
83,,Qatar,67.95
84,,Romania,106.97
85,,Russia,112.58
86,,Saudi Arabia,73.73
87,,Serbia,150.42
88,,Singapore,104.24
89,,Slovakia,206.42
90,,Slovenia,226.12
91,,South Africa,94.52
92,,South Korea,163.58
93,,Spain,139.10
94,,Sri Lanka,44.37
95,,Sweden,81.58
96,,Switzerland,183.55
97,,Taiwan,72.20
98,,Tanzania,70.11
99,,Thailand,76.80
100,,Trinidad And Tobago,51.65
101,,Tunisia,39.09
102,,Turkey,72.04
103,,Uganda,36.54
104,,Ukraine,95.64
105,,United Arab Emirates,154.92
106,,United Kingdom,187.58
107,,United States,148.74
108,,Uruguay,121.88
109,,Uzbekistan,42.22
110,,Venezuela,9.00
111,,Vietnam,54.27
112,,Zimbabwe,85.83
