,Rank,City,Taxi 1hour Waiting (Normal Tariff)
0,,Albania,13.67
1,,Algeria,4.17
2,,Argentina,5.59
3,,Armenia,2.29
4,,Australia,34.02
5,,Austria,31.12
6,,Azerbaijan,1.76
7,,Bahrain,-
8,,Bangladesh,2.37
9,,Belarus,3.00
10,,Belgium,39.18
11,,Bolivia,6.51
12,,Bosnia And Herzegovina,5.70
13,,Brazil,7.64
14,,Brunei,-
15,,Bulgaria,7.54
16,,Cambodia,-
17,,Canada,23.47
18,,Chile,11.41
19,,China,5.21
20,,Colombia,5.97
21,,Costa Rica,-
22,,Croatia,6.02
23,,Cyprus,-
24,,Czech Republic,15.56
25,,Denmark,59.85
26,,Dominican Republic,-
27,,Ecuador,10.00
28,,Egypt,1.20
29,,El Salvador,-
30,,Estonia,11.75
31,,Ethiopia,-
32,,Finland,51.49
33,,France,39.18
34,,Georgia,2.15
35,,Germany,33.58
36,,Greece,13.22
37,,Guatemala,-
38,,Honduras,4.30
39,,Hong Kong,13.01
40,,Hungary,15.47
41,,Iceland,64.04
42,,India,1.15
43,,Indonesia,2.93
44,,Iran,3.00
45,,Iraq,8.40
46,,Ireland,31.12
47,,Israel,24.81
48,,Italy,32.67
49,,Jamaica,-
50,,Japan,27.71
51,,Jordan,6.35
52,,Kazakhstan,3.92
53,,Kenya,2.37
54,,Kosovo (Disputed Territory),3.36
55,,Kuwait,6.57
56,,Latvia,8.73
57,,Lebanon,13.66
58,,Lithuania,10.07
59,,Luxembourg,-
60,,Macedonia,5.42
61,,Malaysia,5.97
62,,Malta,29.66
63,,Mauritius,-
64,,Mexico,6.12
65,,Moldova,3.29
66,,Montenegro,6.72
67,,Morocco,4.63
68,,Namibia,-
69,,Nepal,3.58
70,,Netherlands,44.20
71,,New Zealand,35.94
72,,Nigeria,5.56
73,,Norway,54.48
74,,Oman,-
75,,Pakistan,1.70
76,,Palestinian Territory,-
77,,Panama,10.00
78,,Peru,5.93
79,,Philippines,2.31
80,,Poland,9.13
81,,Portugal,16.57
82,,Puerto Rico,-
83,,Qatar,8.51
84,,Romania,4.70
85,,Russia,4.58
86,,Saudi Arabia,10.66
87,,Serbia,7.11
88,,Singapore,13.10
89,,Slovakia,11.19
90,,Slovenia,16.79
91,,South Africa,3.43
92,,South Korea,10.09
93,,Spain,23.35
94,,Sri Lanka,0.68
95,,Sweden,54.75
96,,Switzerland,76.47
97,,Taiwan,7.13
98,,Thailand,3.82
99,,Trinidad And Tobago,-
100,,Tunisia,3.34
101,,Turkey,4.11
102,,Uganda,-
103,,Ukraine,2.97
104,,United Arab Emirates,8.17
105,,United Kingdom,25.28
106,,United States,30.00
107,,Uruguay,10.41
108,,Uzbekistan,-
109,,Venezuela,4.50
110,,Vietnam,1.29
