,Rank,City,Beef Round (1kg) (or Equivalent Back Leg Red Meat)
0,,Albania,7.60
1,,Algeria,11.13
2,,Argentina,6.30
3,,Armenia,-
4,,Australia,11.64
5,,Austria,17.87
6,,Azerbaijan,7.19
7,,Bahrain,7.74
8,,Bangladesh,6.41
9,,Belarus,6.51
10,,Belgium,14.84
11,,Bolivia,5.82
12,,Bosnia And Herzegovina,7.92
13,,Brazil,6.28
14,,Brunei,-
15,,Bulgaria,8.07
16,,Cambodia,9.42
17,,Canada,11.52
18,,Chile,8.55
19,,China,10.40
20,,Colombia,4.96
21,,Costa Rica,8.87
22,,Croatia,10.13
23,,Cyprus,9.52
24,,Czech Republic,10.33
25,,Denmark,12.16
26,,Dominican Republic,6.97
27,,Ecuador,6.29
28,,Egypt,8.50
29,,El Salvador,-
30,,Estonia,9.82
31,,Ethiopia,9.38
32,,Finland,13.06
33,,France,17.38
34,,Georgia,6.55
35,,Germany,12.62
36,,Greece,10.00
37,,Guatemala,-
38,,Honduras,6.52
39,,Hong Kong,15.56
40,,Hungary,8.24
41,,Iceland,26.81
42,,India,5.16
43,,Indonesia,8.08
44,,Iran,17.10
45,,Iraq,10.71
46,,Ireland,10.23
47,,Israel,18.28
48,,Italy,17.60
49,,Jamaica,-
50,,Japan,22.52
51,,Jordan,11.99
52,,Kazakhstan,6.01
53,,Kenya,4.62
54,,Kosovo (Disputed Territory),9.49
55,,Kuwait,-
56,,Latvia,8.08
57,,Lebanon,11.98
58,,Lithuania,7.61
59,,Luxembourg,19.78
60,,Macedonia,8.28
61,,Malaysia,5.78
62,,Malta,16.42
63,,Mauritius,-
64,,Mexico,6.90
65,,Moldova,5.55
66,,Montenegro,5.82
67,,Morocco,8.41
68,,Namibia,-
69,,Nepal,5.30
70,,Netherlands,14.11
71,,New Zealand,11.90
72,,Nigeria,4.24
73,,Norway,29.24
74,,Oman,7.69
75,,Pakistan,3.80
76,,Palestinian Territory,13.51
77,,Panama,9.67
78,,Peru,6.56
79,,Philippines,5.61
80,,Poland,9.25
81,,Portugal,10.17
82,,Puerto Rico,9.61
83,,Qatar,11.95
84,,Romania,7.14
85,,Russia,7.10
86,,Saudi Arabia,9.82
87,,Serbia,7.12
88,,Singapore,13.44
89,,Slovakia,8.45
90,,Slovenia,11.57
91,,South Africa,6.60
92,,South Korea,29.71
93,,Spain,11.63
94,,Sri Lanka,5.71
95,,Sweden,15.47
96,,Switzerland,51.90
97,,Taiwan,22.25
98,,Thailand,10.43
99,,Trinidad And Tobago,-
100,,Tunisia,8.60
101,,Turkey,10.13
102,,Uganda,-
103,,Ukraine,5.30
104,,United Arab Emirates,10.63
105,,United Kingdom,9.28
106,,United States,11.62
107,,Uruguay,8.81
108,,Uzbekistan,5.85
109,,Venezuela,3.07
110,,Vietnam,9.87
