,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Albania,42.21
1,,Algeria,34.43
2,,Argentina,59.94
3,,Armenia,56.23
4,,Australia,66.60
5,,Austria,93.94
6,,Azerbaijan,44.58
7,,Bahrain,43.68
8,,Bangladesh,25.35
9,,Belarus,58.75
10,,Belgium,88.30
11,,Bolivia,49.44
12,,Bosnia And Herzegovina,60.21
13,,Brazil,47.98
14,,Brunei,56.63
15,,Bulgaria,55.74
16,,Cambodia,28.33
17,,Canada,46.87
18,,Chile,53.18
19,,China,63.32
20,,Colombia,51.43
21,,Costa Rica,58.83
22,,Croatia,81.99
23,,Cyprus,78.36
24,,Czech Republic,71.80
25,,Denmark,110.70
26,,Dominican Republic,35.63
27,,Ecuador,62.14
28,,Egypt,44.90
29,,El Salvador,51.38
30,,Estonia,78.76
31,,Ethiopia,22.18
32,,Finland,94.34
33,,France,87.61
34,,Georgia,59.80
35,,Germany,84.07
36,,Greece,80.56
37,,Guatemala,52.84
38,,Honduras,45.34
39,,Hong Kong,77.11
40,,Hungary,66.31
41,,Iceland,122.25
42,,India,33.30
43,,Indonesia,40.09
44,,Iran,46.87
45,,Iraq,32.64
46,,Ireland,83.30
47,,Israel,89.09
48,,Italy,88.21
49,,Jamaica,40.42
50,,Japan,62.93
51,,Jordan,62.97
52,,Kazakhstan,47.43
53,,Kenya,22.80
54,,Kosovo (Disputed Territory),28.78
55,,Kuwait,49.95
56,,Latvia,65.55
57,,Lebanon,65.98
58,,Lithuania,66.94
59,,Luxembourg,89.55
60,,Macedonia,48.81
61,,Malaysia,53.60
62,,Malta,80.49
63,,Mauritius,67.50
64,,Mexico,42.03
65,,Moldova,54.58
66,,Montenegro,59.47
67,,Morocco,37.45
68,,Namibia,39.63
69,,Nepal,26.47
70,,Netherlands,92.97
71,,New Zealand,71.33
72,,Nigeria,17.68
73,,Norway,102.14
74,,Oman,40.65
75,,Pakistan,17.22
76,,Palestinian Territory,61.56
77,,Panama,42.00
78,,Peru,45.37
79,,Philippines,40.83
80,,Poland,70.06
81,,Portugal,91.39
82,,Puerto Rico,42.53
83,,Qatar,61.88
84,,Romania,59.10
85,,Russia,71.26
86,,Saudi Arabia,38.76
87,,Serbia,67.31
88,,Singapore,68.69
89,,Slovakia,65.53
90,,Slovenia,73.64
91,,South Africa,52.52
92,,South Korea,61.96
93,,Spain,80.39
94,,Sri Lanka,26.07
95,,Sweden,89.04
96,,Switzerland,108.64
97,,Taiwan,63.67
98,,Thailand,59.64
99,,Trinidad And Tobago,56.72
100,,Tunisia,37.80
101,,Turkey,37.20
102,,Uganda,13.28
103,,Ukraine,62.06
104,,United Arab Emirates,58.67
105,,United Kingdom,74.33
106,,United States,43.60
107,,Uruguay,75.80
108,,Uzbekistan,34.00
109,,Venezuela,44.00
110,,Vietnam,39.46
