,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,93.19
1,,Algeria,74.32
2,,Argentina,85.03
3,,Armenia,77.50
4,,Australia,95.67
5,,Austria,124.58
6,,Azerbaijan,77.45
7,,Bahrain,71.00
8,,Bangladesh,43.42
9,,Belarus,90.46
10,,Belgium,127.85
11,,Bolivia,50.64
12,,Bosnia And Herzegovina,89.59
13,,Brazil,62.62
14,,Brunei,59.42
15,,Bulgaria,75.40
16,,Cambodia,39.55
17,,Canada,92.43
18,,Chile,79.67
19,,China,92.91
20,,Colombia,70.43
21,,Costa Rica,75.82
22,,Croatia,96.42
23,,Cyprus,106.58
24,,Czech Republic,96.20
25,,Denmark,143.71
26,,Dominican Republic,73.16
27,,Ecuador,91.32
28,,Egypt,64.59
29,,El Salvador,84.55
30,,Estonia,96.86
31,,Ethiopia,50.74
32,,Finland,134.98
33,,France,129.80
34,,Georgia,93.21
35,,Germany,119.04
36,,Greece,101.23
37,,Guatemala,96.60
38,,Honduras,117.30
39,,Hong Kong,126.95
40,,Hungary,89.53
41,,Iceland,182.86
42,,India,38.63
43,,Indonesia,77.04
44,,Iran,74.89
45,,Iraq,51.53
46,,Ireland,102.46
47,,Israel,122.59
48,,Italy,127.98
49,,Jamaica,85.65
50,,Japan,116.89
51,,Jordan,91.55
52,,Kazakhstan,87.74
53,,Kenya,45.89
54,,Kosovo (Disputed Territory),46.17
55,,Kuwait,90.79
56,,Latvia,95.65
57,,Lebanon,114.43
58,,Lithuania,108.25
59,,Luxembourg,144.89
60,,Macedonia,76.02
61,,Malaysia,59.91
62,,Malta,96.32
63,,Mauritius,96.56
64,,Mexico,67.42
65,,Moldova,96.88
66,,Montenegro,90.25
67,,Morocco,73.41
68,,Namibia,80.17
69,,Nepal,41.61
70,,Netherlands,133.84
71,,New Zealand,109.46
72,,Nigeria,63.68
73,,Norway,149.84
74,,Oman,60.62
75,,Pakistan,34.00
76,,Palestinian Territory,62.02
77,,Panama,83.82
78,,Peru,76.12
79,,Philippines,62.69
80,,Poland,82.46
81,,Portugal,88.70
82,,Puerto Rico,85.71
83,,Qatar,88.80
84,,Romania,78.45
85,,Russia,96.80
86,,Saudi Arabia,78.69
87,,Serbia,99.11
88,,Singapore,104.68
89,,Slovakia,79.26
90,,Slovenia,98.35
91,,South Africa,80.54
92,,South Korea,126.62
93,,Spain,96.22
94,,Sri Lanka,30.58
95,,Sweden,126.40
96,,Switzerland,164.94
97,,Taiwan,104.75
98,,Thailand,84.20
99,,Trinidad And Tobago,72.64
100,,Tunisia,49.50
101,,Turkey,50.50
102,,Uganda,34.52
103,,Ukraine,104.36
104,,United Arab Emirates,89.66
105,,United Kingdom,77.24
106,,United States,95.10
107,,Uruguay,105.34
108,,Uzbekistan,61.75
109,,Venezuela,81.36
110,,Vietnam,74.74
