,Rank,City,Chicken Fillets (1kg)
0,,Albania,4.74
1,,Algeria,3.63
2,,Argentina,3.88
3,,Armenia,4.31
4,,Australia,7.29
5,,Austria,10.87
6,,Azerbaijan,3.64
7,,Bahrain,6.06
8,,Bangladesh,2.84
9,,Belarus,3.31
10,,Belgium,9.96
11,,Bolivia,3.50
12,,Bosnia And Herzegovina,4.05
13,,Brazil,2.51
14,,Bulgaria,5.49
15,,Cambodia,4.83
16,,Canada,9.70
17,,Chile,4.90
18,,China,4.31
19,,Colombia,3.22
20,,Costa Rica,6.77
21,,Croatia,11.44
22,,Cyprus,8.12
23,,Czech Republic,6.12
24,,Denmark,9.41
25,,Dominican Republic,4.71
26,,Ecuador,5.79
27,,Egypt,4.61
28,,Estonia,6.35
29,,Finland,10.91
30,,France,10.86
31,,Georgia,3.96
32,,Germany,7.79
33,,Ghana,3.76
34,,Greece,7.69
35,,Guatemala,6.34
36,,Hong Kong,10.03
37,,Hungary,4.85
38,,Iceland,13.38
39,,India,3.20
40,,Indonesia,3.35
41,,Iran,4.08
42,,Iraq,3.61
43,,Ireland,9.18
44,,Israel,10.01
45,,Italy,9.50
46,,Japan,7.98
47,,Jordan,5.38
48,,Kazakhstan,3.46
49,,Kenya,6.00
50,,Kosovo (Disputed Territory),3.02
51,,Kuwait,4.62
52,,Latvia,6.00
53,,Lebanon,13.97
54,,Lithuania,5.61
55,,Luxembourg,12.99
56,,Malaysia,3.10
57,,Malta,7.92
58,,Mauritius,5.01
59,,Mexico,4.48
60,,Moldova,3.88
61,,Montenegro,5.40
62,,Morocco,4.41
63,,Nepal,2.93
64,,Netherlands,8.61
65,,New Zealand,8.30
66,,Nigeria,4.07
67,,North Macedonia,4.90
68,,Norway,12.67
69,,Oman,5.38
70,,Pakistan,2.22
71,,Panama,7.26
72,,Peru,4.99
73,,Philippines,4.06
74,,Poland,4.32
75,,Portugal,5.41
76,,Puerto Rico,8.85
77,,Qatar,7.94
78,,Romania,5.00
79,,Russia,3.81
80,,Saudi Arabia,6.98
81,,Serbia,4.64
82,,Singapore,7.10
83,,Slovakia,5.62
84,,Slovenia,8.86
85,,South Africa,4.22
86,,South Korea,8.17
87,,Spain,6.82
88,,Sri Lanka,3.23
89,,Sweden,9.51
90,,Switzerland,27.08
91,,Syria,7.02
92,,Taiwan,8.11
93,,Tanzania,4.63
94,,Thailand,2.33
95,,Trinidad And Tobago,6.21
96,,Tunisia,3.97
97,,Turkey,3.16
98,,Uganda,4.27
99,,Ukraine,3.66
100,,United Arab Emirates,6.85
101,,United Kingdom,6.71
102,,United States,9.41
103,,Uruguay,7.82
104,,Uzbekistan,2.62
105,,Venezuela,4.20
106,,Vietnam,3.40
