,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,20.06
1,,Algeria,47.51
2,,Argentina,29.12
3,,Armenia,17.43
4,,Australia,50.21
5,,Austria,36.37
6,,Azerbaijan,19.62
7,,Bahrain,58.43
8,,Bangladesh,30.14
9,,Belarus,11.89
10,,Belgium,50.71
11,,Bolivia,52.55
12,,Bosnia And Herzegovina,23.72
13,,Brazil,20.95
14,,Bulgaria,12.13
15,,Cambodia,25.12
16,,Canada,55.35
17,,Chile,31.40
18,,China,12.90
19,,Colombia,28.46
20,,Costa Rica,54.13
21,,Croatia,29.30
22,,Cyprus,43.36
23,,Czech Republic,20.04
24,,Denmark,38.54
25,,Dominican Republic,46.23
26,,Ecuador,42.60
27,,Egypt,16.91
28,,Estonia,25.93
29,,Finland,24.97
30,,France,30.86
31,,Georgia,15.14
32,,Germany,36.80
33,,Ghana,52.24
34,,Greece,36.33
35,,Guatemala,65.42
36,,Hong Kong,24.53
37,,Hungary,15.20
38,,Iceland,71.40
39,,India,11.26
40,,Indonesia,29.64
41,,Iran,21.56
42,,Iraq,37.46
43,,Ireland,57.34
44,,Israel,26.80
45,,Italy,32.02
46,,Japan,42.83
47,,Jordan,44.58
48,,Kazakhstan,11.84
49,,Kenya,49.37
50,,Kosovo (Disputed Territory),12.33
51,,Kuwait,23.75
52,,Latvia,16.80
53,,Lebanon,51.25
54,,Lithuania,12.23
55,,Luxembourg,59.96
56,,Malaysia,28.22
57,,Malta,34.74
58,,Mauritius,31.01
59,,Mexico,24.21
60,,Moldova,10.12
61,,Montenegro,26.23
62,,Morocco,31.76
63,,Nepal,17.08
64,,Netherlands,44.64
65,,New Zealand,50.28
66,,Nigeria,40.91
67,,North Macedonia,18.95
68,,Norway,49.82
69,,Oman,81.22
70,,Pakistan,20.94
71,,Panama,45.72
72,,Peru,33.07
73,,Philippines,46.26
74,,Poland,13.73
75,,Portugal,36.72
76,,Puerto Rico,59.94
77,,Qatar,84.27
78,,Romania,8.59
79,,Russia,6.86
80,,Saudi Arabia,65.36
81,,Serbia,21.58
82,,Singapore,31.79
83,,Slovakia,18.22
84,,Slovenia,39.12
85,,South Africa,52.96
86,,South Korea,21.21
87,,Spain,44.36
88,,Sri Lanka,15.87
89,,Sweden,29.24
90,,Switzerland,61.29
91,,Syria,-
92,,Taiwan,23.88
93,,Tanzania,65.85
94,,Thailand,20.63
95,,Trinidad And Tobago,53.12
96,,Tunisia,19.34
97,,Turkey,15.40
98,,Uganda,68.67
99,,Ukraine,5.62
100,,United Arab Emirates,97.26
101,,United Kingdom,38.08
102,,United States,65.81
103,,Uruguay,31.37
104,,Uzbekistan,33.56
105,,Venezuela,9.45
106,,Vietnam,10.33
