,Rank,City,Gasoline (1 liter)
0,,Albania,1.45
1,,Argentina,1.14
2,,Australia,1.17
3,,Austria,1.46
4,,Bahrain,0.21
5,,Bangladesh,0.95
6,,Belarus,0.64
7,,Belgium,1.60
8,,Bosnia And Herzegovina,1.26
9,,Brazil,1.11
10,,Bulgaria,1.33
11,,Cambodia,1.04
12,,Canada,1.02
13,,Chile,1.28
14,,China,1.03
15,,Colombia,1.04
16,,Costa Rica,1.09
17,,Croatia,1.43
18,,Cyprus,1.37
19,,Czech Republic,1.44
20,,Denmark,1.70
21,,Dominican Republic,1.23
22,,Ecuador,0.41
23,,Egypt,0.25
24,,Estonia,1.39
25,,Finland,1.70
26,,France,1.53
27,,Georgia,1.13
28,,Germany,1.64
29,,Greece,1.77
30,,Hong Kong,1.78
31,,Hungary,1.45
32,,Iceland,1.57
33,,India,1.05
34,,Indonesia,0.59
35,,Iran,0.43
36,,Iraq,0.62
37,,Ireland,1.64
38,,Israel,1.62
39,,Italy,1.80
40,,Japan,1.52
41,,Jordan,1.04
42,,Kazakhstan,0.69
43,,Kenya,1.16
44,,Kuwait,0.24
45,,Latvia,1.42
46,,Lebanon,1.00
47,,Lithuania,1.43
48,,Luxembourg,1.38
49,,Macedonia,1.39
50,,Malaysia,0.49
51,,Malta,1.46
52,,Mauritius,1.41
53,,Mexico,0.59
54,,Morocco,0.86
55,,Nepal,1.21
56,,Netherlands,1.77
57,,New Zealand,1.31
58,,Nigeria,0.57
59,,Norway,1.91
60,,Oman,0.26
61,,Pakistan,0.87
62,,Peru,1.19
63,,Philippines,0.99
64,,Poland,1.33
65,,Portugal,1.67
66,,Puerto Rico,0.78
67,,Qatar,0.22
68,,Romania,1.33
69,,Russia,0.71
70,,Saudi Arabia,0.11
71,,Serbia,1.36
72,,Singapore,1.35
73,,Slovakia,1.53
74,,Slovenia,1.48
75,,South Africa,1.11
76,,South Korea,1.42
77,,Spain,1.45
78,,Sri Lanka,0.95
79,,Sweden,1.64
80,,Switzerland,1.53
81,,Taiwan,0.92
82,,Tanzania,1.12
83,,Thailand,1.02
84,,Tunisia,0.74
85,,Turkey,2.00
86,,Ukraine,1.10
87,,United Arab Emirates,0.39
88,,United Kingdom,1.72
89,,United States,0.80
90,,Uruguay,1.53
91,,Venezuela,0.14
92,,Vietnam,0.90
